resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 3,colSectionLocRoomTitle,colSectionLocRooms,colSectionLocRooms 2,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,dayInfo 4,dayInfo 5,dayInfo 6,weekDay 3,weekDay href,weekDay 4,weekDay href 2,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,legendControl 3,legendControl 4,enConDesc,enConList,enConList 2,headerSect 13,alignC,extraTxt 4,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,extraTxt 9,extraTxt 11,extraTxt 12,extraTxt 13,extraTxt 14
NEW,Information in the Digital Era,IFP080H1-S,Timetable instructions,Note:,"For more information, please contact  or 416-946-5146.",foundation.program@utoronto.ca,,,,LEC5101,Monday,—,17:00,20:00,,,,,LM 157,https://map.utoronto.ca/?id=1809#!m/494502,,,"Seburn, T.",of  available,40,40,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,AH   NDEGE International Foundation Prg,AS   NDEGE International Foundation Prg,Room,,,,,,,,,,,
NEW,Challenges to Global Equity,IFP090H1-S,Timetable instructions,Note:,"For more information, please contact  or 416-946-5146.",foundation.program@utoronto.ca,,,,LEC5101,Monday,—,17:00,20:00,,,,,SS 1084,https://map.utoronto.ca/?id=1809#!m/494510,,,,of  available,40,40,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,AH   NDEGE International Foundation Prg,AS   NDEGE International Foundation Prg,Room,—,,,,,,,,,,
NEW,Themes in World History,IFP100Y1-Y,Timetable instructions,Note:,"For more information, please contact  or 416-946-5146.",foundation.program@utoronto.ca,Room,1st Term,2nd Term,LEC5101,Tuesday,—,17:00,19:00,Thursday,—,17:00,19:00,PB B150,https://map.utoronto.ca/?id=1809#!m/494476,PB B150,https://map.utoronto.ca/?id=1809#!m/494476,"Guerson De Oliveira, A.",of  available,53,275,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,AS   NDEGE International Foundation Prg,,Activity,—,Course Description:,"Surveys the development of human societies from their origins to the present using examples from across the world. Topics may include the environment, cultural development and interaction, the creation and nature of belief systems, political, economic and social structures, gender relations, and the relationship between global patterns and local developments. Enrolment is restricted to students registered in the International Foundation Program. Not eligible for CR/NCR option.","Humanities, Social Science",Distribution Requirement:,"Society and its Institutions (3), Thought, Belief and Behaviour (2)",Breadth Requirement:,,,,
NEW,Themes in World History,IFP101Y1-Y,Timetable instructions,Note:,"For more information, please contact  or 416-946-5146.",foundation.program@utoronto.ca,Room,1st Term,2nd Term,LEC5101,Tuesday,—,17:00,19:00,Thursday,—,17:00,19:00,PB B150,https://map.utoronto.ca/?id=1809#!m/494476,PB B150,https://map.utoronto.ca/?id=1809#!m/494476,"Guerson De Oliveira, A.",of  available,17,20,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,AH   NDEGE International Foundation Prg,,,,,,,,,,,,,
NEW,The Everyday Politics of Food,NEW101H1-F,Timetable instructions,Note:,"For more information, please go to  or contact .",http://uoft.me/NewOne,,,,LEC0101,Thursday,—,13:00,16:00,,,,,WE 51A,https://map.utoronto.ca/?id=1809#!m/494509,,,"Hathaway, M.",of  available,1,25,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",Room,,Course Description:,"How often do we reflect on the environmental, social and economic impact of our everyday food choices? This course offers an introduction to the key concepts, terms and theories that underlie our current food system. The course links the food we eat to global forces and considers how these forces affect food distribution, access and consumption. Restricted to first-year students. Not eligible for CR/NCR option.",Cannot be enrolled in concurrent College One courses.,Exclusion:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,
NMC,Land of the Pharaohs,NMC101H1-S,,,,,,,,LEC9901,Monday,—,13:00,14:00,Wednesday,—,13:00,14:00,—,,—,,"Leprohon, R.",of  available,0,170,Yes: 0 student,Online - Synchronous,,,,,,Room,—,Course Description:,"Egypt is one of the oldest known civilizations on the African continent. Deeply embedded within early African history, Egypt was also inextricably linked with the history of many civilizations in the Ancient Near East. From pyramids to mummies and from King Tut to the Hanging Gardens of Babylon, the course will trace the history of ancient Egypt from its foundation around 3050 BCE to its incorporation into the Roman Empire in the 1st Century BCE. The focus will be on various aspects of Egyptian culture, including the institution of kingship, the role of women, and the characteristic features of Egyptian art, literature, and religion. Emphasis will be placed on the methods by which knowledge about this ancient civilization can be obtained.",Humanities,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,,,
NEW,Themes in World History,IFP102Y1-Y,Timetable instructions,Note:,"For more information, please contact  or 416-946-5146.",foundation.program@utoronto.ca,Room,1st Term,2nd Term,LEC5101,Tuesday,—,17:00,19:00,Thursday,—,17:00,19:00,PB B150,https://map.utoronto.ca/?id=1809#!m/494476,PB B150,https://map.utoronto.ca/?id=1809#!m/494476,"Guerson De Oliveira, A.",of  available,4,5,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,MS   NDEGE International Foundation Progr,,,,,,,,,,,,,
NEW,Exploring Multilingual Toronto,NEW102H1-F,Timetable instructions,Note:,"For more information, please go to  or contact .",http://uoft.me/NewOne,,,,LEC0101,Thursday,—,13:00,16:00,,,,,WE 54D,https://map.utoronto.ca/?id=1809#!m/494509,,,"Ivkovic, D.",of  available,2,25,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",Room,,Course Description:,"How does language connect and divide people, places and communities? This course considers how interactions between people in Toronto are shaped by language as well as history, economy, architecture and urban landscapes. Students engage with the city both in and out of class to think about a range of questions linked to gender and sexuality, indigeneity, migration, race, ethnicity, and public/private space. Restricted to first-year students. Not eligible for CR/NCR option.",Cannot be enrolled in concurrent College One courses.,Exclusion:,Humanities,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,
NMC,Heartland of Ancient Empires,NMC102H1-S,,,,,,,,LEC0101,Tuesday,—,13:00,14:00,Thursday,—,13:00,14:00,LM 162,https://map.utoronto.ca/?id=1809#!m/494502,MP 103,https://map.utoronto.ca/?id=1809#!m/494490,"Baker, H.",of  available,58,150,Yes: 0 student,In Person,,,,,,Room,—,Course Description:,"Mesopotamia and the ancient Near East—the area of modern Iraq and adjacent regions—witnessed the rise of the first cities in the fourth millennium BC and the emergence of the world’s first empires in the first millennium BC. This course traces Mesopotamian history from the beginnings of agriculture through to the earliest cities, following the trajectory of political development from city states, to territorial states, and finally to the great empires of Assyria, Babylonia, and Achaemenid Persia and their aftermath. It studies the peoples and polities of the ancient Near East, including the Sumerians, Assyrians, Babylonians, and Persians. It also examines their cultural contributions, from the development of cuneiform writing to their achievements in law, administration, science, art and architecture, religion, and literature.",Humanities,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,,,
NEW,Digital Technology and Society,NEW103H1-F,Timetable instructions,Note:,"For more information, please go to  or contact .",http://uoft.me/NewOne,,,,LEC0101,Thursday,—,13:00,16:00,,,,,WE 54E,https://map.utoronto.ca/?id=1809#!m/494509,,,"Buiani, R.",of  available,0,25,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",Room,,Course Description:,"While the internet and other forms of digital technology have created new forms of social relationships and widened access to information, they have also raised concerns. This course explores issues such as surveillance, addiction and bullying as well as the potential of digital technologies (e.g. smart cities, Big Data, and the internet of things). The course engages students' own experience of digital technology. Restricted to first-year students. Not eligible for CR/NCR option.",Cannot be enrolled in concurrent College One courses.,Exclusion:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,
NMC,The Islamic World,NMC103H1-F,,,,,,,,LEC0101,Tuesday,—,11:00,12:00,Thursday,—,11:00,12:00,SS 1070,https://map.utoronto.ca/?id=1809#!m/494510,SS 1070,https://map.utoronto.ca/?id=1809#!m/494510,"Razzaque, A.",of  available,9,60,Yes: 0 student,In Person,,,,,,Room,—,Course Description:,"A broad introduction to Islam, including the history, culture, and religion of the people and places that came to be influenced by Islam and that constitute a world civilization. What makes something (an empire or state, or a work of art or music) Islamic? When and how did that which we think of today as Islamic come about? How has “the Islamic” changed over time? With these questions in mind, this course introduces students to major figures, events, themes, institutions, and intellectual currents in Islamic history, from its beginnings in the 7th century to the modern period. Key topics to be covered include the rise and spread of Islam, the Qur’an and the role of Arabic, political thought, law and society, and literary and artistic expressions. Attention is paid to the geographical and ethno-linguistic scope of the Muslim world, demonstrating the diversity of peoples and traditions that make up Islamic civilizations.",Humanities,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,,,
NEW,"Creating Community: Art, Identity and Belonging",NEW104H1-F,Timetable instructions,Note:,"For more information, please go to  or contact .",http://uoft.me/NewOne,,,,LEC0101,Thursday,—,13:00,16:00,,,,,WE 54C,https://map.utoronto.ca/?id=1809#!m/494509,,,"Ascencao, T.",of  available,2,24,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",Room,,Course Description:,"How is art implicated in the process of community building? How does art foster a sense of community identity and belonging? This course explores how communities, in Toronto and beyond, engage a variety of art forms including graffiti, spoken-word, hip-hop, digital art, traditional dance and music to connect people and express community identity. Students will have the opportunity to visit community arts projects. Restricted to first-year students. Not eligible for CR/NCR option.",Cannot be enrolled in concurrent College One courses.,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,
NMC,The Biblical World,NMC104H1-F,,,,,,,,LEC0101,Monday,—,11:00,12:00,Wednesday,—,11:00,12:00,SS 1074,https://map.utoronto.ca/?id=1809#!m/494510,SS 1074,https://map.utoronto.ca/?id=1809#!m/494510,"Hare, L.",of  available,30,60,Yes: 0 student,In Person,,,,,,Room,—,Course Description:,"Examine the history, lands, peoples, religions, literatures and cultures that produced the Hebrew Bible/Old Testament. Topics to be covered include an overview of the geography and history of Ancient Israel and Judea, the role of the Hebrew, Aramaic, and Greek languages, the literary genres reflected in biblical and some contemporary non-biblical texts, and the scholarly methods by which the Bible is studied.",Humanities,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,,,
NEW,"Science, Health and Social Justice",NEW106H1-F,Timetable instructions,Note:,"For more information, please go to  or contact .",http://uoft.me/NewOne,,,,LEC0101,Thursday,—,13:00,16:00,,,,,WE 54F,https://map.utoronto.ca/?id=1809#!m/494509,,,"Whissell, P.",of  available,0,25,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",Room,,Course Description:,"How can scientific knowledge and research be mobilized to impact individual and global health? How is health impacted by social, racial and economic inequalities? This course explores scientific research and practice with special attention to the translation of scientific knowledge in the public sphere, and its ability to inform policies, practices and laws. Students have the opportunity to meet with clinician-scientists, policy-makers, and other professionals connected to the health care system. Restricted to first-year students. Not eligible for CR/NCR option.",Cannot be enrolled in concurrent College One courses.,Exclusion:,None,Recommended Preparation:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:
NMC,Elementary Standard Arabic,NML110Y1-Y,,,,,Room,1st Term,2nd Term,LEC0101,Monday,—,10:00,12:00,Wednesday,—,10:00,12:00,BF 215,https://map.utoronto.ca/?id=1809#!m/494497,BF 215,https://map.utoronto.ca/?id=1809#!m/494497,"Kandil, A.",of  available,1,25,Yes: 0 student,In Person,,,,,,Activity,,Course Description:,"This course is designed for students with no prior knowledge of Arabic. It places equal emphasis on the development of all language skills: reading, writing, listening, and speaking. The learning philosophy underlying this approach is that proficiency in a foreign language is best achieved through consistent, deliberate, and systematic practice. From the outset, students are strongly encouraged to develop the habit of consistently practicing learned material.",Priority enrollment will be given to declared NMC majors/specialists.,Prerequisite:,Native speakers/NML210Y1,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:
MUSIC,Historical Survey of Western Music,MUS111H1-S,,,,,,,,LEC0101,Wednesday,—,13:00,15:00,,,,,NF 003,https://map.utoronto.ca/?id=1809#!m/494600,,,,of  available,179,300,Yes: 0 student,In Person,,,,,,Room,—,Course Description:,Historical survey of Western art music from the Middle Ages to the present. A basic ability to read music is required.,HMU111H1,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,
NEW,"Food, Ethics and Sustainability",NEW111H1-S,Timetable instructions,Note:,"For more information, please go to  or contact .",http://uoft.me/NewOne,,,,LEC0101,Thursday,—,13:00,16:00,,,,,WE 54G,https://map.utoronto.ca/?id=1809#!m/494509,,,"Hathaway, M.",of  available,0,25,Yes: 7 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",Room,,Course Description:,"How do we produce and ensure access to nutritious and environmentally sustainable food for all? This course explores what is involved in achieving ethical food production and food security, examining topics such as: the paradox of food waste amidst scarcity, the relationship between food production and climate change, community-led alternatives to dominant food systems, and the role of biotechnology. Research projects allow students to focus on an issue of particular interest. Restricted to first-year students. Not eligible for CR/NCR option.",Cannot be enrolled in concurrent College One courses.,Exclusion:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,
NEW,Language Freedom and Power,NEW112H1-S,Timetable instructions,Note:,"For more information, please go to  or contact .",http://uoft.me/NewOne,,,,LEC0101,Thursday,—,13:00,16:00,,,,,WE 54D,https://map.utoronto.ca/?id=1809#!m/494509,,,"Ivkovic, D.",of  available,0,25,Yes: 1 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,Room,,Course Description:,"How do we imagine a balance between the need for communication, freedom of expression, and protection for marginalized groups? This course considers how language shapes and is shaped by the relations of power not only in such sites as colonies, nations and institutions, but also in popular culture and how we communicate online. It explores the key role of language in activism and youth cultures and allows students to focus on an issue of particular interest. Restricted to first-year students. Not eligible for CR/NCR option.",Cannot be enrolled in concurrent College One courses.,Exclusion:,Humanities,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,
NEW,Unpacking Digital Technology,NEW113H1-S,Timetable instructions,Note:,"For more information, please go to  or contact .",http://uoft.me/NewOne,,,,LEC0101,Thursday,—,13:00,16:00,,,,,WE 54E,https://map.utoronto.ca/?id=1809#!m/494509,,,"Buiani, R.",of  available,0,25,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",Room,,Course Description:,"What are the social and material implications of the digital technologies we use every day - for the present and for the future? This course explores how digital technologies have been remaking the world and affecting our lives by tracing their historical development, their social effects, and the impact of their physical presence. It also peers into scenarios of the future in this digital world. Students engage in research on a topic of their own interest. Restricted to first-year students. Not eligible for CR/NCR option.",Cannot be enrolled in concurrent College One courses.,Exclusion:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,
NEW,Art for Social Change,NEW114H1-S,Timetable instructions,Note:,"For more information, please go to  or contact .",http://uoft.me/NewOne,,,,LEC0101,Thursday,—,13:00,16:00,,,,,WE 54C,https://map.utoronto.ca/?id=1809#!m/494509,,,"Ascencao, T.",of  available,0,24,Yes: 1 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",Room,,Course Description:,"How does art contribute to social change? Artistic productions can draw attention to social problems, mobilize support for and symbolize social movements, and inspire new visions for imagined futures. This course will explore case studies of the role of various art forms in relation to past and current social change initiatives. Students will have the opportunity to engage in research on an art project of their choice. Restricted to first-year students. Not eligible for CR/NCR option.",Cannot be enrolled in concurrent College One courses.,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,
NEW,Science and Global Threats,NEW116H1-S,Timetable instructions,Note:,"For more information, please go to  or contact .",http://uoft.me/NewOne,,,,LEC0101,Thursday,—,13:00,16:00,,,,,WE 54F,https://map.utoronto.ca/?id=1809#!m/494509,,,"Whissell, P.",of  available,0,25,Yes: 3 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",Room,,Course Description:,"What is the role of science in addressing current global threats? What are the possibilities and the limitations of scientific research and knowledge in tackling complex problems such as climate change, pandemics and pollution? In this course, students explore these questions by examining case studies, meeting with specialists in various scientific fields, and engaging in research on a topic of their own choice. Restricted to first-year students. Not eligible for CR/NCR option.",Cannot be enrolled in concurrent College One courses.,Exclusion:,None,Recommended Preparation:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:
NEW,Introduction to Caribbean Studies,CAR120Y1-Y,,,,,Room,1st Term,2nd Term,LEC0101,Tuesday,—,10:00,13:00,Tuesday,—,10:00,13:00,WI 523,https://map.utoronto.ca/?id=1809#!m/494503,WI 523,https://map.utoronto.ca/?id=1809#!m/494503,"Edmonds, K.",of  available,19,30,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,(Transitional Year Programme),,,,Course Description:,"Explores the complex and diverse languages, geographies, regional and national histories, cultural practices, intellectual traditions and political and economic landscapes of the Caribbean region, its people and its diasporas. Students will be introduced to the main questions, themes, and debates in Caribbean Studies. Lectures and readings develop the skills to take an interdisciplinary approach to Caribbean Studies.",NEW120Y1,Exclusion:,"Humanities, Social Science",Distribution Requirement:,"Creative and Cultural Representations (1), Society and its Institutions (3)",Breadth Requirement:,,
NEW,Introduction to African Studies,AFR150Y1-Y,,,,,Room,1st Term,2nd Term,LEC0101,Thursday,—,10:00,13:00,,,,,WI 1017,https://map.utoronto.ca/?id=1809#!m/494503,WI 1017,https://map.utoronto.ca/?id=1809#!m/494503,"Levin, M.",of  available,19,60,Yes: 0 student,In Person,,,,,,,,Course Description:,"A multi-disciplinary study of Africa, emphasizing inquiry and critical analysis. Pre-colonial, colonial and contemporary African history, anthropology, politics, African humanism and society, religion, art, music, race, resistance, gender and Pan-Africanism.","NEW150Y1, AFSA01H3",Exclusion:,"Humanities, Social Science",Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,
NMC,Elementary Modern Hebrew I,NML155H1-F,,Religion,,,,,,LEC0101,Tuesday,—,10:00,12:00,Friday,—,10:00,12:00,PB 255,https://map.utoronto.ca/?id=1809#!m/494476,PB 255,https://map.utoronto.ca/?id=1809#!m/494476,"Nizri, Y.",of  available,9,10,Yes: 0 student,In Person,,,,,,Room,,Course Description:,See MHB155H1 in .,,,,,,,,
NMC,Elementary Modern Hebrew II,NML156H1-S,,Religion,,,,,,LEC0101,Tuesday,—,10:00,12:00,Friday,—,10:00,12:00,HS 614,https://map.utoronto.ca/?id=1809#!m/494459,HS 614,https://map.utoronto.ca/?id=1809#!m/494459,"Nizri, Y.",of  available,5,6,Yes: 0 student,In Person,,,,,,Room,,Course Description:,See MHB156H1 in .,,,,,,,,
NMC,"Rebels, Misfits, and Outcasts in Modern Arabic Literature",NMC195H1-F,,,,,,,,LEC0101,Tuesday,—,11:00,13:00,,,,,ES 4000,https://map.utoronto.ca/?id=1809#!m/494499,,,"Bahoora, H.",of  available,18,25,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,Room,,Course Description:,"This course examines modern Arabic literary texts that portray marginalized social figures and groups who have been excluded from a protective system of resources and privileges. Students will read novels and short stories by prominent Arab authors who have represented marginal social groups in their fiction, including representations of the urban poor, the peasantry, the delinquent, the prostitute, sexual minorities, women who reject normative roles, and the political rebel. These fictional texts address issues such as political resistance and rebellion, economic precarity, and social exclusion. Students will engage with these texts by critically examining the role of literature in narrating unspoken and suppressed histories. The class will also introduce students to theoretical modes of literary analysis and interpretation. All texts will be read in English translation. Authors include Mohamed Choukri, Hanan al-Shaykh, Alifa Rifaat, Sonallah Ibrahim, and Arwa Salih. Restricted to first-year students. Not eligible for CR/NCR option.",NMC242H1,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,
