resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 7,extraTxt 8,extraTxt 9,extraTxt 10,extraTxt 11,extraTxt 12,extraTxt 13,headerSect 3,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,weekDay href,colInst,numCurr,numTot,numWait,onlineMeeting,weekDay 6,alignC,legendControl 3,legendControl 4,enConDesc,enConList,enConList 2,enConList 3,enConList 4,extraTxt 14,extraTxt 15
FRE,French Language I,FSL121Y1-Y,Timetable instructions,Note:,"This is a 4-hour course (2-hr lecture, 2-hr tutorial). Students must enroll in both the lecture and the tutorial for a total of four hours per week. Students should check for any schedule conflict before enrolling in a tutorial. Changing or switching of lecture meeting or tutorial at mid-session is not permitted at the Department of French. Students who are not enrolled in the tutorial of their choice by the enrolment deadline will be placed by the Department of French in another section according to availability. The placement test  is mandatory for students who do not have the prerequisites.",Intended for students having some knowledge of French but wishing to increase their proficiency to that of normal University entrance. Offers training in written and spoken French; reinforcement of reading comprehension and aural abilities; and an introduction to French-Canadian and Québécois cultures.,"FSL102H1, or, upon first FRE/FSL enrolment, equivalent as determined by the French Placement Test.",Prerequisite:,FSL221Y1 and higher.,Exclusion:,Humanities,Distribution Requirement:,,LEC0101,Tuesday,—,10:00,12:00,VC 101,https://map.utoronto.ca/?id=1809#!m/494602,"Peric, K.",19,60,Yes: 0 student,In Person,VC 101,—,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0120 MA FRENCH LANGUAGE LEARNING,ASMAJ0525 MA FRENCH LANG & FRENCH LING,ASMAJ1295 MA FRENCH LANGUAGE & LIT,ASMIN0120 MI FRENCH LANG  - Year 1,Creative and Cultural Representations (1),Breadth Requirement:
GGR,Cities and Urban Life,GGR124H1-F,,,,"Offers an introduction to North American cities and urbanization in a global context. It explores social, cultural, political and economic forces, processes, and events that shape contemporary urbanism. The course adopts the lens of 'fixity' and 'flow' to examine how the movement of people, ideas, goods, and capital, as well as their containment in the infrastructure and space of the city, give rise to particular urban forms.",GGR207H5,Exclusion:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC2501,Wednesday,—,18:00,20:00,LM 159,https://map.utoronto.ca/?id=1809#!m/494502,"Dupuy, D.",32,62,Yes: 0 student,In Person,,—,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,(Faculty of Applied Science & Engineering),Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",AS   HBA T Arts Transfer Degree Program,,
GGR,Cities and Urban Life,GGR124H1-S,,,,"Offers an introduction to North American cities and urbanization in a global context. It explores social, cultural, political and economic forces, processes, and events that shape contemporary urbanism. The course adopts the lens of 'fixity' and 'flow' to examine how the movement of people, ideas, goods, and capital, as well as their containment in the infrastructure and space of the city, give rise to particular urban forms.",GGR207H5,Exclusion:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Wednesday,—,14:00,16:00,ES 1050,https://map.utoronto.ca/?id=1809#!m/494499,"Cowen, D.",8,380,Yes: 0 student,In Person,UC 256,—,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",AS   HBA T Arts Transfer Degree Program,ASCRSHBA T Arts Transfer Degree Program,,
FRE,French Culture from Napoleon to Asterix,FCS195H1-S,,,,"A multi-media course, analyzing the contributions the French have made to world culture in such domains as architecture, art, literature, and music, as well as some of the implications of the appropriation of French cultural icons by big business and the media.",None,Prerequisite:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Friday,—,10:00,12:00,AH 107,https://map.utoronto.ca/?id=1809#!m/494578,,16,60,Yes: 0 student,In Person,,—,,,,,,,,,
FRE,"Historical, Geographic and Social Variation in French",FCS196H1-S,,,,"Throughout most of its nearly 1200-year history, the language that we now call French was not a single linguistic entity, but rather a collection of related dialects. Although socio-political factors resulted in a partial unification of these dialects during the 18th and 19th centuries, the unification was, to a large extent, outweighed by French colonization of areas such as North America and Africa, which resulted in even greater linguistic diversification. The purpose of this course is to provide an overview of the extensive variation that exists throughout the French-speaking world. Topics to be covered include phonetics (pronunciation); lexicology (word selection) and morpho-syntax (grammar). This course is taught in English. No knowledge of French or linguistics is required. Restricted to first-year students. Not eligible for CR/NCR option.",Humanities,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,,Room,LEC0101,Friday,—,13:00,15:00,CR 107,https://map.utoronto.ca/?id=1809#!m/494580,"Bessler, P.",12,25,Yes: 0 student,In Person,,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,
GGR,The Yard: Micro-Geographies of Household Outdoor Spaces,GGR196H1-F,,,,"A “yard” is the area of land immediately adjacent to a building, often a residence. By examining micro-geographies (that is, detailed empirical studies of a small, specific locale) of these ubiquitous, everyday spaces, the course explores how yards are intimately connected with broader ecologies, cultures, and social relations, all of which can be explored using geographic theories and techniques.","The course also serves as an introduction to other subjects that are relevant to navigating post-secondary life, such as: critical reading; conducting university-level research; presenting and communicating ideas in the classroom; teamwork, and how to benefit from it; and developing social networks.",Distribution Requirement:,Restricted to first-year students. Not eligible for CR/NCR option.,Breadth Requirement:,Social Science,,Room,LEC0101,Thursday,—,11:00,13:00,ES 4000,https://map.utoronto.ca/?id=1809#!m/494499,"Wakefield, S.",16,25,Yes: 0 student,In Person,,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,Society and its Institutions (3),
FRE,"Pleasure, Pain and Nostalgia in Belle Époque",FCS197H1-F,,,,"This course will explore ideas and cultural representations of 19th century France through examples from art, philosophy, and literature with an emphasis on the critical discussion of two literary narratives that challenged tradition and authority: Flaubert’s “Madame Bovary” and Maupassant’s “Bel-ami”. The course will be held in English. Restricted to first-year students. Not eligible for CR/NCR option.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,Room,LEC0101,Wednesday,—,11:00,13:00,AH 302,https://map.utoronto.ca/?id=1809#!m/494578,"Visoi, M.",5,25,Yes: 0 student,In Person,,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,
GGR,"Nature, Conservation and Justice",GGR197H1-S,,,,"Every day we read about climate change, species extinction, environmental degradation and the need for nature conservation. It is increasingly becoming apparent that the environmental problems that we face today arise from a deeper crisis relating to human ways of viewing and connecting to nature. This course asks how we can rework human ways of relating to nature, while querying the idea of “nature” and questioning the dominant approaches to nature conservation. It asks how can concerns for nature and for other species be balanced with that for human livelihoods and well-being? How can inequalities with regards to the distribution of environmental goods and bads be reduced? How are citizens and communities in the different parts of the world struggling against environmental injustice and to protect their local environments? How do these place-based movement demand justice and what visions do they articulate for a more just and sustainable world? How do indigenous worldviews offer conceptual resources for rethinking nature and our ways of relating to nature? The course will explore these questions using lectures, class discussion, videos and student presentations. Restricted to first-year students. Not eligible for CR/NCR option.",Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,,Room,LEC0101,Thursday,—,15:00,17:00,OI 3312,https://map.utoronto.ca/?id=1809#!m/494563,"Singh, N.",0,25,Yes: 10 students,In Person,,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,
FRE,The Literacy of Images: Interactions between Text and Other Media,FCS198H1-S,,,,"How do images create meaning in texts? How do words guide the interpretation of images? This course will examine relations between texts from different literary genres (the Bande Dessinée, fiction and autobiography) and other media (illustration, photography, cinema) through an interdisciplinary theoretical framework, by combining perspectives from literature, cinema, illustration, and photography. The course will be held in English. Restricted to first-year students. Not eligible for CR/NCR option.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,Room,LEC0101,Tuesday,—,15:00,17:00,TF 200,https://map.utoronto.ca/?id=1809#!m/494581,"Saverino, R.",0,25,Yes: 0 student,In Person,,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,
GGR,Mobility and Borders,GGR198H1-F,,,,"This course examines the political geographies of transnational migration. It asks how spaces of migration and mobility are political, and how migration politics are tied to inequalities wrought through intersecting histories of race, class, and gender. It seeks to extend our understandings of migrants, borders, and mobility, and it explores the processes through which mobility is produced, delimited and structured. We will consider the transnational politics of migration, the militarization of border zones, and the political spaces of migrant displacement, dispossession, and dislocation. The seminar readings focus on classical paradigms as well as emerging approaches in immigration studies. Restricted to first-year students. Not eligible for CR/NCR option.",Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,,Room,LEC0101,Wednesday,—,12:00,14:00,IN 222,https://map.utoronto.ca/?id=1809#!m/494541,"Silvey, R.",0,25,Yes: 0 student,In Person,,,Restricted (R2),Enrolment Controls:,"This section is restricted to two groups of students. Group 1 is given priority access until July 28. There is no course enrolment on July 29. Beginning July 30, Group 2 can enrol in this section:",Group 1: Year 1    Innis College  (Faculty of Arts and Science),Group 2: Year 1      (Faculty of Arts and Science),,,,
FRE,Marketing in the French Speaking World,FCS199H1-F,,,,"This course investigates sociocultural and linguistic issues surrounding market expansion and marketing of products and services to French-speaking audiences in Canada and elsewhere. Students consider challenges posed by increased globalization through comparisons of English- and French-speaking communities, while exploring basic marketing theory. Through case studies of successes and failures, students examine how companies develop and adapt branding and messaging for Francophone audiences by integrating differences in humour, values, politics, and financial considerations. Students thus develop an understanding of the Francophone consumer and gain skills for advertising and branding in a Francophone or bilingual environment. This course is taught in English. Restricted to first-year students. Not eligible for CR/NCR option.",None,Prerequisite:,Humanities,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC5101,Monday,—,17:00,19:00,CR 107,https://map.utoronto.ca/?id=1809#!m/494580,"Friesner, M.",8,25,Yes: 0 student,In Person,,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,
GGR,"Race, Conflict, and the Urban Landscape",GGR199H1-F,,,,"This course will focus on how racial conflict affects the size, shape, composition, and landscape of cities. It will emphasize Canadian and American cities, but other international examples will be discussed for comparison. Ethno-racial conflict has been, and continues to be, an important force on cities throughout the world. Course topics will include housing and employment discrimination, ethno-racial uprisings, and inequality. The course will be a discussion-oriented blend of academic readings, popular journalism, and film. It will serve as an introduction to concepts that are dealt with in greater depth in second, third, and fourth year geography courses. Restricted to first-year students. Not eligible for CR/NCR option.",Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,,Room,LEC9901,Monday,—,14:00,16:00,,,"Hackworth, J.",0,25,Yes: 0 student,Online - Synchronous,—,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,
CERES,Europe: Nation-State to Supranational Union,EUR200Y1-Y,,,,"An analysis of the development of European political regimes from 1789 until the 2004 and 2007 enlargements of the European Union to include the countries of the former Soviet bloc. This course identifies the decisive forces and factors affecting the operation of constitutions and institutions within the countries which came to form the European Union: nationalism, multi-nationalism, internationalism and supranationalism.",HIS241H1/HIS242H1,Exclusion:,HIS103Y1/HIS109Y1,Recommended Preparation:,Humanities,Distribution Requirement:,,LEC0101,Tuesday,—,11:00,12:00,VC 323,https://map.utoronto.ca/?id=1809#!m/494602,"Austin, R.",59,88,Yes: 0 student,In Person,VC 323,—,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0652 MA HISTORY,ASMAJ1625 MA EUROPEAN STUDIES,ASMIN0652 MI HISTORY,ASMIN1011 MI EUROPEAN UNION STUDIES,Society and its Institutions (3),Breadth Requirement:
CERES,Intermediate Hungarian,HUN200Y1-Y,,,,Review of descriptive grammar; studies in syntax; vocabulary building; intensive oral practice; composition; reading and translation.,Permission of instructor,Prerequisite:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,LEC5101,Tuesday,—,17:00,20:00,OI 2279,https://map.utoronto.ca/?id=1809#!m/494563,"Tomory, E.",22,25,Yes: 0 student,In Person,,,,,,,,,,,
GGR,Geomorphology,GGR201H1-S,,,,"Introduction to the principles of geomorphology; earth materials; major features of crustal morphology; landforming processes of water, wind, waves and ice; human impact on earth surface processes. One hour laboratory session approximately every other week; a local field trip.",GGR201H5,Exclusion:,JEG100H1,Recommended Preparation:,Science,Distribution Requirement:,Room,LEC0101,Monday,—,15:00,17:00,GB 244,https://map.utoronto.ca/?id=1809#!m/494473,"Peirce, S.",19,85,Yes: 0 student,In Person,ES 1062,—,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. NOTE: Spaces for each priority group in this course are not equal, and each priority group has its own waitlist until July 28. As of July 30, the waitlists for each priority group merge into one, and your rank on the waitlist may change; this is also when other Arts & Science students can begin to enrol. Beginning August 4, other downtown campus students can enrol in this section. There is no course enrolment on August 5. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",GEOGRAPHY     (Faculty of Arts and Science),"GEOGRAPHY     (John H. Daniels Faculty of Architecture, Landscape, & Design)",ASSPE0509 SP GEOLOGY,ASSPE1253 SP ENVIRONMENTAL GEOSCI,The Physical and Mathematical Universes (5),Breadth Requirement:
GGR,Introduction to Climatology,GGR203H1-S,,,,"Introduction to the large scale processes responsible for determining global and regional climate and atmospheric circulation patterns, as well as the small scale processes responsible for determining the microclimates of specific environments.",Physics SPH3U,Prerequisite:,"JEG100H1; MAT133Y1, MAT135H1, MAT136H1, MAT137Y1; PHY131H1, PHY132H1, PHY151H1, PHY152H1",Recommended Preparation:,Science,Distribution Requirement:,Room,LEC0101,Monday,—,11:00,13:00,SS 1074,https://map.utoronto.ca/?id=1809#!m/494510,"Harvey, D.",27,60,Yes: 0 student,In Person,Online Synchronous,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",GEOGRAPHY     (Faculty of Arts and Science),"GEOGRAPHY     (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,The Physical and Mathematical Universes (5),Breadth Requirement:
GGR,Introduction to Soil Science,GGR205H1-F,,,,"Introduction to soil science dealing with the chemical, physical, and biological properties of soils; soil formation and development; the classification of soils, and the application of soil science to environmental, agricultural and forestry issues. A field trip may be offered, cost: $20.","CHM138H1/CHM136H1, CHM139H1/CHM135H1, JEG100H1",Recommended Preparation:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,Room,LEC0101,Wednesday,—,14:00,16:00,SS 1087,https://map.utoronto.ca/?id=1809#!m/494510,"Peirce, S.",15,71,Yes: 0 student,In Person,,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",GEOGRAPHY     (Faculty of Arts and Science),"GEOGRAPHY     (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,
GGR,Introduction to Hydrology,GGR206H1-F,,,,"Introduction to the hydrologic cycle with emphasis on the physical processes, including precipitation, interception, evaporation, runoff, ground water and soil water. Basic hydrological models will be practiced. Potential field trip, cost: $20.",JEG100H1; MAT135H1,Recommended Preparation:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,Room,LEC0101,Tuesday,—,12:00,14:00,SS 1083,https://map.utoronto.ca/?id=1809#!m/494510,"Chen, J.",51,71,Yes: 0 student,In Person,SS 561,—,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",GEOGRAPHY     (Faculty of Arts and Science),"GEOGRAPHY     (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,
FRE,Introduction to Québec Literature and Culture,FRE210H1-S,Timetable instructions,Note:,"This is a 3-hour course (2-hr lecture, 1-hr tutorial). Students must enroll in both the lecture and the tutorial for a total of three hours per week. Students should check for any schedule conflict before enrolling in a tutorial. Changing or switching of lecture meeting or tutorial at mid-session is not permitted at the Department of French. Students who are not enrolled in the tutorial of their choice by the deadline will be placed by the Department of French in another section according to availability. The placement test  is mandatory for students who do not have the prerequisites.","An introduction to various aspects of Québec literature and culture through the study of literary texts, cinema, and artistic productions, and their role in the evolution of a distinct Québec society. The course also familiarizes students with important socio-cultural and political events, which participated in the evolution of Québec society and provide a better understanding of Québec literature.","FSL221Y1 or, upon first FRE/FSL enrolment, equivalent as determined by the French Placement Test",Prerequisite:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Wednesday,—,13:00,15:00,SS 1085,https://map.utoronto.ca/?id=1809#!m/494510,"Saverino, R.",23,90,Yes: 0 student,In Person,,—,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0525 MA FRENCH LANG & FRENCH LING,ASMAJ1295 MA FRENCH LANGUAGE & LIT,ASSPE0525 SP FRENCH LANG & FRENCH LING,ASSPE1295 SP FRENCH LANGUAGE & LIT,,
GGR,Globalization and Urban Change,JGU216H1-S,,,,"Focusing on the impacts that global flows of ideas, culture, people, goods, and capital have on cities throughout the globe, this course explores some of the factors that differentiate the experiences of globalization and urban change in cities at different moments in history and in various geographic locations.",JGI216H1,Exclusion:,GGR124H1,Recommended Preparation:,Social Science,Distribution Requirement:,Room,LEC0101,Thursday,—,16:00,18:00,IN 112,https://map.utoronto.ca/?id=1809#!m/494541,"Roberts, D.",144,200,Yes: 0 student,In Person,,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Geography and Planning   (Faculty of Arts and Science),"Department of Geography and Planning   (John H. Daniels Faculty of Architecture, Landscape, & Design)",ASMAJ2207 MA URBAN STUDIES,ASMIN2207 MI URBAN STUDIES,Society and its Institutions (3),Breadth Requirement:
