resultDept,pbot15,hiCC,colSectionLocRoomTitle,colSectionLocRooms,colSectionLocRooms 2,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,weekDay href,weekDay 3,alignC,colAvail,numCurr,numTot,numWait,onlineMeeting,legendControl 2,legendControl 3,enConDesc,extraTxt,extraTxt 2,extraTxt 3,extraTxt 4,extraTxt 5,extraTxt 6,headerSect 7,colInst,enConList,enConList 2,enConList 3,extraTxt 7,extraTxt 8,extraTxt 9,extraTxt 10,extraTxt 11,extraTxt 13,extraTxt 14
UC,Sex in the City,UNI104H1-S,,,,LEC0101,Thursday,—,10:00,13:00,UC 261,https://map.utoronto.ca/?id=1809#!m/494517,,,of  available,5,30,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Course Description:,"You will learn about the sexual politics of the city and how cities and their neighbourhoods become sexualized and desexualized spaces. In Sex in the City, you will examine what “sex” means to Toronto’s varied, multicultural communities by looking at urban space, cultural productions, law enforcement, safety and health resources and more. Restricted to first-year students. Not eligible for CR/NCR option.","Innis One, Munk One, New One, St. Mike's One, Trinity One, Vic One, Woodsworth One",Exclusion:,Social Science,Distribution Requirement:,Room,"Lesk, A.",Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",AS   HBA T Arts Transfer Degree Program,Note:,"Enrolment for Fall/Winter will open during regular course selection periods. For enquiries about the UC One program, please contact uc.one@utoronto.ca or 416-946-4025.","Thought, Belief and Behaviour (2)",Breadth Requirement:,,,
VIC,Psychology and Society,VIC106H1-F,,,,LEC0101,Thursday,—,12:00,14:00,NF 231,https://map.utoronto.ca/?id=1809#!m/494600,,,of  available,2,25,Yes: 0 student,In Person,Restricted (R2),Enrolment Controls:,"This section is restricted to two groups of students. Group 1 is given priority access until July 28. There is no course enrolment on July 29. Beginning July 30, Group 2 can enrol in this section:",Course Description:,"This course explores central developments and ongoing controversies in the scientific study of the human mind, brain and behaviour. It examines topics such as: psychoanalysis, behaviourism, humanistic psychology, evolutionary psychology, intelligence testing, and feminist perspectives. Goals include understanding the historical evolution and social relevance of scientific psychology. Not eligible for CR/NCR option.",VIC206H1,Exclusion:,"Humanities, Social Science",Distribution Requirement:,Room,"Faflak, J.",Group 1: Year 1    Victoria College  (Faculty of Arts and Science),Group 2: Year 1      (Faculty of Arts and Science),"Group 2: Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,,
VIC,Psychology and Society,VIC106H1-S,,,,LEC0101,Thursday,—,12:00,14:00,NF 235,https://map.utoronto.ca/?id=1809#!m/494600,,,of  available,0,25,Yes: 25 students,In Person,Restricted (R2),Enrolment Controls:,"This section is restricted to two groups of students. Group 1 is given priority access until July 28. There is no course enrolment on July 29. Beginning July 30, Group 2 can enrol in this section:",Course Description:,"This course explores central developments and ongoing controversies in the scientific study of the human mind, brain and behaviour. It examines topics such as: psychoanalysis, behaviourism, humanistic psychology, evolutionary psychology, intelligence testing, and feminist perspectives. Goals include understanding the historical evolution and social relevance of scientific psychology. Not eligible for CR/NCR option.",VIC206H1,Exclusion:,"Humanities, Social Science",Distribution Requirement:,Room,"Faflak, J.",Group 1: Year 1    Victoria College  (Faculty of Arts and Science),Group 2: Year 1      (Faculty of Arts and Science),"Group 2: Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,,
VIC,"Belonging, Imagination and National Identity",VIC108H1-F,,,,LEC0101,Friday,—,12:00,14:00,NF 007,https://map.utoronto.ca/?id=1809#!m/494600,,,of  available,3,25,Yes: 0 student,In Person,Restricted (R2),Enrolment Controls:,"This section is restricted to two groups of students. Group 1 is given priority access until July 28. There is no course enrolment on July 29. Beginning July 30, Group 2 can enrol in this section:",Course Description:,"This course will examine a number of questions related to the origins of national identities and the sustainability of nation-states. Topics covered will include: language, ethnicity, religion, politics, war, symbols, the arts, sport and public spectacle, and cuisine. Not eligible for CR/NCR option.",VIC108Y1,Exclusion:,"Humanities, Social Science",Distribution Requirement:,Room,"Derry, K.",Group 1: Year 1    Victoria College  (Faculty of Arts and Science),Group 2: Year 1      (Faculty of Arts and Science),"Group 2: Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,Society and its Institutions (3),Breadth Requirement:,,,
VIC,Innovators and Their Ideas,VIC109H1-S,,,,LEC0101,Thursday,—,10:00,12:00,VC 211,https://map.utoronto.ca/?id=1809#!m/494602,,,of  available,0,25,Yes: 12 students,In Person,Restricted (R2),Enrolment Controls:,"This section is restricted to two groups of students. Group 1 is given priority access until July 28. There is no course enrolment on July 29. Beginning July 30, Group 2 can enrol in this section:",Course Description:,"A study of the ideas and concerns of innovators who questioned traditional views and values. The course includes creative thinkers who challenged basic concepts on politics, literature, religion, and society. Not eligible for CR/NCR option.",VIC109Y1,Exclusion:,Humanities,Distribution Requirement:,Room,"Papayiannis, J.",Group 1: Year 1    Victoria College  (Faculty of Arts and Science),Group 2: Year 1      (Faculty of Arts and Science),"Group 2: Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,,
VIC,Critical Perspectives on Society,VIC110H1-F,,,,LEC0101,Monday,—,14:00,16:00,NF 332,https://map.utoronto.ca/?id=1809#!m/494600,,,of  available,0,25,Yes: 0 student,In Person,Restricted (R2),Enrolment Controls:,"This section is restricted to two groups of students. Group 1 is given priority access until July 28. There is no course enrolment on July 29. Beginning July 30, Group 2 can enrol in this section:",Course Description:,"By means of short texts, film or art works this course explores such themes as the effect of technology on the political, the nature of democracy, the question of resistance through art and the role of violence in the social. Not eligible for CR/NCR option.",Social Science,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,"Cook, D.",Group 1: Year 1    Victoria College  (Faculty of Arts and Science),Group 2: Year 1      (Faculty of Arts and Science),"Group 2: Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,,,
VIC,Renaissance in Popular Culture,VIC114H1-F,,,,LEC0101,Wednesday,—,12:00,14:00,NF 231,https://map.utoronto.ca/?id=1809#!m/494600,,,of  available,1,25,Yes: 0 student,In Person,Restricted (R2),Enrolment Controls:,"This section is restricted to two groups of students. Group 1 is given priority access until July 28. There is no course enrolment on July 29. Beginning July 30, Group 2 can enrol in this section:",Course Description:,"This course explores the depiction of the Renaissance in a wide range of plays, films and novels. The focus is on the exchange between film, fiction, and ‘fact’, and on how the values and concerns of the present shape creative recreations of the past in popular culture. Not eligible for CR/NCR option.",VIC114Y1,Exclusion:,Humanities,Distribution Requirement:,Room,"Ross, S.",Group 1: Year 1    Victoria College  (Faculty of Arts and Science),Group 2: Year 1      (Faculty of Arts and Science),"Group 2: Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,Creative and Cultural Representations (1),Breadth Requirement:,,,
VIC,Politics of the Pen,VIC116H1-F,,,,LEC0101,Monday,—,16:00,18:00,VC 304,https://map.utoronto.ca/?id=1809#!m/494602,,,of  available,2,25,Yes: 0 student,In Person,Restricted (R2),Enrolment Controls:,"This section is restricted to two groups of students. Group 1 is given priority access until July 28. There is no course enrolment on July 29. Beginning July 30, Group 2 can enrol in this section:",Course Description:,A study of how literature challenges prevailing political beliefs and social norms. We will situate our discussion in the broader context of human rights and freedoms. We will examine cases where literature has been censored and writers have been imprisoned or driven into exile. Part of this course involves a community service-learning component. We will consider how this literature contributes to debate and advocacy around issues of social justice. Not eligible for CR/NCR option.,Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,"Ivry, H.",Group 1: Year 1    Victoria College  (Faculty of Arts and Science),Group 2: Year 1      (Faculty of Arts and Science),"Group 2: Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,,,
VIC,Understanding the Performing Arts: Interpretation and Expression,VIC117H1-F,,,,LEC0101,Friday,—,10:00,12:00,EM 119,https://map.utoronto.ca/?id=1809#!m/494463,,,of  available,1,25,Yes: 0 student,In Person,Restricted (R2),Enrolment Controls:,"This section is restricted to two groups of students. Group 1 is given priority access until July 28. There is no course enrolment on July 29. Beginning July 30, Group 2 can enrol in this section:",Course Description:,"This course examines two key issues about the performing arts that concern both artists and theorists: the nature of interpretation and of expression. What might we mean when we say that a work, a piece of music or a dance for example expresses something? What is it to express? And what is the nature of interpretation? Are there any constraints or boundaries on interpretation? We will draw on both philosophers and non-philosophers to explore these sorts of questions. Not eligible for CR/NCR option.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,"Bouissac, P.",Group 1: Year 1    Victoria College  (Faculty of Arts and Science),Group 2: Year 1      (Faculty of Arts and Science),"Group 2: Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,,,
VIC,Myths and Legends in Modern Contexts,VIC119H1-F,,,,LEC0101,Thursday,—,10:00,12:00,VC 215,https://map.utoronto.ca/?id=1809#!m/494602,,,of  available,1,25,Yes: 0 student,In Person,Restricted (R2),Enrolment Controls:,"This section is restricted to two groups of students. Group 1 is given priority access until July 28. There is no course enrolment on July 29. Beginning July 30, Group 2 can enrol in this section:",Course Description:,"This course provides an introduction to modern forms of ancient narratives, exploring the ways in which selected ancient literary sources and myths have been adapted to modern Canadian literature. Ancient narratives or ‘old stories’ are often reused, reinterpreted or reconstructed in modern narratives and given new relevance in a contemporary context. Students will encounter sources and contexts of ancient narratives. Not eligible for CR/NCR option.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,"Sutton, C.",Group 1: Year 1    Victoria College  (Faculty of Arts and Science),Group 2: Year 1      (Faculty of Arts and Science),"Group 2: Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,,,
VIC,Evaluating Healthcare: Problems and Solutions,VIC121H1-F,,,,LEC0101,Monday,—,10:00,12:00,NF 332,https://map.utoronto.ca/?id=1809#!m/494600,,,of  available,1,25,Yes: 0 student,In Person,Restricted (R2),Enrolment Controls:,"This section is restricted to two groups of students. Group 1 is given priority access until July 28. There is no course enrolment on July 29. Beginning July 30, Group 2 can enrol in this section:",Course Description:,"This course introduces students to the study of healthcare by asking foundational questions about how evidence and knowledge are produced in the context of healthcare problems. Students will explore how different frameworks for clinical practise (e.g. Evidence-based Medicine, Person-Centered Healthcare) conceptualize evidence and how different methodologies impact how healthcare research is conceived, reported, and understood. Students will learn to critically appraise healthcare research studies and assess their evidence value and implications for clinical practice. Restricted to first-year students. Not eligible for CR/NCR option.",Social Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,"Mercuri, M.",Group 1: Year 1    Victoria College  (Faculty of Arts and Science),Group 2: Year 1      (Faculty of Arts and Science),"Group 2: Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,,,
VIC,Scientific Evidence in Public Policy,VIC122H1-S,,,,LEC0101,Monday,—,10:00,12:00,NF 235,https://map.utoronto.ca/?id=1809#!m/494600,,,of  available,0,25,Yes: 4 students,In Person,Restricted (R2),Enrolment Controls:,"This section is restricted to two groups of students. Group 1 is given priority access until July 28. There is no course enrolment on July 29. Beginning July 30, Group 2 can enrol in this section:",Course Description:,"This course investigates issues arising from the translation of scientific evidence for public consumption, including in the development of public policy and in confronting problems of social and global significance. Areas of focus will include climate change, global health, and clinical medicine. Students will explore concepts including the perception and communication of risk, the generalizability of research findings, probabilistic and mechanistic thinking, and the use and abuse of scientific authority and “expertise” in public discourse. Restricted to first-year students. Not eligible for CR/NCR option.",Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,"Mercuri, M.",Group 1: Year 1    Victoria College  (Faculty of Arts and Science),Group 2: Year 1      (Faculty of Arts and Science),"Group 2: Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,,,
TRIN,Contemporary Issues in Health Science,TRN125Y1-Y,Room,1st Term,2nd Term,LEC0101,Tuesday,—,10:00,12:00,LA 213,https://map.utoronto.ca/?id=1809#!m/494544,LA 213,,of  available,1,25,Yes: 0 student,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,Course Description:,"Can the immune system be strengthened? Are some diseases incurable? What is the best way to stop the spread of a virus? This course examines the scientific principles underlying contemporary issues in the science of human health with the goal of exposing students to the current state of biomedical research. We will develop three distinct types of understanding that are essential to literacy about the science of human health: the basic concepts in science; the nature of scientific research; and the rules that govern how scientists do their work. This course will explore topics such as stem cells, gene editing, regenerative medicine, vaccination, drug development, and personalized medicine. Restricted to first-year students admitted to the . Not eligible for CR/NCR option.",TRN225Y1,Corequisite:,"Innis One, Munk One, New One, SMC One, UC One, Vic One, Woodsworth One",Exclusion:,,"Rojas, O.",,,,Note:,Students must be admitted into the Trinity One Program to be eligible to enrol in Trinity One courses.,Science,Distribution Requirement:,For “E” indicator Trinity One courses: contact Susan He at trinityone@trinity.utoronto.ca,"Living Things and Their Environment (4), Society and its Institutions (3)",Breadth Requirement:
TRIN,Science and Social Choice,TRN135Y1-Y,Room,1st Term,2nd Term,LEC0101,Wednesday,—,15:30,17:30,LA 211,https://map.utoronto.ca/?id=1809#!m/494544,LA 211,,of  available,7,27,Yes: 0 student,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,Course Description:,"Many of the decisions we make as a society rely on advances in scientific knowledge. In this course, we will discuss a number of contemporary medical topics that involve complex scientific discoveries about health, the human body, disease, and infection. We will consider genes and study the medical implications of our growing understanding of the human genome. We will study a number of recent cases in order to explore how scientific findings influence decision-making in hospitals and the selection of social policies. We will also discuss the background forces that shape medical research and how this affects the kinds of health problems that are prioritized. The objective of this course is to develop a solid understanding of biological concepts related to human health and consider them in their wider social and ethical contexts. Restricted to first-year students admitted to the . Not eligible for CR/NCR option.",TRN136Y1,Corequisite:,"Innis One, Munk One, New One, SMC One, UC One, Vic One, Woodsworth One",Exclusion:,,"Braunstein, M.",,,,Note:,Students must be admitted into the Trinity One Program to be eligible to enrol in Trinity One courses.,"Science, Social Science",Distribution Requirement:,For “E” indicator Trinity One courses: contact Susan He at trinityone@trinity.utoronto.ca,"Living Things and Their Environment (4), Society and its Institutions (3)",Breadth Requirement:
VIC,The Death of Meaning,VIC135H1-F,,,,LEC0101,Tuesday,—,11:00,13:00,NF 006,https://map.utoronto.ca/?id=1809#!m/494600,,,of  available,0,25,Yes: 0 student,In Person,Restricted (R2),Enrolment Controls:,"This section is restricted to two groups of students. Group 1 is given priority access until July 28. There is no course enrolment on July 29. Beginning July 30, Group 2 can enrol in this section:",Course Description:,In Darwin concluded there was no evidence to suggest that life was designed by a higher power. A corollary of this is that our lives lack any necessary purpose or meaning. Our readings will be directed to the question of what it means to lack ‘Meaning’. Not eligible for CR/NCR option.,Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,"Lawless, A.",Group 1: Year 1    Victoria College  (Faculty of Arts and Science),Group 2: Year 1      (Faculty of Arts and Science),"Group 2: Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",The Origin of Species,,,,,,
VIC,The Death of Meaning,VIC135H1-S,,,,LEC0101,Tuesday,—,11:00,13:00,NF 332,https://map.utoronto.ca/?id=1809#!m/494600,,,of  available,0,25,Yes: 8 students,In Person,Restricted (R2),Enrolment Controls:,"This section is restricted to two groups of students. Group 1 is given priority access until July 28. There is no course enrolment on July 29. Beginning July 30, Group 2 can enrol in this section:",Course Description:,In Darwin concluded there was no evidence to suggest that life was designed by a higher power. A corollary of this is that our lives lack any necessary purpose or meaning. Our readings will be directed to the question of what it means to lack ‘Meaning’. Not eligible for CR/NCR option.,Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,"Lawless, A.",Group 1: Year 1    Victoria College  (Faculty of Arts and Science),Group 2: Year 1      (Faculty of Arts and Science),"Group 2: Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",The Origin of Species,,,,,,
TRIN,Canadian Health Policy in the Global Context,TRN136Y1-Y,Room,1st Term,2nd Term,LEC0101,Tuesday,—,14:00,16:00,LA 214,https://map.utoronto.ca/?id=1809#!m/494544,LA 214,,of  available,7,27,Yes: 0 student,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,Course Description:,"In this course we consider when our health policies support the highest standards of medical care, consistent with the latest discoveries in medical research. We examine the ways in which debates around ethics, effectiveness and efficiency shape global and national health policy. We begin by exploring the most important advancements in global health policy over the past two decades. We then assess Canada’s experience in providing health care, identifying lessons for national policy reform and for Canada’s role as a leader in global health research and policy. We explore a range of health challenges including universal health care, anti-microbial drug resistance, HIV AIDS, tuberculosis, reproductive, maternal, newborn and child health, cardiovascular care, oncology, environmental health, indigenous health, violence against women and mental health. Restricted to first-year students admitted to the . Not eligible for CR/NCR option.",TRN135Y1,Corequisite:,"TRN235H1, TRN236H1, Innis One, Munk One, New One, SMC One, UC One, Vic One, Woodsworth One",Exclusion:,,"Fitzgibbon, J.",,,,Note:,Students must be admitted into the Trinity One Program to be eligible to enrol in Trinity One courses.,"Science, Social Science",Distribution Requirement:,For “E” indicator Trinity One courses: contact Susan He at trinityone@trinity.utoronto.ca,"Society and its Institutions (3), Thought, Belief and Behaviour (2)",Breadth Requirement:
