resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 4,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,extraTxt 9,extraTxt 10,headerSect 3,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,headerSect 8,weekDay 3,weekDay 4,alignC,weekDay 10,alignC 4,weekDay 18,extraTxt 11,extraTxt 12,weekDay href,extraTxt 13,legendControl 4,legendControl 5,enConDesc,enConList,enConList 2,dayInfo 28,dayInfo 29,dayInfo 30,weekDay href 4
SMC,SMC One: The Gilson Seminar in Faith and Rome,SMC189H1-S,Timetable instructions,Note:,This course is only open to first year students admitted to the Gilson Seminar. The application can be found here: https://form.jotform.com/210184712279253,"This course provides an intensive international learning experience in Rome, Italy. It offers contemporary and historical models of integrating faith with reason, and religious practice with intellectual, creative, and public engagement, specifically the roles that the Catholic Church and Vatican play in Rome, in ecology, science, literature, and public life. This course includes a mandatory travel component to Rome, Italy, which takes place following the Winter term exam period. Restricted to first-year students. Not eligible for CR/NCR option. (An ancillary fee of $2,000 is required to help cover some of the travel costs.)",SMC188H1,Prerequisite:,"Innis One, Munk One, New One, Trinity One, Vic One, UC One, Woodsworth One, SMC155H1, SMC165H1, SMC188Y1",Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Tuesday,—,16:00,17:00,CR 403,"Boyagoda, R.",of  available,13,50,No,In Person,,,,,,,,Creative and Cultural Representations (1),Breadth Requirement:,https://map.utoronto.ca/?id=1809#!m/494580,For more information https://stmikes.utoronto.ca/program/smc-one-gilson-seminar/,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,
SMC,"Christianity, Truth and Reconciliation",SMC194H1-F,,,,"This First-Year Foundations seminar critically explores the complex relations of Christianity and Indigenous peoples of Turtle Island, with a special focus on education. Sample topics include: settler colonialism and treaty relationships; prominent Indigenous Christians, critics and reformers; the residential school system; the Truth and Reconciliation Commission of Canada; recent initiatives in ecclesial repentance, dialogue and enculturation. The course will include online primary research in the archives of residential schools in Ontario. Restricted to first-year students. Not eligible for CR/NCR option.",Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,,Room,LEC0101,Tuesday,—,12:00,14:00,CR 107,"Locklin, R.",of  available,18,25,Yes: 0 student,In Person,Activity,1.0 hours / week,—,—,,,,,,https://map.utoronto.ca/?id=1809#!m/494580,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,
SPA,Barcelona,SPA195H1-F,,,,"A deep dive into the modern experience of one of the world´s most compelling cities, this course considers Barcelona from a multidisciplinary perspective that includes study of its architecture, foodways, politics and response to mass tourism. Restricted to first-year students. Not eligible for CR/NCR option.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,Room,LEC0101,Thursday,—,16:00,18:00,VC 304,"Davidson, B.",of  available,1,25,Yes: 0 student,In Person,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494602,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,
SMC,God and the Poets: Lyric Form in the Christian Tradition,SMC196H1-S,,,,"This course will develop the skills fostered by the close reading of poetry by exploring how the most sophisticated forms of language have been used to address the highest possible subjects in the Christian literary tradition. With readings in English, we will survey poetry in a range of languages and forms, giving particular attention to how, in lyric poetry, poets have addressed themselves to God—from devotion to desperation, ecstasy to outrage, tenderness to terror. In addition to building the necessary skills for reading, describing, and analyzing poetry, this course will also develop other research skills. Restricted to first-year students. Not eligible for CR/NCR option.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,Room,LEC0101,Wednesday,—,10:00,12:00,CR 107,"Tardif, S.",of  available,19,25,Yes: 0 student,In Person,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494580,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,
SMC,"The Sistine Chapel: History, Imagery, Usage",SMC197H1-F,,,,"The Sistine Chapel in Rome is a historical artifact, an artistic monument, and a house of worship—at once recognizable and mystifying. This seminar explores fifteenth-century origins, decoration by some of the most accomplished artists of the Italian renaissance, and continuing use (especially the election of popes). Topics will include: art and patronage, rhetoric and ritual, controversial restoration, and the Sistine Chapel in popular culture—with an emphasis on the close analysis of the major frescoes. The seminar will develop the academic skills needed for the analysis and discussion of texts, paintings, and ritual events. Restricted to first-year students. Not eligible for CR/NCR option.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,Room,LEC0101,Thursday,—,14:00,16:00,TF 201,"O'Connor, M.",of  available,1,25,Yes: 0 student,In Person,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494581,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,
SPA,Cervantes and Imperial Spain,SPA197H1-F,,Don Quixote,,"During the lifetime of Miguel de Cervantes, the Spanish monarchy governed an empire that extended across the globe, from its traditional lands in Europe to colonies in the Philippines and the Americas. We will examine the advantages and cost of imperial rule through reading a selection of Cervantes's works. Discussions will centre on such questions as the social impact of imperial wealth, the disruptive role of soldiers in civil society, contact with non-European cultures and the sub-cultures of Spanish society. Students will be introduced to the University of Toronto´s outstanding resources for studying the literatures and cultures of early modern Europe. Readings will include some of the Exemplary Stories and selected episodes of . Restricted to first-year students. Not eligible for CR/NCR option.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,Room,LEC0101,Monday,—,12:00,14:00,VC 304,"Rupp, S.",of  available,18,25,Yes: 0 student,In Person,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494602,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,
SMC,How to Study Video Games,SMC198H1-F,,,,"Games and play are a fundamental part of human society, and today digital games occupy a central place in popular culture, media industries, and the imaginations of players around the world. This seminar introduces students to the growing academic field of game studies, with an emphasis on close analysis of specific games as cultural objects. Through lectures, discussions, and in-class play sessions, students will build a critical vocabulary and toolbox of techniques for understanding the unique formal, aesthetic, narrative, and thematic properties of games in a variety of platforms and genres, and develop basic academic reading, writing, and research skills. No previous experience or expertise with video games is required to take this course. Restricted to first-year students. Not eligible for CR/NCR option.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,Room,LEC0101,Thursday,—,13:00,15:00,AH 302,"Parker, F.",of  available,0,25,Yes: 0 student,In Person,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494578,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,
SPA,A Brief History of Love in the Western World,SPA198H1-F,,,,"This course introduces students to the ways in which the foremost thinkers in the history of the Western world (Plato, Ovid, St. Augustine, Ficino, Ebreo) conceived the idea of love; how did the notions of sexuality and gender play into that idea, and how did these notions carry on – or not – into our present understanding of love, sexuality and gender. While the background readings pertain to the general Western cultural heritage, the literary texts through which we will observe particular applications of the theories of love were produced by some of the outstanding 16th and 17th century Spanish authors (for ex. Rodríguez de Montalvo; Jorge de Montemayor; Miguel de Cervantes; Tirso de Molina, María de Zayas, Sor Juana Inés de la Cruz). All the readings will be in English. Restricted to first-year students. Not eligible for CR/NCR option.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,Room,LEC0101,Wednesday,—,10:00,12:00,NF 231,"Munjic, S.",of  available,11,25,Yes: 0 student,In Person,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494600,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,
CSC,"Intelligence, Artificial and Human",CSC199H1-S,,There is an equivalent course offered by St. Michael’s College. Students may take one or the other but not both.,,"What is human intelligence? How close are we to replicating it? How productive/reductive is the brain-computer analogy? What ethical challenges are posed by AI on workers, society, and the environment? Can we put a hold on ""progress""? Is Silicon Valley the seat of a new techno-religion? What can they teach us about today's research priorities? What insight (or inspiration) can we get from works of science fiction about the future of human-AI interaction? Through reading discussion, written assignment, and workshops, this seminar will present students with the opportunity to integrate their computer science interests with philosophy, history, and literature. Restricted to first-year students. Not eligible for CR/NCR option.","SMC199H1 (Intelligence, Artificial and Human)",Exclusion:,Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Tuesday,—,14:00,16:00,CR 406,,of  available,0,30,Yes: 10 students,In Person,,,,,,—,,,,https://map.utoronto.ca/?id=1809#!m/494580,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,
SMC,"Intelligence, Artificial and Human",SMC199H1-S,,There is an equivalent course offered by the Department of Computer Science. Students may take one or the other but not both.,,"What is human intelligence? How close are we to replicating it? How productive/reductive is the brain-computer analogy? What ethical challenges are posed by AI on workers, society, and the environment? Can we put a hold on ""progress""? Is Silicon Valley the seat of a new techno-religion? What can they teach us about today's research priorities? What insight (or inspiration) can we get from works of science fiction about the future of human-AI interaction? Through reading discussion, written assignment, and workshops, this seminar will present students with the opportunity to integrate their computer science interests with philosophy, history, and literature.  Restricted to first-year students. Not eligible for CR/NCR option.",CSC199H1,Exclusion:,Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Tuesday,—,10:00,12:00,AH 304,"Richard, J.",of  available,0,25,Yes: 13 students,In Person,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494578,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,
SPA,More than Nachos and Tequila: Mexican History and Culture,SPA199H1-S,,,,"This course aims at studying the rich history of Mexico from an interdisciplinary perspective. We will cover a wide range of issues, such as identity, modernity race, immigration, gender, sexuality, globalization, and iconic figures. The issue of identity as construed from the inside, but also from the outside and particularly from the English-speaking world (i.e. current US presidential views on the wall); will be widely examined. Course materials will range from chronicles of conquest to modern reflections and representations by historians, philosophers, filmmakers, musicians, writers and artist, among others. Restricted to first-year students. Not eligible for CR/NCR option.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,Room,LEC5101,Thursday,—,18:00,20:00,BC 20,"Rocha Osornio, J.",of  available,0,25,Yes: 3 students,In Person,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494604,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,
STAT,Statistical Evidence: Truth or Myth?,STA199H1-F,Timetable instructions,Note:,"This course will be offered completely online and the class will meet together online during the scheduled times. Information about course activities and assessments, will be communicated in the course syllabus and/or on Quercus.","This course explores the impact Statistics has made and continues to make on everyday life through science, law, and the modern methods for information processing. Statistical principles will be illustrated using examples from real life including business, romance and health. Restricted to first-year students. Not eligible for CR/NCR option.",Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,,,Room,LEC0101,Wednesday,—,10:00,12:00,—,"Yeung, J.",of  available,4,25,Yes: 0 student,Online - Synchronous,,,,,,,Wednesday,,,,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),Year 1      (Faculty of Arts and Science),—,10:00,12:00,
SMC,Book & Media Histories,BMS200Y1-Y,Delivery instructions,Note:,"Lectures will be offered synchronously online on Tuesdays 10am-12pm, and lecture recordings will be made available. Lectures must be viewed before tutorials. Students can choose between in-person and online synchronous tutorials, which will not be recorded. Please make sure to register for the correct tutorial.","Traces the long history of media in culture and society, including books and other communication technologies. Covers historical developments including orality and writing, printing and the book, image and sound reproduction, wired and wireless communication, electronic and broadcast media, and contemporary digital media. Examples and case studies will be drawn from a variety of different sociocultural contexts, media industries, and creative practices.",SMC219Y1,Exclusion:,BMS100H1,Recommended Preparation:,Humanities,Distribution Requirement:,,LEC0101,Tuesday,—,10:00,12:00,—,"Parker, F.",of  available,0,200,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),Activity,Tuesday,—,—,CR 405,—,,"Creative and Cultural Representations (1), Society and its Institutions (3)",Breadth Requirement:,https://map.utoronto.ca/?id=1809#!m/494580,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1300 MA BOOK & MEDIA STUDIES,ASMIN1300 MI BOOK & MEDIA STUDIES,,,,https://map.utoronto.ca/?id=1809#!m/494580
SPA,Introduction to Latin American Studies I: Foundational Themes,LAS200H1-F,Timetable instructions,Note:,Enrolment in one tutorial section is mandatory.,"An introductory course studying the development of Latin American societies from their precolumbian past to the 19th century building of modern nations. Cultural, historical, political, and social topics are examined combining historical documents with art, music and other texts from popular culture.","IAS200Y1, LAS200Y1",Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC9901,Tuesday,—,12:00,14:00,—,"Rivas, V.",of  available,10,48,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),Activity,Thursday,—,—,,,,,,,It is recommended that students have a computer with a microphone and camera in order to participate in online activities.,,,,,,,,,
SMC,"Information Literacy, Writing, and Research for Book & Media Studies",BMS201H1-S,,,,"Develops foundational skills for students in Book & Media Studies, including academic writing, information literacy, media literacy, citation, qualitative and quantitative research, primary and secondary sources, library resources, and practical techniques for analyzing different forms of media.",BMS100H1,Recommended Preparation:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC9901,Thursday,—,10:00,12:00,—,,of  available,0,180,Yes: 31 students,Online - Synchronous,,,,,,—,,,,,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1300 MA BOOK & MEDIA STUDIES,ASMIN1300 MI BOOK & MEDIA STUDIES,,,,
SPA,Introduction to Latin American Studies II: Current Issues,LAS201H1-S,Timetable instructions,Note:,Enrolment in one tutorial section is mandatory.,"An introductory course studying the development of Latin American societies from the 20th century to the present. Cultural, historical, political, and social topics are examined combining historical documents with art, music and other texts from popular culture.",IAS200Y1 and LAS200Y1,Exclusion:,LAS200H1,Recommended Preparation:,Humanities,Distribution Requirement:,Room,LEC0101,Tuesday,—,12:00,14:00,JH 100A,"Rivas, V.",of  available,31,48,Yes: 0 student,In Person,Activity,Thursday,,—,,,,Society and its Institutions (3),Breadth Requirement:,https://map.utoronto.ca/?id=1809#!m/494560,,,,,,,,,,
