resultDept,pbot15,hiCC,extraTxt 2,extraTxt 3,extraTxt 4,extraTxt 5,extraTxt 6,headerSect 3,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,weekDay href,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,legendControl 2,extraTxt 7,extraTxt 8,extraTxt 9,extraTxt 10,weekDay 3,legendControl 3,legendControl 4,enConDesc,enConList,enConList 2,extraTxt 11,extraTxt 12,extraTxt 13,alignC
ASI,Comparative Colonialisms in Asia,CAS310H1-F,"This course analyzes the impact of colonialism in South, East, and Southeast Asia and the various ways in which pre-colonial traditions intersect with and reshape colonial and postcolonial process across the various regions of Asia. The course will examine the conjunctures of economy, politics, religion, education, ethnicity, gender, and caste, as these have played out over time in the making and re-making of Asia as both idea and place. Attention will be paid to postcolonial and indigenous theories, questions of ‘the colonial’ from the perspective of Asian Studies, and debates about the meaning of postcolonialism for the study of Asia now and in the future.",0.5 FCE in 200 level CAS courses,Prerequisite:,"Humanities, Social Science",Distribution Requirement:,Room,LEC0101,Wednesday,—,10:00,12:00,SS 2106,https://map.utoronto.ca/?id=1809#!m/494510,"Fujitani, T.",of  available,23,50,Yes: 0 student,In Person,,,,Society and its Institutions (3),Breadth Requirement:,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0235 MA CONTEMPORARY ASIAN STUDIES,ASMIN0235 MI CONTEMPORARY ASIAN STUDIES,,,,
DTS,Transnational Toronto,DTS310H1-F,"Toronto is a city increasingly configured through transnational connections and practices. It is a city defined by the scale at which its residents live their lives; a scale that is no longer (if it ever was) parochial, but extends across time and space to connect people and practice across a multitude of locales. Contemporary understandings of Toronto can only be reached through adopting a transnational lens. This course will examine the processes that have produced Toronto as a transnational city over time, including the dynamics of immigration and mobility, experiences of alienation, the global extension of capitalism, and the (re)formation of communities grounded in the complex dynamics of identities produced in a space that is both ‘home’ and away’. We will also explore the specific practices, and connections that produce “Toronto” as a space that transcends its physical geographic boundaries and is continually reproduced in and through the flows of people, capital, objects, ideas, - and the many forces that reproduce and reconfigure these flows.",Completion of 9.0 credits,Prerequisite:,DTS200Y1,Recommended Preparation:,Room,LEC0101,Monday,—,14:00,17:00,SS 2110,https://map.utoronto.ca/?id=1809#!m/494510,"MacDonald, K.",of  available,55,75,Yes: 0 student,In Person (See Delivery Instructions.),Delivery instructions,Note:,Enrolment is closed.,"Humanities, Social Science",Distribution Requirement:,,,,,,,,,,
DTS,Citizenship and Multiculturalism,DTS314H1-F,"This course examines approaches to belonging and distinction that accompany different models of citizenship. What are some historical and recent trends in the intersections of place, custom, and rights? How have governments related social diversity to social justice in theory and in practice? Areas of emphasis will vary, but may include topics such as authenticity and assimilation; ethno-nationalism; immigration and naturalization policy; indigeneity; insurgency; legacies of colonialism; mass media and popular culture; policing and surveillance; racial stratification; transnational markets; and xenophobia.",DTS200Y1,Prerequisite:,"Humanities, Social Science",Distribution Requirement:,Room,LEC0101,Wednesday,—,14:00,16:00,RW 140,https://map.utoronto.ca/?id=1809#!m/494515,"Sammons, E.",of  available,11,75,Yes: 0 student,In Person,,,,,,,,,,,,,,,
ASI,Comparative Modernities in Asia,CAS320H1-S,"Since at least the late 1700s, the effects of capitalism across the globe have profoundly transformed the landscapes of human livelihood, consumption, production and governance in Asia. While colonial empires have declined, new empires have emerged, and a growing number of countries have witnessed the rise of nationalism and independent states, social, political and technological revolutions, and most recently neoliberal globalization. This course theorizes and explores these dramatic changes in a comparative framework. It is aimed at students wishing to better understand the great transformations of modern Asia in a global context.",0.5 FCE in 200 level CAS courses,Prerequisite:,CAS202H1,Recommended Preparation:,Room,LEC0101,Tuesday,—,14:00,16:00,CR 403,https://map.utoronto.ca/?id=1809#!m/494580,,of  available,32,60,Yes: 0 student,In Person,,,,"Humanities, Social Science",Distribution Requirement:,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0235 MA CONTEMPORARY ASIAN STUDIES,ASMIN0235 MI CONTEMPORARY ASIAN STUDIES,Society and its Institutions (3),Breadth Requirement:,,—
CRIM,Inequality and Criminal Justice,CRI322H1-S,"This course examines the intersections between social inequality and the criminal justice system in Canada and internationally. The course explores how factors such as race, ethnicity, gender, sexual orientation and religion influence perceptions of and experiences with crime and criminal justice.","1 FCE from: CRI205H1, CRI210H1, SOC212H1.",Prerequisite:,"CRI391H1 (Topics in Criminology and Sociolegal Studies: Inequality and Criminal Justice); offered in Winter 2018, Summer 2018, Summer 2019, Winter 2020, SOC322H5",Exclusion:,Room,LEC0101,Wednesday,—,10:00,13:00,LA 211,https://map.utoronto.ca/?id=1809#!m/494544,"Owusu-Bempah, A.",of  available,0,65,Yes: 11 students,In Person,,,,Social Science,Distribution Requirement:,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Centre for Criminology and Sociolegal Studies   (Faculty of Arts and Science),"Centre for Criminology and Sociolegal Studies   (John H. Daniels Faculty of Architecture, Landscape, & Design)",Society and its Institutions (3),Breadth Requirement:,,
POL,Rise of China as a Global Power,JPA331H1-S,"This course will take students through important domestic institutions and events in China that shape its current political landscape. Students will be prompted to think about the implications of domestic political factors for China’s rise as a global power. The course examines major China’s adventurism abroad, such as the Belt-and-Road Initiative, and what increasing footprints of Chinese state and private firms overseas mean for international politics.",2.0 POL credits/1.0 CAS credit,Prerequisite:,JPA331Y1/POLC16H3,Exclusion:,Room,LEC0101,Thursday,—,10:00,12:00,SS 1087,https://map.utoronto.ca/?id=1809#!m/494510,"Ong, L.",of  available,0,70,Yes: 21 students,In Person (See Delivery Instructions.),Timetable instructions,Note:,Delivery Method:  IN PERSON,"Humanities, Social Science",Distribution Requirement:,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASIA PACIFIC STUDIES     (Faculty of Arts and Science),POLITICAL SCIENCE     (Faculty of Arts and Science),Society and its Institutions (3),Breadth Requirement:,Note:,
CRIM,Policing,CRI335H1-F,"A theoretical framework is developed to examine the nature of policing, its structure and function. Attention is given to the history of policing as a global form of social practice. We examine the perspectives of both “the police” and “the policed”, as well as the objectives, domains, strategies, and authority of contemporary policing, including decision-making, organizational culture, and accountability.",CRI210H1/CRI215H1,Prerequisite:,WDW335H1,Exclusion:,Room,LEC0101,Thursday,—,14:00,17:00,BA 1170,https://map.utoronto.ca/?id=1809#!m/494470,"Jauregui, B.",of  available,5,120,Yes: 0 student,In Person,,,,Social Science,Distribution Requirement:,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Centre for Criminology and Sociolegal Studies   (Faculty of Arts and Science),"Centre for Criminology and Sociolegal Studies   (John H. Daniels Faculty of Architecture, Landscape, & Design)",Society and its Institutions (3),Breadth Requirement:,,
CRIM,Punishment: Theory and Practice,CRI340H1-F,"The study of punishment from historical and philosophical perspectives, with a focus on contemporary Canadian policy issues. Topics covered include penal theory, prisons and non-carceral forms of punishment, and the goals of penal reform.","CRI205H1, CRI210H1, CRI225H1",Prerequisite:,WDW340H1,Exclusion:,Room,LEC0101,Thursday,—,10:00,13:00,KP 108,https://map.utoronto.ca/?id=1809#!m/494488,"Weaver, A.",of  available,0,120,Yes: 0 student,In Person,,,,Social Science,Distribution Requirement:,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Centre for Criminology and Sociolegal Studies   (Faculty of Arts and Science),"Centre for Criminology and Sociolegal Studies   (John H. Daniels Faculty of Architecture, Landscape, & Design)",Society and its Institutions (3),Breadth Requirement:,,
ASI,Asian Youth Cultures,CAS350H1-F,"In focusing on youth in Asia, this course brings together two disputed cultural formations of substantial contemporary importance. Both youth and Asia are increasingly invoked on the global stage in support of a wide range of interests. Examining practices of young people and the idea of youth in the context of Asia requires critical attention to the promises and fears that attach to the rise of Asian economies, international demographic transitions, the growth of a global middle-class, increasing consumption disparities, changing immigration patterns, expanding technological skills, global/local environmental concerns, and young people’s shifting political priorities and loyalties. The course may feature a significant amount of social theory, with authors such as Michel Foucault, Roland Barthes, Louis Althusser, and Stuart Hall.",Minimum of 6 FCEs,Prerequisite:,0.5 FCE in 200 level CAS courses,Recommended Preparation:,Room,LEC0101,Thursday,—,10:00,12:00,UC 179,https://map.utoronto.ca/?id=1809#!m/494517,"Clark, D.",of  available,5,50,Yes: 0 student,In Person,,,,"Humanities, Social Science",Distribution Requirement:,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0235 MA CONTEMPORARY ASIAN STUDIES,ASMIN0235 MI CONTEMPORARY ASIAN STUDIES,Creative and Cultural Representations (1),Breadth Requirement:,,
CRIM,Understanding Criminological Research,CRI350H1-F,"An introduction to social science research methods used by criminologists and to the statistical analysis of criminological data. An understanding of the strengths and weaknesses of published criminological research is developed. Specific technical issues related to sampling, measurement, and data analysis are taught in the context of examining ways of answering research questions.","CRI205H1, CRI210H1, CRI225H1",Prerequisite:,"SOC200H1, SOC200Y1, WDW350H1, WDW350Y1",Exclusion:,Room,LEC0101,Monday,—,13:00,16:00,GB 248,https://map.utoronto.ca/?id=1809#!m/494473,"Laniyonu, A.",of  available,0,100,Yes: 0 student,In Person,,,,Social Science,Distribution Requirement:,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Centre for Criminology and Sociolegal Studies   (Faculty of Arts and Science),"Centre for Criminology and Sociolegal Studies   (John H. Daniels Faculty of Architecture, Landscape, & Design)",Society and its Institutions (3),Breadth Requirement:,,
ASI,Asian Genders,CAS360H1-S,"This course will explore ways that gender is mobilized and produced in parts of Asia. It seeks to understand gender and sexuality in their diversity and in attempts to “fix” or locate it in various bodies and places. Attempts will be made to see how gender is made knowable in terms of sexuality, medicine, nation, class, ethnicity, religion, and other discourses. The course assumes a willingness to read challenging theory – such as the writings of Judith Butler, Michel Foucault, and Eve Sedgwick – and asks that students commit to regular attendance.",Minimum of 6 FCEs,Prerequisite:,0.5 FCE in 200 level CAS courses,Recommended Preparation:,Room,LEC0101,Monday,—,10:00,12:00,UC 163,https://map.utoronto.ca/?id=1809#!m/494517,"Clark, D.",of  available,27,50,Yes: 0 student,In Person,,,,Social Science,Distribution Requirement:,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0235 MA CONTEMPORARY ASIAN STUDIES,ASMIN0235 MI CONTEMPORARY ASIAN STUDIES,Society and its Institutions (3),Breadth Requirement:,,
CRIM,Indigenous Peoples & Criminal Justice,CRI364H1-F,"An introduction to issues affecting Indigenous peoples in the Canadian criminal justice system identified by Indigenous scholars, activists and allies. Topics include: effects of colonization, legal discrimination and disenfranchisement, Treaties and land claims, criminalization, Indigenous activism, and the Truth and Reconciliation Commission.","1.0 credit from: CRI205H1, CRI210H1, CRI215H1, CRI225H1",Prerequisite:,CRI394H1 Topics: Indigenous Peoples & Criminal Justice taken in 20171,Exclusion:,Room,LEC5101,Tuesday,—,17:00,20:00,OI 2214,https://map.utoronto.ca/?id=1809#!m/494563,"Taylor, K.",of  available,0,55,Yes: 0 student,In Person,,,,Social Science,Distribution Requirement:,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Centre for Criminology and Sociolegal Studies   (Faculty of Arts and Science),"Centre for Criminology and Sociolegal Studies   (John H. Daniels Faculty of Architecture, Landscape, & Design)",Society and its Institutions (3),Breadth Requirement:,,
CRIM,Crime and Mind,CRI365H1-F,"Legal, psychological and sociological understandings of issues in the criminal justice system, through a consideration of topics including: criminal intent, the Not Criminally Responsible on Account of Mental Disorder defence, the use of battered woman syndrome as part of a self-defence, infanticide, issues of transcultural psychiatry, and jury screening for bias.","1.0 FCE from CRI205H1, CRI210H1, CRI225H1",Prerequisite:,WDW365H1,Exclusion:,Room,LEC0101,Wednesday,—,13:00,16:00,UC 140,https://map.utoronto.ca/?id=1809#!m/494517,"Watson, W.",of  available,0,120,Yes: 0 student,In Person,,,,Social Science,Distribution Requirement:,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Centre for Criminology and Sociolegal Studies   (Faculty of Arts and Science),"Centre for Criminology and Sociolegal Studies   (John H. Daniels Faculty of Architecture, Landscape, & Design)",Society and its Institutions (3),Breadth Requirement:,,
ASI,Asian Cities,CAS370H1-S,"This course offers a multidisciplinary perspective of urban life in Asia. The thematic focus will be on how the urban intersects with modernities and postcolonial formations. Drawing on recent scholarship in the social sciences and the humanities, we will examine the realignment of cultural, political, and economic forces associated with Asia’s diverse processes of urbanization.",Minimum of 6 FCEs,Prerequisite:,0.5 FCE in 200 level CAS courses,Recommended Preparation:,Room,LEC0101,Friday,—,12:00,14:00,SS 1074,https://map.utoronto.ca/?id=1809#!m/494510,"Punjabi, B.",of  available,3,60,Yes: 0 student,In Person,,,,Social Science,Distribution Requirement:,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0235 MA CONTEMPORARY ASIAN STUDIES,ASMIN0235 MI CONTEMPORARY ASIAN STUDIES,Society and its Institutions (3),Breadth Requirement:,,
CRIM,Youth Justice,CRI370H1-S,"The course will examine what is known about offending by youths and the various purposes that have been attributed to youth justice systems.  The course will focus, in large part, however, on the nature of the laws and youth justice systems that have been designed in Canada and elsewhere to respond to offending by youths.","CRI205H1, CRI210H1, CRI225H1",Prerequisite:,"WDW370H1, WDW375H1",Exclusion:,Room,LEC0101,Wednesday,—,16:00,19:00,VC 323,https://map.utoronto.ca/?id=1809#!m/494602,"Levinsky, Z.",of  available,0,120,Yes: 7 students,In Person,,,,Social Science,Distribution Requirement:,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Centre for Criminology and Sociolegal Studies   (Faculty of Arts and Science),"Centre for Criminology and Sociolegal Studies   (John H. Daniels Faculty of Architecture, Landscape, & Design)",Society and its Institutions (3),Breadth Requirement:,,
CRIM,"Crime, Gender and Sex",CRI380H1-S,"Theory, research and policy related to the ways in which gender shapes criminal behaviour, the administration of criminal justice, and the criminal law. How notions of different types of masculinity and femininity are embedded in and influence both the operation of the criminal justice system as well as criminal behaviours. The regulation of gender and sexuality through the criminal law and through crime.",(CRI205H1 and CRI210H1) or (70% in SOC212H1 and enrolment in Sociology program),Prerequisite:,WDW380H1,Exclusion:,Room,LEC0101,Thursday,—,13:00,16:00,VC 323,https://map.utoronto.ca/?id=1809#!m/494602,,of  available,0,100,Yes: 23 students,In Person,,,,Social Science,Distribution Requirement:,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Centre for Criminology and Sociolegal Studies   (Faculty of Arts and Science),"Centre for Criminology and Sociolegal Studies   (John H. Daniels Faculty of Architecture, Landscape, & Design)",Society and its Institutions (3),Breadth Requirement:,,—
CRIM,"Immigration, Ethnicity and Crime",CRI383H1-F,"The connection between immigration and crime, the effect of immigration on crime rates, discrimination against immigrants, the representation of immigrants in crime statistics, public perception of risk and security, and criminal justice policy changes which affect immigration. We consider research conducted in North America and Europe.",CRI205H1 or SOC212H1,Prerequisite:,"WDW383H1, WDW390H1 in 2008",Exclusion:,Room,LEC5101,Wednesday,—,17:00,20:00,RW 110,https://map.utoronto.ca/?id=1809#!m/494515,"Taylor, K.",of  available,1,125,Yes: 0 student,In Person,,,,Social Science,Distribution Requirement:,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Centre for Criminology and Sociolegal Studies   (Faculty of Arts and Science),"Centre for Criminology and Sociolegal Studies   (John H. Daniels Faculty of Architecture, Landscape, & Design)",Society and its Institutions (3),Breadth Requirement:,,
HIS,"Japan in the World, Mid-16th to Mid-20th century",JHA384H1-F,"This course examines Japan within the context of world history from the mid-16th to the mid-20th century. Rather than seek comprehensive coverage of Japan's national history along a linear timeline, we will use Japan as a lens through which to consider key moments in the history of the modern world.","One course from: HIS102Y1, HIS103Y1, HIS107Y1, HIS241H1, HIS242H1, HIS244H1, HIS250H1, HIS250Y1, HIS271Y1, HIS280Y1, HIS281Y1, HIS282Y1, HIS283Y1, HIS291H1, HIS291Y1, HIS292H1, HIS292Y1, HIS297Y1, or 1.0 credit from CAS200H1, CAS201H1, CAS202H1, CAS310H1, CAS320H1.",Prerequisite:,Humanities,Distribution Requirement:,Room,LEC5101,Wednesday,—,17:00,19:00,SS 1083,https://map.utoronto.ca/?id=1809#!m/494510,"Jung, S.",of  available,24,75,Yes: 0 student,In Person,,,,Society and its Institutions (3),Breadth Requirement:,,,,,,,,,,
CRIM,Representing Crime and Authority,CRI385H1-S,"Cultural constructions of crime, disorder, dangerousness and risk are integral parts of the criminal justice system. A critical analysis of how criminal justice personnel, the media, and academic criminologists construct their authority through symbols and images, in order to “explain” and manage crime, and how these representations are regarded in public discourse.","1.0 FCE from CRI205H1, CRI210H1, CRI225H1",Prerequisite:,WDW385H1,Exclusion:,Room,LEC0101,Wednesday,—,10:00,13:00,VC 323,https://map.utoronto.ca/?id=1809#!m/494602,"Watson, W.",of  available,0,120,Yes: 2 students,In Person,,,,Social Science,Distribution Requirement:,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Centre for Criminology and Sociolegal Studies   (Faculty of Arts and Science),"Centre for Criminology and Sociolegal Studies   (John H. Daniels Faculty of Architecture, Landscape, & Design)",Society and its Institutions (3),Breadth Requirement:,,
