resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 4,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,weekDay 3,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,legendControl 3,legendControl 4,enConDesc,enConList,enConList 2,enConList 3,enConList 4,headerSect 13,alignC,headerSect 91,weekDay href,extraTxt 11,extraTxt 12,extraTxt 13,extraTxt 14
ANT,Core Concepts in Social and Cultural Anthropology,ANT207H1-F,,,,"Society, culture, kinship, exchange, community, identity, politics, belief: these and other core concepts are explored in this course, which lays the foundation for advanced courses in social and cultural anthropology.",Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,LEC0101,Tuesday,—,10:00,12:00,OI G162,UC 87,"Li, T.",of  available,46,210,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1775 MA ANTHROPOLOGY,ASMAJ2112 MA ANTHROPOLOGY(SCTY/CULT/LNG),ASSPE2112 SP ANTHROPOLOGY(SCTY/CULT/LNG),,Activity,—,Room,https://map.utoronto.ca/?id=1809#!m/494563,,,,
ANT,Medical Anthropology: an Evolutionary Perspective on Human Health,ANT208H1-S,,,,"Introduction to applied evolutionary medical anthropology. It explores evidence for the evolution of human vulnerability to disease across the life cycle (conception to death) and implications for health of contemporary populations in behavioral ecological, cross-cultural, health and healing systems, historical trauma, inter-sectionality, and climate change, lenses.",ANT100Y1/BIO120H1,Recommended Preparation:,"Science, Social Science",Distribution Requirement:,LEC0101,Wednesday,—,14:00,16:00,BT 101,UC 256,"Song, R.",of  available,180,400,Yes: 0 student,In Person,,,,,,,,Activity,—,Room,https://map.utoronto.ca/?id=1809#!m/494605,Living Things and Their Environment (4),Breadth Requirement:,,
CSUS,Concepts in American Studies,AMS210H1-S,Delivery instructions,Note:,"This course has been tentatively scheduled for in-person delivery, but final delivery method will be determined closer to the date and will only be in-person if possible.","An interdisciplinary introduction to concepts key to the study of the United States in the world. Course materials will range from political, cultural, and literary theory to visual and material artifacts. Examining issues in the politics, history, and culture of the U.S., the course will give a grounding in the methods and ideas that make up the practice of American Studies.","Humanities, Social Science",Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,LEC0101,Thursday,—,09:00,11:00,SS 2135,,"Bost, T.",of  available,19,25,Yes: 0 student,In Person (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0135 MA AMERICAN STUDIES,ASMIN0135 MI AMERICAN STUDIES,,,Subtitle,,Room,https://map.utoronto.ca/?id=1809#!m/494510,,,,
ANT,Anthropologists and Indigenous Peoples in North America,ANT210H1-S,,ANT100Y1,Social Science,"This course provides a rigorous introduction to historical and contemporary relations between Indigenous peoples and anthropologists, spanning archaeology, biological/ evolutionary anthropology, and socio-cultural & linguistic fields. The course centers Indigenous experience, critique, and scholarship, and fosters students’ critical thinking skills as applied to the ethics and politics of anthropological research, past and present. The course is organised into three modules:",1.     Introduction to Indigenous peoples’ critiques and concerns regarding anthropology,Exclusion:,2.     Understanding historical context of these issues,Recommended Preparation:,LEC0101,Wednesday,—,14:00,16:00,—,BL 113,"Maxwell, K.",of  available,40,100,Yes: 0 student,Online - Synchronous,,,,,,,,Activity,—,Room,,"3.     In-depth discussion of current issues, oriented to emergent and possible future transformations in anthropology’s relations with Indigenous peoples.",Distribution Requirement:,ANT388H1,Breadth Requirement:
ANT,Language & Society,ANT253H1-F,,,,"This course introduces linguistic analysis with a view towards its application to the study of the relation between culture and social structure. The interplay of pronunciation, grammar, semantics, and discourse with rituals, ideologies, and constructions of social meaning and worldview are discussed in tandem with the traditional branches of linguistic analysisphonology, morphology, grammar, syntax, and semantics. The objective of the course is to provide a broad framework for understanding the role of language in society.",JAL253H1,Exclusion:,ANT100Y1,Recommended Preparation:,LEC9901,Monday,—,14:00,16:00,—,—,"Yeung, S.",of  available,2,400,Yes: 0 student,Online - Synchronous,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 2      (Faculty of Arts and Science),Year 1      (Faculty of Arts and Science),ASMAJ2112 MA ANTHROPOLOGY(SCTY/CULT/LNG),,Activity,—,Room,,Social Science,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:
CSUS,Theories and Methods in American Studies,AMS300H1-S,Timetable instructions,Note:,"This class sets out to answer Henry Nash Smith’s field-defining question: ‘Can American Studies develop a method?’  As we explore exactly how to ‘do’ American Studies, we’ll read scholarship from a wide range of theorists across a variety of disciplines, including demography, history, political science, geography, literary studies, sociology and visual culture.  And because theory needs an object, this class pairs discussion of LGBTQI citizenship with the lurid covers of dime store novels, and analysis of Cold War geography with Lyndon Johnson’s infamous anti-nuclear ‘Daisy’ campaign ad.  We’ll also examine how scholars use techniques such as ethnography, quantitative analysis and close reading to illuminate the American experience.  By analyzing the methods, history and theories of American Studies, we’ll trace the invention of the field and explore controversial debates over the discipline’s future.  Required for majors and minors, but open to all who meet pre-requisites.","This course, required for majors and minors but open to all who have met the pre-requisites, explores a range of approaches to the field of American Studies. Students will be introduced to some of the many ‘theories and methods’ that have animated the field of American Studies, including historical methods; formal analysis of visual and literary texts; and key concepts, such as commodity chain analysis; ‘race,’ ‘commodity,’ ‘gender,’ ‘diaspora,’ and ‘affect.’",HIS271Y1 or ENG250Y1 or GGR240H1 or GGR254H1 or POL203Y1 or POL386Y1 or the combination of POL347H1 and POL386H1,Prerequisite:,"USA300H1, USA300Y1",Exclusion:,LEC0101,Tuesday,—,11:00,13:00,OI 8180,OI 4418,"Rahr, A.",of  available,32,40,Yes: 0 student,In Person (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0135 MA AMERICAN STUDIES,ASMIN0135 MI AMERICAN STUDIES,ASMAJ0135 MA AMERICAN STUDIES,ASMIN0135 MI AMERICAN STUDIES,Activity,—,Room,https://map.utoronto.ca/?id=1809#!m/494563,"Humanities, Social Science",Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:
ANA,Human Anatomy and Histology,ANA300Y1-Y,Timetable instructions,Note:,ANA300Y1 meets four hours per week for lectures. One-hour tutorials are offered six times per week.,"Structure of the human body and its relationship to function. Basic human histology, gross anatomy and neuroanatomy. Some content is delivered using online modules.",BIO130H1 or BIO206H5 or BIOB10H3. ANA126Y1 may be applied for students enrolled in a program in Kinesiology and Physical Education.,Prerequisite:,Science,Distribution Requirement:,LEC0101,Tuesday,—,13:00,15:00,MS 2158,MS 2158,"Ballyk, D.",of  available,48,400,Yes: 0 student,In Person (See Delivery Instructions.),,,,,,,,Activity,—,,https://map.utoronto.ca/?id=1809#!m/494491,Living Things and Their Environment (4),Breadth Requirement:,,
ANA,Human Embryology,ANA301H1-S,,,,Human embryology from fertilization to the end of the fetal period. Current concepts in mammalian morphogenesis applied to the development of the various organ systems; etiologies and pathogenesis of some of the more common human congenital abnormalities.,BIO130H1,Prerequisite:,Science,Distribution Requirement:,LEC0101,Monday,—,13:00,15:00,MS 2158,MS 2158,"Alexson, T.",of  available,341,500,Yes: 0 student,In Person,,,,,,,,,,Room,https://map.utoronto.ca/?id=1809#!m/494491,Living Things and Their Environment (4),Breadth Requirement:,,
ANT,Archaeological Interpretation,ARH305H1-F,,,,"Transforming archaeological results into statements about people and their life ways. Covers basic archaeological theory, including research design, sampling, stratigraphy, seriation, formation and testing or evaluation of hypotheses, regional analyses. Introduces some of the major schools of archaeological theory, including New Archaeology and Post-Processual Archaeology.",ANT200Y1,Prerequisite:,Social Science,Distribution Requirement:,LEC0101,Wednesday,—,10:00,12:00,MP 134,,"Sapirstein, P.",of  available,23,60,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Anthropology   (Faculty of Arts and Science),"Department of Anthropology   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,Room,https://map.utoronto.ca/?id=1809#!m/494490,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,
ES,Environmental and Archaeological Geophysics,JGA305H1-F,,,,"Application of near-surface geophysical methods to investigate environmental and archaeological sites; in particular magnetometry, resistivity, ground-probing radar, and seismic surveys. Course will cover background on the various methods, and allow students to run field surveys and present on case studies.",ESS241H1 or ANT200Y1 or GGR201H1,Prerequisite:,Science,Distribution Requirement:,LEC0101,Tuesday,—,14:00,17:00,ES 1062,ES 1062,"Bank, C.",of  available,15,50,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,(Faculty of Applied Science & Engineering),,,,Room,,Room,https://map.utoronto.ca/?id=1809#!m/494499,The Physical and Mathematical Universes (5),Breadth Requirement:,,
ANT,"Archaeology, Ethics, and the Public",ARH309H1-S,,,,"An analysis of ethics in contemporary archaeology that covers reburial and repatriation, interpretation of the archaeological record in the context of historically oppressed groups, ethnic minorities, and non-western societies, the ethics of collecting and managing cultural property, relationships with the media, the debates surrounding looting, and other issues.",ANT200Y1,Prerequisite:,Social Science,Distribution Requirement:,LEC0101,Wednesday,—,12:00,14:00,BL 205,,"Jennings, J.",of  available,18,60,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Anthropology   (Faculty of Arts and Science),"Department of Anthropology   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,Room,https://map.utoronto.ca/?id=1809#!m/494536,Society and its Institutions (3),Breadth Requirement:,,
CSUS,Approaches to American Studies,AMS310H1-F,Delivery instructions,Note:,"This course has been tentatively scheduled for in-person delivery, but final delivery method will be determined closer to the date and will only be in-person if possible.","An in-depth, interdisciplinary examination of a specific question concerning U.S. history, politics, and/or culture. Focus varies depending on instructor. Major emphases include reading critically and the initial steps of conducting original research.","AMS300H1/USA300H1, or 1.0 credit chosen from the four American Studies Program disciplinary/thematic clusters (Politics and Economics, Society, Culture, and History) as published in the American Studies section of the Calendar.",Prerequisite:,"Humanities, Social Science",Distribution Requirement:,LEC5101,Monday,—,18:00,21:00,UC 256,,"Rayter, S.",of  available,2,10,Yes: 0 student,In Person (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0135 MA AMERICAN STUDIES,ASMIN0135 MI AMERICAN STUDIES,,,Subtitle,,Room,https://map.utoronto.ca/?id=1809#!m/494517,Creative and Cultural Representations (1),Breadth Requirement:,,
CSUS,Approaches to American Studies,AMS311H1-F,Timetable instructions,Note:,"In cities across America, statues of Confederate heroes have recently come tumbling down.  Even in the dead of night, some removal crews wear masks to conceal their identities and protect them from retribution.  As the republic grapples with conflicting histories, this course will examine the politics of memorialization.  We’ll ask what gets remembered, by whom, for how long, and what form public commemoration takes.  Reading statues, plaques, monuments and museums, we’ll consider the relationship between memorialization and amnesia as we explore just how American memorials do the cultural work of remembering and forgetting.  To that end, we’ll consider the long and contentious history of American monument making: from the Mall in Washington D.C. to Alabama’s new monument to victims of lynching - all as we examine how public memorialization makes and unmakes American history.","An in-depth, interdisciplinary examination of a specific question concerning U.S. history, politics, and/or culture. Focus varies depending on instructor. Major emphases include reading critically and the initial steps of conducting original research.","AMS300H1/USA300H1, or 1.0 credit chosen from the four American Studies Program disciplinary/thematic clusters (Politics and Economics, Society, Culture, and History) as published in the American Studies section of the Calendar.",Prerequisite:,"Humanities, Social Science",Distribution Requirement:,LEC0101,Tuesday,—,14:00,16:00,BL 114,,"Rahr, A.",of  available,16,25,Yes: 0 student,In Person (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0135 MA AMERICAN STUDIES,ASMIN0135 MI AMERICAN STUDIES,,,Subtitle,,Room,https://map.utoronto.ca/?id=1809#!m/494536,Creative and Cultural Representations (1),Breadth Requirement:,This class will meet outdoors a few times to look at public memorials as a part of the course.,
CSUS,Approaches to American Studies,AMS312H1-F,Timetable instructions,Note:,"In 2001, on the eve of invading Afghanistan, President George W. Bush described the United States as ""a peaceful nation.” History would suggest otherwise. Setting aside an almost unbroken chain of military engagements, both internal and external, since its founding revolution, the history of the United States is rife with violence. That violence might have taken the form of resistance against oppression; it may have been by the government against insurrections, real and perceived; it may have been outright massacres, whether of Indigenous people, striking workers, or African Americans. This course will examine those histories of violence and the discourses that have surrounded them, to better understand American Exceptionalism and its critics.","An in-depth, interdisciplinary examination of a specific question concerning U.S. history, politics, and/or culture. Focus varies depending on instructor. Major emphases include reading critically and the initial steps of conducting original research.","AMS300H1/USA300H1, or 1.0 credit chosen from the four American Studies Program disciplinary/thematic clusters (Politics and Economics, Society, Culture, and History) as published in the American Studies section of the Calendar.",Prerequisite:,"Humanities, Social Science",Distribution Requirement:,LEC0101,Wednesday,—,14:00,16:00,UC 144,,"D'Amico, F.",of  available,37,45,Yes: 0 student,In Person (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0135 MA AMERICAN STUDIES,ASMIN0135 MI AMERICAN STUDIES,,,Subtitle,,Room,https://map.utoronto.ca/?id=1809#!m/494517,Society and its Institutions (3),Breadth Requirement:,,
CSUS,Approaches to American Studies,AMS312H1-S,,,,"An in-depth, interdisciplinary examination of a specific question concerning U.S. history, politics, and/or culture. Focus varies depending on instructor. Major emphases include reading critically and the initial steps of conducting original research.","AMS300H1/USA300H1, or 1.0 credit chosen from the four American Studies Program disciplinary/thematic clusters (Politics and Economics, Society, Culture, and History) as published in the American Studies section of the Calendar.",Prerequisite:,"Humanities, Social Science",Distribution Requirement:,LEC0101,Monday,—,10:00,12:00,BL 325,,"Wu, N.",of  available,7,15,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0135 MA AMERICAN STUDIES,ASMIN0135 MI AMERICAN STUDIES,,,Subtitle,,Room,https://map.utoronto.ca/?id=1809#!m/494536,Society and its Institutions (3),Breadth Requirement:,,
ANT,Archaeological Laboratory,ARH312Y1-Y,,,,"Techniques for making archaeological data meaningful after excavation or survey. Archaeological measurements, compilation of data, database design, archaeological systematics, and sampling theory in the context of lithics, pottery, floral, faunal and other archaeological remains.","ANT200Y1 and a half statistics course (e.g. EEB225H1, GGR270H1*, STA220H1, STA221H1, STA257H1, STA261H1, ANTC35H3**. Note: *Geography Pre- or co-requisites waived for Anthropology and Archaeology students; ** to be taken at the Scarborough Campus",Prerequisite:,Social Science,Distribution Requirement:,LEC0101,Tuesday,—,14:00,17:00,AP 130,AP 130,"Banning, E.",of  available,11,30,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Anthropology   (Faculty of Arts and Science),"Department of Anthropology   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,,https://map.utoronto.ca/?id=1809#!m/494472,The Physical and Mathematical Universes (5),Breadth Requirement:,,
CSUS,Approaches to American Studies,AMS313H1-F,Delivery instructions,Note:,"This course has been tentatively scheduled for in-person delivery, but final delivery method will be determined closer to the date and will only be in-person if possible.","An in-depth, interdisciplinary examination of a specific question concerning U.S. history, politics, and/or culture. Focus varies depending on instructor. Major emphases include reading critically and the initial steps of conducting original research.","AMS300H1/USA300H1, or 1.0 credit chosen from the four American Studies Program disciplinary/thematic clusters (Politics and Economics, Society, Culture, and History) as published in the American Studies section of the Calendar.",Prerequisite:,"Humanities, Social Science",Distribution Requirement:,LEC0101,Friday,—,12:00,14:00,SS 1074,,"Kilgore, K.",of  available,5,22,Yes: 0 student,In Person (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0135 MA AMERICAN STUDIES,ASMIN0135 MI AMERICAN STUDIES,,,Subtitle,,Room,https://map.utoronto.ca/?id=1809#!m/494510,Society and its Institutions (3),Breadth Requirement:,,
ANT,Archaeology of Eastern North America,ANT317H1-S,,,,"This course examines the precontact and early contact period culture history of eastern North America, including Ontario, through archaeological evidence. Topics covered include the earliest peopling of the region at the end of the Ice Age, diversity of hunter-gatherer societies, introduction of agriculture, and the development of the dynamic First Nations societies who eventually met and interacted with Europeans.",ANT200Y1,Prerequisite:,Social Science,Distribution Requirement:,LEC0101,Thursday,—,12:00,14:00,UC 179,,"Patton, K.",of  available,30,60,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Anthropology   (Faculty of Arts and Science),"Department of Anthropology   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,Room,https://map.utoronto.ca/?id=1809#!m/494517,Society and its Institutions (3),Breadth Requirement:,,
