resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 3,extraTxt href,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,extraTxt 9,extraTxt 10,extraTxt 11,extraTxt 12,extraTxt 13,headerSect 3,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,weekDay href,colInst,numCurr,numTot,numWait,onlineMeeting,legendControl 3,legendControl 4,enConDesc,enConList,enConList 2,extraTxt 14,extraTxt 15,legendControl 5,extraTxt 16,weekDay 3,enConList 3,enConList 4,headerSect 8,headerSect 9,headerSect 11,headerSect 12,headerSect 13,headerSect 14,colCode 2,weekDay href 2,alignC,colAvail 2,numCurr 2,numTot 2,numWait 2,onlineMeeting 2,extraTxt 17,weekDay 6,dayInfo 7,dayInfo 8,dayInfo 9,colInst 2
NUSCI,Basic Human Nutrition,NFS284H1-S,Timetable instructions,Note:,Online- Asynchronous,,,"An introductory course to provide the fundamentals of human nutrition to enable students to understand and think critically about the complex interrelationships between food, nutrition, health and the environment.",HLTB11H3,Exclusion:,"(BIO120H1, BIO130H1)/BIO150Y1; (CHM138H1,CHM139H1)/(CHM135H1,CHM136H1)/CHM151Y1",Recommended Preparation:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC9901,3.0 hours / week,,,,,,,0,860,Yes: 204 students,Asynchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1068 MA NUTRITIONAL SCIENCES  - Year 2,ASMAJ1068 MA NUTRITIONAL SCIENCES  - Year 3,,Note:,Delivery instructions,"Lectures will be delivered online; learning is self paced and not reliant on a meeting schedule. There will be a scheduled test during the final assessment period, also to be delivered online.",—,ASMAJ1068 MA NUTRITIONAL SCIENCES  - Year 4,,,,,,,,,,—,,,,,,,,,,,
PCL,Research Experience in Pharmacology & Toxicology,PCL297H1-F,Timetable instructions,Note:,Students enroll in this course through the Department. Please contact course coordinator: Dr. Hamadani at .,anita.hamadanizadeh@utoronto.ca,https://timetable.iit.artsci.utoronto.ca/anita.hamadanizadeh@utoronto.ca,"A formal opportunity to gain hands-on experience and develop their skills within a research laboratory setting. Students will have a chance to become familiar and efficient at good lab practices, develop critical thinking and evaluation skills while applying their knowledge and developing trouble shooting skills to practical research questions. This course is Pass/Fail. Not eligible for CR/NCR option.",None; Permission of Faculty Supervisor and Departmental Undergraduate Coordinator required.,Prerequisite:,None,Corequisite:,Completion of at least first year of Life Sciences program.,Recommended Preparation:,Science,Distribution Requirement:,Room,LEC0101,,—,,,,,"Hamadanizadeh, A.",9,15,No,In Person (See Delivery Instructions.),Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,Living Things and Their Environment (4),Note:,Delivery instructions,This is an independent research project course with no formal lecture schedule. Students are required to secure their own supervisor for the course.,—,,,,,,,,,,,,,,,,,Breadth Requirement:,,,,,
PCL,Research Experience in Pharmacology & Toxicology,PCL297H1-S,Timetable instructions,Note:,Students enroll in this course through the Department. Please contact course coordinator: Dr. Hamadani at .,anita.hamadanizadeh@utoronto.ca,https://timetable.iit.artsci.utoronto.ca/anita.hamadanizadeh@utoronto.ca,"A formal opportunity to gain hands-on experience and develop their skills within a research laboratory setting. Students will have a chance to become familiar and efficient at good lab practices, develop critical thinking and evaluation skills while applying their knowledge and developing trouble shooting skills to practical research questions. This course is Pass/Fail. Not eligible for CR/NCR option.",None; Permission of Faculty Supervisor and Departmental Undergraduate Coordinator required.,Prerequisite:,None,Corequisite:,Completion of at least first year of Life Sciences program.,Recommended Preparation:,Science,Distribution Requirement:,Room,LEC0101,,—,,,,,"Hamadanizadeh, A.",15,15,No,In Person (See Delivery Instructions.),Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,Living Things and Their Environment (4),Note:,Delivery instructions,This is an independent research project course with no formal lecture schedule. Students are required to secure their own supervisor for the course.,—,,,,,,,,,,,,,,,,,Breadth Requirement:,,,,,
PCL,Research Readiness and Advancing Biomedical Discoveries,JPM300H1-S,Timetable instructions,Note:,"This is a hybrid course. Online modules are followed by in-class time focused on active learning and team work. Student inquiries should be directed to the course coordinator: Dr. Michelle Arnot, .",michelle.arnot@utoronto.ca,https://timetable.iit.artsci.utoronto.ca/michelle.arnot@utoronto.ca,"Explore how scientists leverage their knowledge and skills to advance academic biomedical discoveries from the laboratory to improve patient health through either commercialization or not-for-profit approaches. Students will learn about innovation and develop key research and industry skills including intellectual property, ethics, budget and project management; learn how to critically evaluate scientific evidence and effectively communicate to a wide audience. This hybrid student-centered course will include interactive online modules and in-class group work. Course work will focus on developing skills and knowledge to help you be successful in diverse research courses and future careers. Not eligible for CR/NCR.",10.0 FCE completed; BCH210H1/BCH242Y1,Prerequisite:,"PSL300H1, PSL301H1",Recommended Preparation:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,Thursday,—,10:00,12:00,WB 130,https://map.utoronto.ca/?id=1809#!m/494460,"Andreopoulos, S.",0,80,Yes: 7 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0482 MA PHYSIOLOGY  - Year 3,ASMAJ1762 MA BIOCHEMISTRY  - Year 3,,,,,,ASMAJ2082 MA PHARMACOLOGY  - Year 3,ASMAJ2573 MA BIOMEDICAL TOXICOLOGY  - Year 3,,,,,,,,,,,,,,,,,,,,"Arnot, M."
NUSCI,Nutrition Literacy: Sorting Science from Snake Oil,NFS301H1-F,,,,,,"This course will help students learn how to recognize the strengths and limitations of various nutrition research methods, find reliable nutrition information on the Internet and develop systematic thinking skills to critically evaluate the quality of nutrition information in both the scientific literature and popular media.",NFS284H1,Prerequisite:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,,,Room,LEC0101,Friday,—,09:00,12:00,MS 2170,https://map.utoronto.ca/?id=1809#!m/494491,"Sievenpiper, J.",44,140,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1068 MA NUTRITIONAL SCIENCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLAF,Introduction to Public Policy,PPG301H1-F,,,,,,"The course introduces students to the study of public policy, the policy process and our policy institutions in Canada. The course examines how issues emerge, how important ideas are framed, priorities are established, and agendas are set and managed. It explores how institutions – formal and informal rules which enable and constrain actors – shape policy-making in Canada.",(ECO200Y1/ECO204Y1/ECO206Y1/PPG200H1); (ECO220Y1/POL242Y1/SOC202H1/STA220H1/STA221H1/STA248H1/STA255H1/STA261H1); POL214Y1,Prerequisite:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,,Room,LEC5101,Wednesday,—,17:00,19:00,CG 160,https://map.utoronto.ca/?id=1809#!m/494505,"Mulhern, C.",0,40,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUSCI,"Nutrition, Athletics, Performance and Behaviour",NFS302H1-S,,,,,,"This course will give an overview of the emerging and advancing role of chronic diet and supplements in athletics, performance and behavior.",NFS284H1,Prerequisite:,KPE328H1,Exclusion:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,Thursday,—,09:00,12:00,PB B250,https://map.utoronto.ca/?id=1809#!m/494476,,49,244,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1068 MA NUTRITIONAL SCIENCES,,,,,,,,,,,,,,,,,—,,,,,,,,,,,
PCL,Pharmacodynamic Principles,PCL302H1-F,Timetable instructions,Note:,"Student inquiries should be directed to the course coordinator: Dr. Ali Salahpour, . Please do not contact the listed instructors for course-related questions.",ali.salahpour@utoronto.ca,https://timetable.iit.artsci.utoronto.ca/ali.salahpour@utoronto.ca,"Topics include biological action of drugs on membranes, enzymes, receptors, neural and hormonal systems, transmission and modulation.","(PSL300H1, PSL301H1)",Prerequisite:,"PHC300H1, PHC301H1",Exclusion:,PCL201H1,Recommended Preparation:,Science,Distribution Requirement:,Room,LEC0101,Tuesday,—,10:00,12:00,BA 1160,https://map.utoronto.ca/?id=1809#!m/494470,"Arnot, M.",3,160,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 3   Department of Pharmacology   (Faculty of Arts and Science),Year 4   Department of Pharmacology   (Faculty of Arts and Science),Living Things and Their Environment (4),,,,,ASSPE0605 SP ENVIRONMENT & TOXICOLOGY  - Year 3,ASSPE0605 SP ENVIRONMENT & TOXICOLOGY  - Year 4,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494491,,,,,,,Breadth Requirement:,Wednesday,—,13:00,14:00,"Hamadanizadeh, A."
PCL,Experimental Approaches in Drug Discovery,PCL345H1-S,Timetable instructions,Note:,"Student inquiries should be directed to the course coordinator: Dr. Ana Andreazza, .",ana.andreazza@utoronto.ca,https://timetable.iit.artsci.utoronto.ca/ana.andreazza@utoronto.ca,"Lecturers use their own research to demonstrate how they approach a biological question. The lectures emphasize why one approach is chosen over other possible approaches, and explain the strengths and limitations of techniques. Following the one-hour lecture there is an interactive discussion of the experimental approach covered in the lecture.","One of PSL300H1/PSL301H1/BIO270H1/BIO271H1, and completion of at least 10.0 FCE, or permission of Department",Prerequisite:,"BCH210H1, PCL201H1, PCL302H1",Recommended Preparation:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,Tuesday,—,14:00,16:00,MY 330,https://map.utoronto.ca/?id=1809#!m/494495,"Andreazza, A.",0,50,Yes: 18 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 3   Department of Pharmacology   (Faculty of Arts and Science),Year 4   Department of Pharmacology   (Faculty of Arts and Science),,,,,,ASSPE0605 SP ENVIRONMENT & TOXICOLOGY  - Year 3,ASSPE0605 SP ENVIRONMENT & TOXICOLOGY  - Year 4,,,,,,,,,,,,,,,,,,,,
GLAF,"Topics in Peace, Conflict and Justice",PCJ360H1-F,,"Trudeau Centre for Peace, Conflict and Justice website",,,https://munkschool.utoronto.ca/trudeaucentre/program/,"This course explores selected issues in the field of peace, conflict and justice. Topics may vary from year to year. Through a suite of recent readings, students will strive to critically examine implications and challenges of, and solutions to the issues being studied. Please visit the  for current offering information.",PCJ260Y1 or permission of the Program Director.,Prerequisite:,"PCS360Y1, UNI360Y1",Exclusion:,POL208H1,Recommended Preparation:,Social Science,Distribution Requirement:,Room,LEC0101,Monday,—,13:00,15:00,SK 548,https://map.utoronto.ca/?id=1809#!m/494564,"Kramarz, T.",13,50,No,In Person,"Priority, then Enrol at Department (PE)",Enrolment Controls:,"Priority enrolment on ACORN is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all students must request permission to enrol in this section by contacting the sponsoring department. Please see Timetable Instructions tab for contact information. The following groups of students are given priority access on ACORN until July 28:","ASMAJ1228 MA PEACE, CONFLICT & JUSTICE","ASSPE0575 SP IR/PEACE,CONFLICT & JUSTICE",Society and its Institutions (3),,,,,"ASSPE1228 SP PEACE, CONFLICT & JUSTICE",,,,,,,,,,,,,,,,Breadth Requirement:,,,,,
