resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 8,extraTxt 9,extraTxt 10,extraTxt 11,extraTxt 12,extraTxt 13,extraTxt 14,extraTxt 15,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,weekDay 3,weekDay href,weekDay 4,weekDay href 2,weekDay 5,weekDay href 3,weekDay 6,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,legendControl 4,legendControl 5,enConDesc,enConList,weekDay 7,dayInfo 7,dayInfo 8,dayInfo 9,weekDay 8,dayInfo 10,dayInfo 11,dayInfo 12,weekDay 9,weekDay 10,weekDay 11,headerSect 13,headerSect 14,headerSect 15,headerSect 16,headerSect 17,headerSect 18,colCode 3,weekDay 13,dayInfo 13,dayInfo 14,dayInfo 15,dayInfo 16,dayInfo 17,dayInfo 18,weekDay href 9,weekDay href 10,colAvail 3,numCurr 3,numTot 3,numWait 3,onlineMeeting 3,headerSect 19,headerSect 20,headerSect 21,headerSect 22,headerSect 23,headerSect 24,colCode 4,weekDay 22,colAvail 4,numCurr 4,numTot 4,numWait 4,onlineMeeting 4,headerSect 25,headerSect 26,headerSect 27,headerSect 28,headerSect 29,headerSect 30,colCode 5,colAvail 5,numCurr 5,numTot 5,numWait 5,onlineMeeting 5,headerSect 31,headerSect 32,headerSect 33,headerSect 34,headerSect 35,colCode 6,colAvail 6,numCurr 6,numTot 6,numWait 6,onlineMeeting 6,headerSect 37,headerSect 38,headerSect 39,headerSect 40,headerSect 49,alignC,alignC 2,alignC 3,alignC 5,extraTxt 16
GER,German Literature in Translation (E),GER220H1-S,Timetable instructions,Note:,This course is taught in English.,"This course taught in English is an introduction to major authors of German literature, such as J.W. Goethe, F. Kafka, T. Mann, G. Grass, C. Wolf and E.S. Özdamar, focusing on their key works and introducing central topics.",Humanities,Creative and Cultural Representations (1),Distribution Requirement:,,Breadth Requirement:,,,LEC0101,Tuesday,—,15:00,17:00,,,,,,,,,"Noyes, J.",of  available,43,50,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494602,,,,,,,,,,,,,,VC 212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,
HIS,African American History to 1865,HIS221H1-F,,,,"An introduction to the history of Africans and people of African descent in the Americas generally, and the United States in particular. Major themes include modernity and the transatlantic slave trade; capitalism and reparations; Atlantic crossings; African women, gender, and racial formations; representation, resistance, and rebellion; nation-building; abolitionism and civil war; historical method and the political uses of the past.",HIS298Y1 (2016-17),Any 100-level course in Arts or Humanities,Exclusion:,Humanities,Recommended Preparation:,Society and its Institutions (3),Distribution Requirement:,LEC0101,Tuesday,—,16:00,18:00,,,https://map.utoronto.ca/?id=1809#!m/494517,UC 175,https://map.utoronto.ca/?id=1809#!m/494517,,https://map.utoronto.ca/?id=1809#!m/494517,UC 177,"Johnson, C.",of  available,7,75,Yes: 0 student,In Person,,,,,Tuesday,—,18:00,19:00,Tuesday,—,19:00,20:00,Thursday,Thursday,UC 65,Activity,Time,Room,Instructor(s),Space Availability,Wait List,TUT5101,UC 257,—,18:00,19:00,—,19:00,20:00,https://map.utoronto.ca/?id=1809#!m/494517,,of  available,0,19,No,In Person,Status / Notes,Activity,Time,Room,Instructor(s),Space Availability,TUT5201,UC 161,of  available,1,19,No,In Person,Wait List,Status / Notes,Activity,Time,Room,Instructor(s),TUT5301,of  available,4,19,No,In Person,Space Availability,Wait List,Status / Notes,Activity,Time,TUT5401,of  available,2,18,No,In Person,Instructor(s),Space Availability,Wait List,Status / Notes,Room,,,,,Breadth Requirement:
HIS,African American History from 1865 to the Present,HIS222H1-S,,,,"This course examines the history of black people in the United States after the abolition of slavery. Major themes include the promise and tragedy of Reconstruction; gender and Jim Crow; race and respectability; migration, transnationalism, and 20th century black diasporas; black radical traditions and freedom movements; intersectionality and black feminisms; the drug war and mass incarceration; sexuality and the boundaries of blackness.",HIS 298Y1 (2016-17),Any 100 level course in Arts or Humanities,Exclusion:,Humanities,Recommended Preparation:,Society and its Institutions (3),Distribution Requirement:,LEC0101,Tuesday,—,16:00,18:00,,,https://map.utoronto.ca/?id=1809#!m/494517,UC 257,https://map.utoronto.ca/?id=1809#!m/494517,,https://map.utoronto.ca/?id=1809#!m/494517,UC 69,"Johnson, C.",of  available,0,75,Yes: 13 students,In Person,,,,,Tuesday,—,18:00,19:00,Tuesday,—,19:00,20:00,Thursday,Thursday,UC 44,Activity,Time,Room,Instructor(s),Space Availability,Wait List,TUT5101,UC 44,—,18:00,19:00,—,19:00,20:00,https://map.utoronto.ca/?id=1809#!m/494517,,of  available,0,19,No,In Person,Status / Notes,Activity,Time,Room,Instructor(s),Space Availability,TUT5201,UC 161,of  available,1,19,No,In Person,Wait List,Status / Notes,Activity,Time,Room,Instructor(s),TUT5301,of  available,0,19,No,In Person,Space Availability,Wait List,Status / Notes,Activity,Time,TUT5401,of  available,7,18,No,In Person,Instructor(s),Space Availability,Wait List,Status / Notes,Room,—,—,—,,Breadth Requirement:
IHPST,"Science, Paradoxes, and Knowledge",HPS222H1-S,Delivery instructions,Note:,"Recordings of synchronic online lectures will be available for students to view asynchronously. Tutorials will begin as online synchronic and, conditions permitting, switch to in person at the instructor’s and TA’s discretion. It is recommended that students have a computer with a microphone and camera in order to participate in online activities.","What is the nature of science and scientific knowledge? What is the nature of space, time and motion? Does science tell us the truth about the world? What are scientific revolutions and how they occur? The course will address these and various other questions about science. It will focus on the bearings that philosophical views had on science in different periods in history, starting from ancient Greece and concluding in the 20th C.",Humanities,"Thought, Belief and Behaviour (2)",Distribution Requirement:,,Breadth Requirement:,,,LEC0101,Tuesday,—,14:00,16:00,,—,https://map.utoronto.ca/?id=1809#!m/494463,EM 119,https://map.utoronto.ca/?id=1809#!m/494463,—,https://map.utoronto.ca/?id=1809#!m/494600,EM 302,"Berkovitz, J.",of  available,66,135,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),,,,,Thursday,—,11:00,12:00,Thursday,—,13:00,14:00,Friday,Friday,NF 006,Activity,Time,Room,Instructor(s),Space Availability,Wait List,TUT0101,,—,13:00,14:00,—,11:00,12:00,,,of  available,13,33,No,In Person (See Delivery Instructions.),Status / Notes,Activity,Time,Room,Instructor(s),Space Availability,TUT0201,,of  available,13,33,No,In Person (See Delivery Instructions.),Wait List,Status / Notes,Activity,Time,Room,Instructor(s),TUT0301,of  available,22,34,No,In Person (See Delivery Instructions.),Space Availability,Wait List,Status / Notes,Activity,Time,TUT0401,of  available,22,35,No,Online - Synchronous (See Delivery Instructions.),Instructor(s),Space Availability,Wait List,Status / Notes,Room,—,—,—,,
HIS,Indigenous and Early Colonial Caribbean History,HIS230H1-F,,,,"This course introduces students to the study of Caribbean history from first human settlement to the late 18th century.  Subject matter covered includes indigenous social structures, cosmology and politics; the process of European conquest; the economics, society and political order of colonial society; the Middle Passage; the everyday lives and struggles of enslaved peoples.",None,HIS294Y1,Prerequisite:,Humanities,Exclusion:,Society and its Institutions (3),Distribution Requirement:,LEC0101,Wednesday,—,12:00,14:00,,,https://map.utoronto.ca/?id=1809#!m/494510,SS 1088,https://map.utoronto.ca/?id=1809#!m/494515,,https://map.utoronto.ca/?id=1809#!m/494510,RW 142,"Charles, S.",of  available,13,80,Yes: 0 student,In Person,,,,,Wednesday,—,14:00,15:00,Wednesday,—,15:00,16:00,Thursday,Thursday,SS 2101,Activity,Time,Room,Instructor(s),Space Availability,Wait List,TUT0101,SS 1086,—,10:00,11:00,—,11:00,12:00,https://map.utoronto.ca/?id=1809#!m/494510,,of  available,0,22,No,In Person,Status / Notes,Activity,Time,Room,Instructor(s),Space Availability,TUT0201,SS 1085,of  available,0,19,No,In Person,Wait List,Status / Notes,Activity,Time,Room,Instructor(s),TUT0301,of  available,15,21,No,In Person,Space Availability,Wait List,Status / Notes,Activity,Time,TUT0401,of  available,0,19,No,In Person,Instructor(s),Space Availability,Wait List,Status / Notes,Room,,,,,Breadth Requirement:
HIS,Revolution and Emancipation in the Colonial Caribbean,HIS231H1-S,,,,"This course explores the history of the late eighteenth and nineteenth century caribbean, from the Haitian Revolution to the U.S. occupation of Cuba and Puerto Rico.  Students learn about the first struggles for political independence; the struggle to abolish the slave trade; slave emancipation; indentureship and struggles to define freedom after emancipation.",HIS294Y1,Humanities,Exclusion:,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,LEC0101,Wednesday,—,12:00,14:00,,,https://map.utoronto.ca/?id=1809#!m/494600,NF 205,https://map.utoronto.ca/?id=1809#!m/494600,,https://map.utoronto.ca/?id=1809#!m/494463,NF 205,"Newton, M.",of  available,0,75,Yes: 9 students,In Person,,,,,Wednesday,—,14:00,15:00,Wednesday,—,15:00,16:00,Thursday,Thursday,EM 205,Activity,Time,Room,Instructor(s),Space Availability,Wait List,TUT0101,EM 205,—,10:00,11:00,—,11:00,12:00,https://map.utoronto.ca/?id=1809#!m/494510,,of  available,0,19,No,In Person,Status / Notes,Activity,Time,Room,Instructor(s),Space Availability,TUT0201,SS 2106,of  available,0,19,No,In Person,Wait List,Status / Notes,Activity,Time,Room,Instructor(s),TUT0301,of  available,4,19,No,In Person,Space Availability,Wait List,Status / Notes,Activity,Time,TUT0401,of  available,5,18,No,In Person,Instructor(s),Space Availability,Wait List,Status / Notes,Room,—,—,—,,
HIS,World War I in Europe,HIS240H1-F,,,,"Many scholars believe that the initial 1900s had only been an extension of the 19th century and that the First World War opened the next age. Many feel that it changed Europe and the entire world and started a long period of military conflicts, genocides, nationalism, and high-speed modernization. This course will offer the most important facts related to the Great War and discuss their consequences. The course will demonstrate that it is difficult to understand our contemporary world without basic knowledge of World War I, that we are all grandchildren of that war.",Humanities,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,,,LEC0101,Thursday,—,09:00,11:00,,,https://map.utoronto.ca/?id=1809#!m/494510,SS 1080,https://map.utoronto.ca/?id=1809#!m/494578,,https://map.utoronto.ca/?id=1809#!m/494510,AH 103,"Wrobel, P.",of  available,3,60,Yes: 0 student,In Person,,,,,Thursday,—,11:00,12:00,Thursday,—,12:00,13:00,Thursday,,SS 2114,Activity,Time,Room,Instructor(s),Space Availability,Wait List,TUT0101,,—,13:00,14:00,,,,https://map.utoronto.ca/?id=1809#!m/494510,,of  available,1,20,No,In Person,Status / Notes,Activity,Time,Room,Instructor(s),Space Availability,TUT0201,SS 1070,of  available,1,20,No,In Person,Wait List,Status / Notes,Activity,Time,Room,Instructor(s),TUT0301,of  available,4,20,No,In Person,Space Availability,Wait List,Status / Notes,,,,,,,,,,,,,Room,,,,,
IHPST,The Influence of the Eugenics Movement on Contemporary Society,HPS240H1-S,,,,"This course explores present-day topics such as reproductive issues (including “designer babies” and genetic counselling); gender, racism/colonialism, disability and euthanasia through the lens of the history of eugenics. A “scientific” movement which became popular around the world in the early twentieth century, eugenics was based on the principle that certain undesirable human characteristics were hereditary and could be eliminated by controlled reproduction. It resulted in the enactment of laws in numerous places, including Canada, authorizing coerced reproductive sterilization of certain individuals, and other measures intended to “improve” humanity. Today, we see its influences woven through contemporary debates, a number of which we will consider.",Humanities,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,,,LEC0101,Tuesday,—,16:00,18:00,,,,,,—,,,"Koester, E.",of  available,67,100,Yes: 0 student,In Person,,,,,Thursday,—,10:00,11:00,Thursday,—,11:00,12:00,Friday,,,Activity,Time,Room,Instructor(s),Space Availability,Wait List,TUT0101,,—,10:00,11:00,,,,https://map.utoronto.ca/?id=1809#!m/494602,,of  available,27,33,No,Online - Synchronous,Status / Notes,Activity,Time,Room,Instructor(s),Space Availability,TUT0201,VC 323,of  available,21,33,No,Online - Synchronous,Wait List,Status / Notes,Activity,Time,Room,Instructor(s),TUT0301,of  available,19,34,No,Online - Synchronous,Space Availability,Wait List,Status / Notes,,,,,,,,,,,,,Room,—,—,—,,
HIS,Europe in the 20th Century,HIS242H1-S,,,,"The evolution of European politics, culture, and society from 1914: the two world wars, Fascism and Nazism, the post-1945 reconstruction and the movement towards European integration.",EUR200Y1/EUR200Y5/FGI200Y5/HIS242H5/HISB94H3,Humanities,Exclusion:,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,LEC0101,Wednesday,—,13:00,15:00,,,https://map.utoronto.ca/?id=1809#!m/494578,AH 105,https://map.utoronto.ca/?id=1809#!m/494604,,https://map.utoronto.ca/?id=1809#!m/494578,BC 20,"Kasekamp, A.",of  available,24,160,Yes: 0 student,In Person,,,,,Wednesday,—,15:00,16:00,Wednesday,—,16:00,17:00,Thursday,Thursday,AH 103,Activity,Time,Room,Instructor(s),Space Availability,Wait List,TUT0101,UC B203,—,10:00,11:00,—,11:00,12:00,https://map.utoronto.ca/?id=1809#!m/494510,,of  available,0,20,No,In Person,Status / Notes,Activity,Time,Room,Instructor(s),Space Availability,TUT0201,SS 2118,of  available,2,20,No,In Person,Wait List,Status / Notes,Activity,Time,Room,Instructor(s),TUT0301,of  available,5,20,No,In Person,Space Availability,Wait List,Status / Notes,Activity,Time,TUT0401,of  available,13,20,No,In Person,Instructor(s),Space Availability,Wait List,Status / Notes,Room,—,—,—,—,
HIS,"Early Modern Europe, 1450-1648",HIS243H1-F,,,,"The political, social, economic, and intellectual history of continental Europe. The Renaissance, the Reformation, Counter-reformation, growth of the territorial monarchies, the religious wars.",Humanities,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,,,LEC0101,Tuesday,—,10:00,11:00,Thursday,,https://map.utoronto.ca/?id=1809#!m/494536,BL 312,https://map.utoronto.ca/?id=1809#!m/494536,SS 2102,https://map.utoronto.ca/?id=1809#!m/494510,BL 312,"Terpstra, N.",of  available,52,160,Yes: 0 student,In Person,,,,,Tuesday,—,11:00,12:00,Tuesday,—,12:00,13:00,Tuesday,Tuesday,SS 2101,Activity,Time,Room,Instructor(s),Space Availability,Wait List,TUT0101,SS 2101,—,13:00,14:00,—,14:00,15:00,https://map.utoronto.ca/?id=1809#!m/494510,https://map.utoronto.ca/?id=1809#!m/494510,of  available,3,20,No,In Person,Status / Notes,Activity,Time,Room,Instructor(s),Space Availability,TUT0201,SS 2102,of  available,9,20,No,In Person,Wait List,Status / Notes,Activity,Time,Room,Instructor(s),TUT0301,of  available,8,20,No,In Person,Space Availability,Wait List,Status / Notes,Activity,Time,TUT0401,of  available,3,20,No,In Person,Instructor(s),Space Availability,Wait List,Status / Notes,Room,—,,,,
HIS,"Early Modern Europe, 1648-1815",HIS244H1-S,,,,"The political, social, economic, and intellectual history of continental Europe. Development of royal absolutism, social change and the crisis of the ancient regime, the Enlightenment, the French Revolution, the Napoleonic era.",Humanities,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,,,LEC5101,Thursday,—,17:00,19:00,,,https://map.utoronto.ca/?id=1809#!m/494510,SS 1080,https://map.utoronto.ca/?id=1809#!m/494580,,https://map.utoronto.ca/?id=1809#!m/494510,CR 106,"Mori, J.",of  available,42,180,Yes: 0 student,In Person,,,,,Tuesday,—,14:00,15:00,Tuesday,—,15:00,16:00,Tuesday,Thursday,SS 1080,Activity,Time,Room,Instructor(s),Space Availability,Wait List,TUT0101,SS 2101,—,16:00,17:00,—,12:00,13:00,https://map.utoronto.ca/?id=1809#!m/494510,https://map.utoronto.ca/?id=1809#!m/494510,of  available,0,20,No,In Person,Status / Notes,Activity,Time,Room,Instructor(s),Space Availability,TUT0201,SS 2102,of  available,4,20,No,In Person,Wait List,Status / Notes,Activity,Time,Room,Instructor(s),TUT0301,of  available,5,20,No,In Person,Space Availability,Wait List,Status / Notes,Activity,Time,TUT0401,of  available,6,20,No,In Person,Instructor(s),Space Availability,Wait List,Status / Notes,Room,—,—,—,—,
HIS,"European Colonialism, 1700- 1965",HIS245H1-F,,,,"This course will introduce students to the history of European colonialism. It will analyze the nature of colonial rule, the impact of empire on both colonies and metropoles, and delve into questions of power, gender and culture. It considers slavery and abolition, imperial networks, colonial capital, colonial competition, colonial cultures, the twilight of colonial rule, and a variety of settings.",Humanities,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,,,LEC0101,Wednesday,—,10:00,12:00,,,https://map.utoronto.ca/?id=1809#!m/494463,EM 205,https://map.utoronto.ca/?id=1809#!m/494510,,https://map.utoronto.ca/?id=1809#!m/494580,SS 1080,"Jennings, E.",of  available,2,80,Yes: 0 student,In Person,,,,,Wednesday,—,12:00,13:00,Wednesday,—,13:00,14:00,Wednesday,Wednesday,CR 106,Activity,Time,Room,Instructor(s),Space Availability,Wait List,TUT0101,BC 20,—,14:00,15:00,—,16:00,17:00,https://map.utoronto.ca/?id=1809#!m/494602,,of  available,3,20,No,In Person,Status / Notes,Activity,Time,Room,Instructor(s),Space Availability,TUT0201,VC 215,of  available,2,20,No,In Person,Wait List,Status / Notes,Activity,Time,Room,Instructor(s),TUT0301,of  available,0,20,No,In Person,Space Availability,Wait List,Status / Notes,Activity,Time,TUT0401,of  available,0,20,No,In Person,Instructor(s),Space Availability,Wait List,Status / Notes,Room,—,—,—,—,
HIS,History of Russia,HIS250Y1-Y,,,,"This course is an introductory survey that examines the political, social, and cultural developments that shaped the Russian empire from the settlement of Kiev in the 9th century to the collapse of the Soviet Union in 1991.",HIS250H1/HIS250H5,Humanities,Exclusion:,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,LEC0101,Monday,—,10:00,11:00,Wednesday,SS 2108,https://map.utoronto.ca/?id=1809#!m/494510,SS 2108,https://map.utoronto.ca/?id=1809#!m/494510,SS 2108,https://map.utoronto.ca/?id=1809#!m/494510,SS 2108,"Gornostaev, A.",of  available,12,60,Yes: 0 student,In Person,,,,,Monday,—,11:00,12:00,Monday,—,12:00,13:00,Wednesday,,SS 1078,Activity,Time,,Instructor(s),Space Availability,Wait List,TUT0101,SS 1078,—,11:00,12:00,,,,https://map.utoronto.ca/?id=1809#!m/494563,https://map.utoronto.ca/?id=1809#!m/494563,of  available,1,20,No,In Person,Status / Notes,Activity,Time,,Instructor(s),Space Availability,TUT0201,,of  available,10,20,No,In Person,Wait List,Status / Notes,Activity,Time,,Instructor(s),TUT0301,of  available,1,20,No,In Person,Space Availability,Wait List,Status / Notes,Activity,Time,TUT0401,,,,,,Instructor(s),Space Availability,Wait List,Status / Notes,,—,—,,,
IHPST,Introductory Philosophy of Science,HPS250H1-F,,,,"This course introduces and explores central issues in the philosophy of science, including scientific inference, method, and explanation. Topics may include underdetermination, realism and empiricism, and laws of nature.",Humanities,"Thought, Belief and Behaviour (2)",Distribution Requirement:,,Breadth Requirement:,,,LEC0101,Monday,—,12:00,14:00,,,,,,—,,,"Shaw, J.",of  available,33,175,Yes: 0 student,In Person,,,,,Thursday,—,13:00,14:00,Thursday,—,15:00,16:00,Friday,Friday,,Activity,Time,Room,Instructor(s),Space Availability,Wait List,TUT0101,,—,10:00,11:00,—,12:00,13:00,https://map.utoronto.ca/?id=1809#!m/494488,,of  available,0,35,No,Online - Synchronous,Status / Notes,Activity,Time,Room,Instructor(s),Space Availability,TUT0201,KP 108,of  available,0,35,No,Online - Synchronous,Wait List,Status / Notes,Activity,Time,Room,Instructor(s),TUT0301,of  available,0,35,No,Online - Synchronous,Space Availability,Wait List,Status / Notes,Activity,Time,TUT0401,of  available,19,35,No,Online - Synchronous,Instructor(s),Space Availability,Wait List,Status / Notes,Room,—,—,—,—,
HIS,History of East Central Europe,HIS251Y1-Y,,,,"The Polish, Czech, and Hungarian background; the Balkans in the late medieval and early modern periods. Renaissance, Reformation and Counter-reformation, decline and national awakening to the beginning of the 19th century. Partitioned Poland, nationalism in the 19th century; World War I, Peace Settlement, interwar years and the Communist period.",Humanities,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,,,LEC0101,Tuesday,—,09:00,11:00,,SS 2105,https://map.utoronto.ca/?id=1809#!m/494510,SS 2105,https://map.utoronto.ca/?id=1809#!m/494510,,,,"Wrobel, P.",of  available,23,40,Yes: 0 student,In Person,,,,,Tuesday,—,11:00,12:00,Tuesday,—,12:00,13:00,,,SS 1080,Activity,Time,,Instructor(s),Space Availability,Wait List,TUT0101,SS 1080,,,,,,,,,of  available,8,20,No,In Person,Status / Notes,Activity,Time,,Instructor(s),Space Availability,TUT0201,,of  available,16,20,No,In Person,Wait List,Status / Notes,Activity,Time,,Instructor(s),TUT0301,,,,,,Space Availability,Wait List,Status / Notes,,,,,,,,,,,,,,—,,,,
GER,Elementary Yiddish,GER260Y1-Y,,,,"This course introduces Yiddish language, literature, music, theater, and cinema through interactive multi-media seminars, designed to build proficiency in reading, writing and comprehending. No prior knowledge of Yiddish is required.",GER463Y1,Humanities,Exclusion:,Creative and Cultural Representations (1),Distribution Requirement:,,Breadth Requirement:,LEC0101,Monday,—,14:00,15:00,Wednesday,AH 103,https://map.utoronto.ca/?id=1809#!m/494578,AH 103,https://map.utoronto.ca/?id=1809#!m/494578,AH 103,https://map.utoronto.ca/?id=1809#!m/494578,AH 103,"Jany, E.",of  available,15,20,Yes: 0 student,In Person,,,,,Friday,—,14:00,15:00,,,,,AH 103,AH 103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIS,Canada: A Short History of Here,HIS262H1-F,,,,"Designed for non-history students, this introductory survey fulfills the Society and Its Institutions breadth requirement.  It is open to all who want to know more about Canada.  Make sense of politics today and develop a deeper understanding of Canadian society and its institutions through study of the major events and demographic trends that have shaped the development of this country.  Topics will include First Nations/newcomer relations (including treaties and the Truth & Reconciliation report); French/English relations (including Quebec separatism); regionalism, the North, economic history, constitutional developments, and the development of Canadian identity, including common symbols associated with Canada.  No essay requirement.  Instead, enhance your critical reading and thinking skills through short writing assignments and weekly discussions of tutorial readings.",*This course will not count towards History program requirements or as a prerequisite for upper level courses*,"HIS263Y1, HIS264H1",Exclusion:,Humanities,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,LEC5101,Tuesday,—,17:00,19:00,,,https://map.utoronto.ca/?id=1809#!m/494536,BL 312,https://map.utoronto.ca/?id=1809#!m/494510,—,,SS 1080,"Bohaker, H.",of  available,13,100,Yes: 0 student,In Person,,,,,Wednesday,—,10:00,11:00,Wednesday,—,11:00,12:00,Wednesday,Wednesday,,Activity,Time,Room,Instructor(s),Space Availability,Wait List,TUT0101,,—,12:00,13:00,—,14:00,15:00,https://map.utoronto.ca/?id=1809#!m/494510,,of  available,7,20,No,Online - Synchronous,Status / Notes,Activity,Time,Room,Instructor(s),Space Availability,TUT0201,SS 2135,of  available,1,20,No,In Person,Wait List,Status / Notes,Activity,Time,Room,Instructor(s),TUT0301,of  available,0,20,No,In Person,Space Availability,Wait List,Status / Notes,Activity,Time,TUT0401,of  available,5,20,No,Online - Synchronous,Instructor(s),Space Availability,Wait List,Status / Notes,Room,—,,,,
HIS,Critical Issues in Canadian History,HIS264H1-F,,,,"This course introduces key issues in Canadian history and foundational principles of historical analysis. It is primarily designed for potential History majors/specialists. It is not a comprehensive survey. Examples serve to deepen analysis and introduce important methods and debates, preparing students for upper year courses in Canadian history.","HIS262H1, HIS263Y1",Humanities,Exclusion:,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,LEC0101,Tuesday,—,14:00,16:00,,,https://map.utoronto.ca/?id=1809#!m/494510,SS 581,https://map.utoronto.ca/?id=1809#!m/494510,,https://map.utoronto.ca/?id=1809#!m/494510,SS 2101,"Mills, S.",of  available,2,120,Yes: 0 student,In Person,,,,,Tuesday,—,16:00,17:00,Wednesday,—,10:00,11:00,Wednesday,Wednesday,SS 2101,Activity,Time,Room,Instructor(s),Space Availability,Wait List,TUT0101,AH 105,—,11:00,12:00,—,15:00,16:00,https://map.utoronto.ca/?id=1809#!m/494578,,of  available,0,20,No,In Person,Status / Notes,Activity,Time,Room,Instructor(s),Space Availability,TUT0201,AH 100,of  available,3,20,No,In Person,Wait List,Status / Notes,Activity,Time,Room,Instructor(s),TUT0301,of  available,0,20,No,In Person,Space Availability,Wait List,Status / Notes,Activity,Time,TUT0401,of  available,1,20,No,In Person,Instructor(s),Space Availability,Wait List,Status / Notes,Room,,,,,
HIS,Black Canadian History,HIS265Y1-Y,,,,"This course explores the historical experiences of persons of African descent in Canada. We begin by examining the presense of free and enslaved Africans in New France and British North America move into twentieth century themes exploring Black liberation, immigration and resistance in Canada. The course brings into sharp focus the historical production of racial categories and racist thought and practice in Canada and examines the experiences of Black Canadians within the context of ‘multiculturalism.’",Humanities,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,,,LEC0101,Monday,—,13:00,15:00,,SS 1083,https://map.utoronto.ca/?id=1809#!m/494510,SS 1083,https://map.utoronto.ca/?id=1809#!m/494510,,,,"Aladejebi, F.",of  available,23,40,Yes: 0 student,In Person,,,,,Monday,—,15:00,16:00,Tuesday,—,10:00,11:00,,,AH 105,Activity,Time,,Instructor(s),Space Availability,Wait List,TUT0101,AH 105,,,,,,,,,of  available,8,20,No,In Person,Status / Notes,Activity,Time,,Instructor(s),Space Availability,TUT0201,,of  available,15,20,No,In Person,Wait List,Status / Notes,Activity,Time,,Instructor(s),TUT0301,,,,,,Space Availability,Wait List,Status / Notes,Activity,Time,TUT0401,,,,,,Instructor(s),Space Availability,Wait List,Status / Notes,,—,—,,,
HIS,Asian Canadian History,HIS266H1-S,,,,"The course examines the history of Asian Canadians from the mid-1800s to the present by analyzing their contributions to the socio-cultural, economic, and political development of Canada. It explores how Asian Canadian history reconfigures prevailing understanding of race, migration, multiculturalism, and national identity through intersectional, comparative, and transnational frameworks.","CDN230H1, UNI230H1",Humanities,Exclusion:,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,LEC0101,Monday,—,10:00,12:00,,,https://map.utoronto.ca/?id=1809#!m/494510,SS 2114,https://map.utoronto.ca/?id=1809#!m/494510,,https://map.utoronto.ca/?id=1809#!m/494510,SS 2114,"Mar, L.",of  available,5,60,Yes: 0 student,In Person,,,,,Monday,—,12:00,13:00,Monday,—,13:00,14:00,Monday,,SS 2114,Activity,Time,Room,Instructor(s),Space Availability,Wait List,TUT0101,,—,15:00,16:00,,,,https://map.utoronto.ca/?id=1809#!m/494510,,of  available,0,20,No,In Person,Status / Notes,Activity,Time,Room,Instructor(s),Space Availability,TUT0201,SS 1069,of  available,0,20,No,In Person,Wait List,Status / Notes,Activity,Time,Room,Instructor(s),TUT0301,of  available,6,20,No,In Person,Space Availability,Wait List,Status / Notes,Activity,Time,TUT0401,,,,,,Instructor(s),Space Availability,Wait List,Status / Notes,Room,—,—,—,,
