resultDept,pbot15,hiCC,extraTxt 2,extraTxt 3,extraTxt 4,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,extraTxt 9,extraTxt 10,headerSect 3,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,weekDay href,numCurr,numTot,numWait,onlineMeeting,legendControl 2,legendControl 3,enConDesc,enConList,enConList 2,enConList 3,enConList 4,enConList 5,weekDay 4,legendControl 4,legendControl 5,enConList 6,headerSect 15,headerSect 16,headerSect 17,headerSect 18,headerSect 19,headerSect 20,headerSect 21,colCode 3,weekDay 5,dayInfo 7,dayInfo 8,dayInfo 9,weekDay 6,weekDay href 3,colAvail 3,numCurr 3,numTot 3,numWait 3,onlineMeeting 3,headerSect 22,headerSect 23,headerSect 25,headerSect 26,headerSect 27,headerSect 28,colCode 4,weekDay 7,dayInfo 10,dayInfo 11,dayInfo 12,colAvail 4,numCurr 4,numTot 4,numWait 4,onlineMeeting 4,colInst,extraTxt 11,extraTxt 12,extraTxt 13,extraTxt 16
ASABS,Introduction to Kanien’kéha (Mohawk Language),INS220Y1-Y,An introduction to Kanien’kéha (Mohawk Language); a member of the Iroquoian language family.,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,,,,LEC0101,Wednesday,—,10:00,13:00,WE 75,https://map.utoronto.ca/?id=1809#!m/494509,2,20,Yes: 0 student,In Person,,,,,,,,,WE 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DeCaire, R.",,,,
IMM,Origins of Immunology,IMM221H1-S,"This course will examine the milestones in the field of immunology from ancient to current times, with specific emphasis on 1880 to 1980. It will observe how the concept of immunity has changed over time and examine the major events and discoveries that shaped how immunology is viewed today. Pioneers, such as Edward Jenner, Louis Pasteur, Robert Koch, Paul Ehrlich and Brigitte Askonas, and their contributions to the field will be discussed in both historical and scientific context as well as their impact on society. Assignments are staggered for students to build upon instructor’s feedback.","BIO120H1, BIO130H1",Recommended Preparation:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,,Room,LEC0101,Tuesday,—,14:00,15:00,HS 106,https://map.utoronto.ca/?id=1809#!m/494459,11,40,Yes: 0 student,In Person (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 2   Department of Immunology   (Faculty of Arts and Science),ASMAJ1002 MA IMMUNOLOGY,ASSPE1002 SP IMMUNOLOGY,,,HS 106,Delivery instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yi, T.",Note:,Lectures will be delivered in person as per the meeting schedule (WE: 14:00-16:00). Tutorials will be delivered in person as per the meeting schedule (TU 14:00-15:00). Tests will be delivered during regular class time (WE: 14:00-16:00).,,
ASABS,Ecological Interactions: Intro to Indigenous and Western Sciences,INS240Y1-Y,"Introduction to methodologies and applications of Indigenous and Western sciences, with an emphasis on environmental change, animal behaviour, evolution, sustainable practices, and implications of intrinsic ecological connections. Exploratory labs, often outdoors, develop literacy and skills in each paradigm as well as critical thought, creative reflection, and synthesis of knowledge.",INS201Y1,Prerequisite:,ABS240Y1,Exclusion:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,,LEC0101,Thursday,—,10:00,12:00,UC 63,https://map.utoronto.ca/?id=1809#!m/494517,2,18,Yes: 0 student,In Person,,,,,,,,,UC 63,,,,Activity,Time,,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Friday,—,10:00,12:00,,,of  available,5,18,No,In Person,,,,,,,,,,,,,,,,,"Jeffrey, M.",,,,
IMM,The Immune System and Infectious Disease,IMM250H1-F,"Students will be introduced to the basic concepts of immunity to infectious disease and how breakdown of the immune response can lead to auto-immunity. We will trace the history of current ideas in immunology and the immune response by examining how bacteria and viruses cause disease and the initial discoveries that led to such developments as vaccination. Current topical and newsworthy infectious diseases (HIV, tuberculosis, SARS, avian flu) will be used as examples of how the immune system copes with microbial infections.","BIO120H1, BIO130H1",Recommended Preparation:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,online synchronously,,Room,LEC9901,2.0 hours / week,,,,,,1,700,Yes: 0 student,Asynchronous (See Delivery Instructions.),,,,,,,,,—,Delivery instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clemenza, L.",Note:,"Lectures will be pre-recorded, and delivered  learning is self-paced and not reliant on a meeting schedule.  will be delivered , two or three times during the term. Students will need access to Top Hat (instructions to be provided at the start of the course) for completion of weekly textbook readings/exercises.",,"online asynchronously,"
IMM,The Immune System and Infectious Disease,IMM250H1-S,"Students will be introduced to the basic concepts of immunity to infectious disease and how breakdown of the immune response can lead to auto-immunity. We will trace the history of current ideas in immunology and the immune response by examining how bacteria and viruses cause disease and the initial discoveries that led to such developments as vaccination. Current topical and newsworthy infectious diseases (HIV, tuberculosis, SARS, avian flu) will be used as examples of how the immune system copes with microbial infections.","BIO120H1, BIO130H1",Recommended Preparation:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,online synchronously,,Room,LEC9901,2.0 hours / week,,,,,,336,1200,Yes: 0 student,Asynchronous (See Delivery Instructions.),,,,,,,,,—,Delivery instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clemenza, L.",Note:,"Lectures will be pre-recorded, and delivered  learning is self-paced and not reliant on a meeting schedule.  will be delivered , two or three times during the term. Students will need access to Top Hat (instructions to be provided at the start of the course) for completion of weekly textbook readings/exercises.",,"online asynchronously,"
ASABS,Indigenous Environmental Science and Practice,INS250H1-F,This course is a study of the ecological and scientific teachings of Indigenous peoples. The course provides and overview of Indigenous peoples' relationships with the natural world in historical and contemporary environmental issues and their implications for Indigenous Peoples and others.,INS201Y1,Prerequisite:,ABS250H1,Exclusion:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Wednesday,—,14:00,16:00,UC 67,https://map.utoronto.ca/?id=1809#!m/494517,14,30,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Daigle, M.",,,,
ASABS,Contemporary Challenges Facing Indigenous Communities,INS261H1-F,"This is a survey course focusing on the contemporary challenges faced by Indigenous peoples in Canada. In this course students research specific challenges facing Indigenous communities today. This includes specific challenges that arise out of the broader topic areas of language and culture, land rights, economics, governance, youth, education, health, social services, environment, violence, healing, community development, repatriation of cultural property, and decolonization.",INS201Y1,Prerequisite:,ABS261H1,Exclusion:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Tuesday,—,10:00,12:00,UC 175,https://map.utoronto.ca/?id=1809#!m/494517,13,30,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wastasecoot, B.",,,,
HMB,General & Human Genetics,HMB265H1-F,"An introduction to classical and modern methods of genetic analysis. Topics include Mendelian genetics, the genetics of human population and disease, genomics, and applications of genetics to human society.","BIO120H1, BIO130H1, (CHM135H1/CHM139H1, CHM136H1/ CHM138H1)/ CHM151Y1",Prerequisite:,BIO260H1/ BIO207H5,Exclusion:,Reccommended Co-requisite: BIO230H1/BIO255H1,Recommended Preparation:,Science,Distribution Requirement:,Room,LEC0101,Tuesday,—,15:00,17:00,—,https://map.utoronto.ca/?id=1809#!m/494509,143,1185,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Cell and Systems Biology   (Faculty of Arts and Science),Department of Ecology and Evolutionary Biology   (Faculty of Arts and Science),Department of Biochemistry   (Faculty of Arts and Science),Department of Immunology   (Faculty of Arts and Science),Department of Laboratory Medicine and Pathobiology   (Faculty of Arts and Science),—,Delivery instructions,,Department of Molecular Genetics   (Faculty of Arts and Science),Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Monday,—,10:00,11:00,WE 54D,https://map.utoronto.ca/?id=1809#!m/494509,of  available,1,25,No,In Person (See Delivery Instructions.),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0102,Monday,—,10:00,11:00,of  available,3,25,No,In Person (See Delivery Instructions.),"Chang, B.",Note:,"Lectures are live-streamed and recorded (permitting synchronous delivery, but also asynchronous attendance). Tutorials and exams will be held in person during the meeting schedule, or during a final assessment period.",,
HMB,Neurobiology of Behaviour,HMB300H1-F,"This neuroscience course focuses on higher brain functions and the mechanisms underlying human and animal behaviours. Topics may include the emerging role of the gut microbiome's impact on behaviour, pathogens that alter neuronal development and the biological basis of mindfulness and placebos. In addition, the impact that exercise and sleep play in modulating these behaviours are examined. Common experimental techniques used in neuroscience research such as brain imaging and cellular genetics are emphasized.","BIO230H1/BIO255H1, HMB200H1/ PSY290H1/ PSL300H1/ CJH332H1",Prerequisite:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,,,Room,LEC0101,Wednesday,—,16:00,18:00,MY 150,https://map.utoronto.ca/?id=1809#!m/494495,24,300,Yes: 0 student,In Person (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. NOTE: Spaces for each priority group in this course are not equal, and each priority group has its own waitlist until July 28. As of July 30, the waitlists for each priority group merge into one, and your rank on the waitlist may change; this is also when other Arts & Science students can begin to enrol. Beginning August 4, other downtown campus students can enrol in this section. There is no course enrolment on August 5. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 3 NEUROSCIENCE Human Biology Program   Program (Faculty of Arts and Science),Year 4 NEUROSCIENCE Human Biology Program   Program (Faculty of Arts and Science),ASFOC1540E FOC NEUROSCIENCE,ASFOC2270E FOC NEUROSCIENCE,,,Delivery instructions,,,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,TUT5101,Wednesday,—,19:00,20:00,—,,of  available,0,60,No,Online - Synchronous (See Delivery Instructions.),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT5102,Wednesday,—,19:00,20:00,of  available,0,60,No,Online - Synchronous (See Delivery Instructions.),"Ju, B.",Note:,"HMB300H1F will have synchronous, livestreams of in-person lectures, with recordings available for asynchronous viewing, and all assessments can be completed online. Tutorials will be delivered online synchronously and recordings made available to the tutorial sections.",,
ASABS,"Worldviews, Indigenous Knowledges, and Oral Tradition",INS300Y1-Y,"A study of the languages and culture of Indigenous peoples through exploration of oral histories, from creation stories until present times, including the role of oral history and methods for studying oral history through accounts told by elders.","5 FCE including INS201Y1, plus one additional INS full course equivalent",Prerequisite:,ABS300Y1,Exclusion:,"Humanities, Social Science",Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,LEC0101,Monday,—,13:00,16:00,KP 113,https://map.utoronto.ca/?id=1809#!m/494488,0,30,Yes: 0 student,In Person,,,,,,,,,KP 113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pennock, T.",,,,
HMB,Biotechnology,HMB301H1-F,"Students gain an appreciation for how science, government and society drive the development of biotechnology products. Topics include emerging immunotherapies, “living therapeutics”, emerging challenges, CRISPR-based therapeutics, emerging diagnostics, and stem cells and regenerative medicine.",HMB265H1/BIO260H1,Prerequisite:,HMB201H1/HMB360H1,Recommended Preparation:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,Thursday,—,10:00,12:00,WI 1016,https://map.utoronto.ca/?id=1809#!m/494503,0,70,Yes: 0 student,In Person (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. NOTE: Spaces for each priority group in this course are not equal, and each priority group has its own waitlist until July 28. As of July 30, the waitlists for each priority group merge into one, and your rank on the waitlist may change; this is also when other Arts & Science students can begin to enrol. Beginning August 4, other downtown campus students can enrol in this section. There is no course enrolment on August 5. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:","ASFOC1540D FOC GENES,GENETICS&BIOTECHNOL",ASMAJ1050 MA FUNDMNTL GENETICS & ITS APP  - Year 3,ASMAJ1050 MA FUNDMNTL GENETICS & ITS APP  - Year 4,ASMAJ1050 MA FUNDMNTL GENETICS & ITS APP  - Year 2,ASSPE1050 SP FUNDMNTL GENETICS & ITS APP  - Year 3,,Delivery instructions,,ASSPE1050 SP FUNDMNTL GENETICS & ITS APP  - Year 2,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Tuesday,—,10:00,11:00,WI 1017,https://map.utoronto.ca/?id=1809#!m/494503,of  available,1,70,No,In Person (See Delivery Instructions.),,,,,,,,,,,,,,,,,"Levy-Strumpf, N.",Note:,Lectures are in-person permitting synchronous delivery. Lecture recordings will be available for students to view asynchronously. Guest lectures will be delivered online and may or may not be recorded.,"Tutorials will be in person, some sessions may be online based on needs. Exams will be in person during the meeting schedule, or during a final assessment period.",
