resultDept,pbot15,hiCC,extraTxt 2,extraTxt 3,extraTxt 4,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,headerSect 3,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,weekDay href,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,legendControl 2,legendControl 3,enConDesc,enConList,legendControl 4,extraTxt 9,extraTxt 10,extraTxt 14,alignC 3,enConList 2,enConList 3,enConList 4,extraTxt 15
ITA,Machiavelli and Machiavellianism,ITA198H1-F,"An examination of Machiavelli’s political doctrine in and the development of his ideas in politics, ethics and the arts. Special attention will be paid to the enduring relevance of his legacy in the modern world. Restricted to first-year students. Not eligible for CR/NCR option.",VIC142H1,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Thursday,—,10:00,12:00,VC 115,https://map.utoronto.ca/?id=1809#!m/494602,"Leta, M.",of  available,7,30,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,The,Prince,,,,,,
IRE,Why We Work: Understanding Work Through the Prism of Art & Culture,IRE199H1-F,"Why do we work? What does work mean to the average person? These questions are not as straightforward as they appear. We work for the bulk of our lives and most of our days are spent with coworkers who are neither family nor our closest friends, but we often fail to realize how self-defining work really is. This speaks to work’s centrality but also to its invisibility in reflective discourse. However, through “popular” representations of work (e.g., such as in story-telling, cave drawings, hieroglyphs, music, writing, painting, television, film, video games, etc.,) we can begin to better understand the meaning of work and how this has changed over time. Readings in anthropology, history, economics, sociology and employment relations plus film and art criticism will help us explore these questions from an interdisciplinary perspective; assignments will encourage students to reflect on their own experience of work. Developing strong analytical and communication skills is an important goal of the course. Restricted to first-year students. Not eligible for CR/NCR option.",Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,,Room,LEC0101,Tuesday,—,10:00,12:00,OI 2279,https://map.utoronto.ca/?id=1809#!m/494563,"Gomez, R.",of  available,0,25,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),Timetable instructions,Note:,This course is restricted to year 1 students (0 - 3.5 FCEs) in the Faculty of Arts and Science (St George Campus).,,,,,,
IRE,Why We Work: Understanding Work Through the Prism of Art & Culture,IRE199H1-S,"Why do we work? What does work mean to the average person? These questions are not as straightforward as they appear. We work for the bulk of our lives and most of our days are spent with coworkers who are neither family nor our closest friends, but we often fail to realize how self-defining work really is. This speaks to work’s centrality but also to its invisibility in reflective discourse. However, through “popular” representations of work (e.g., such as in story-telling, cave drawings, hieroglyphs, music, writing, painting, television, film, video games, etc.,) we can begin to better understand the meaning of work and how this has changed over time. Readings in anthropology, history, economics, sociology and employment relations plus film and art criticism will help us explore these questions from an interdisciplinary perspective; assignments will encourage students to reflect on their own experience of work. Developing strong analytical and communication skills is an important goal of the course. Restricted to first-year students. Not eligible for CR/NCR option.",Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,,Room,LEC0101,Wednesday,—,10:00,12:00,BL 114,https://map.utoronto.ca/?id=1809#!m/494536,"Scanlan, P.",of  available,0,25,Yes: 2 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),Timetable instructions,Note:,This course is restricted to year 1 students (0 - 3.5 FCEs) in the Faculty of Arts and Science (St George Campus).,,,,,,
ITA,Italian Fascism and Global Responses: The Dark Side of Italianità,ITA199H1-F,"After WWI, Italian society faced a political, economic, and moral crisis that resulted in the rise of fascism. Using diverse sources (media, literary texts, movies, architecture and design); this course explores various reactions in Italy and abroad to the rise of Mussolini and the totalitarian State. Why did common people, intellectuals, politicians, and business and community leaders around the globe succumb to the seduction of fascism? How did other people denounce fascist violence? After an introduction to Italian fascism, the course will consider global reactions to Italian fascism and diverse responses in Italian communities abroad (e.g. Canada, USA, Argentina). Restricted to first-year students. Not eligible for CR/NCR option.",None,Prerequisite:,None,Corequisite:,None,Exclusion:,Room,LEC0101,Tuesday,—,10:00,12:00,OI 5290,https://map.utoronto.ca/?id=1809#!m/494563,"Di Franco, M.",of  available,17,25,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,Society and its Institutions (3),Breadth Requirement:,None,,,,,Recommended Preparation:
ITA,Major Italian Authors in Translation: from Dante to Tasso,ITA200H1-F,"The course will focus on authors from the Middle Ages to the Renaissance who had a defining influence on Western literature, such as Dante, Petrarca, Boccaccio, Machiavelli, Ariosto and Tasso. This course includes a component designed to enhance students’ research experience. (Given in English)",ITA300H1,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Thursday,—,12:00,14:00,CR 404,https://map.utoronto.ca/?id=1809#!m/494580,"Martignoni, A.",of  available,26,40,Yes: 0 student,In Person,,,,,,,,,,,,,
ITA,Major Italian Authors in Translation: from Marino to Calvino,ITA201H1-S,"The course will focus on authors from the Baroque to the Twentieth Century who had a defining influence on Western literature, such as Marino, Goldoni, Manzoni, Pirandello, Calvino. This course includes a component designed to enhance students’ research experience. (Given in English)",ITA301H1,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Thursday,—,12:00,14:00,CR 403,https://map.utoronto.ca/?id=1809#!m/494580,"Morra, E.",of  available,29,40,Yes: 0 student,In Person,,,,,,,,,,,,,
INNIS,Theories of Rhetoric: A Brief History of Persuasion,WRR201H1-F,"The history of rhetoric, the philosophical art of persuasion, is a complex one bound up with the histories of philosophy, literature, and religion, the rise and fall of empires, and the emergence of modern science and media technology. We will examine the development of rhetoric over time, from the roots of the discipline in classical antiquity to the genesis of modern and postmodern rhetoric, including the New Rhetoric. We will then focus on contemporary rhetorical currents in language philosophy, gender studies, critical race studies, and affect theory.",Completion of 4.0 credits,Prerequisite:,INI201H1,Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Tuesday,—,16:00,19:00,IN 204,https://map.utoronto.ca/?id=1809#!m/494541,"Adleman, D.",of  available,1,40,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMIN2137 MI WRITING & RHETORIC,,,,Creative and Cultural Representations (1),,,,,Breadth Requirement:
INNIS,Foundations of Written Discourse,WRR203H1-F,"Designed to teach students to write persuasively and to recognize persuasive strategies at work in writing they analyze. Classical rhetorical terms, elements of style, and modes of argument are central to the course. Assignments include a rhetorical analysis, in-class close reading exercises, and a term essay. Readings include prose from a variety of disciplines, excluding fiction and poetry. Students who enrol in the course must demonstrate competence in the English language.",Completion of 4.0 credits,Prerequisite:,"INI203H1, INI203Y1",Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Thursday,—,10:00,13:00,IN 204,https://map.utoronto.ca/?id=1809#!m/494541,"Visvis, V.",of  available,21,40,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMIN2137 MI WRITING & RHETORIC,,,,"Thought, Belief and Behaviour (2)",,,,,Breadth Requirement:
INNIS,Foundations of Written Discourse,WRR203H1-S,"Designed to teach students to write persuasively and to recognize persuasive strategies at work in writing they analyze. Classical rhetorical terms, elements of style, and modes of argument are central to the course. Assignments include a rhetorical analysis, in-class close reading exercises, and a term essay. Readings include prose from a variety of disciplines, excluding fiction and poetry. Students who enrol in the course must demonstrate competence in the English language.",Completion of 4.0 credits,Prerequisite:,"INI203H1, INI203Y1",Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Thursday,—,10:00,13:00,FE 135,https://map.utoronto.ca/?id=1809#!m/494550,"Visvis, V.",of  available,23,40,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMIN2137 MI WRITING & RHETORIC,,,,"Thought, Belief and Behaviour (2)",,,,,Breadth Requirement:
ENG,Writing English Essays,JWE206H1-S,"This course teaches students who already write effectively how to write clear, compelling, research-informed English essays. The course aims to help students recognize the function of grammar and rhetoric, the importance of audience, and the persuasive role of style.",Completion of 1.0 ENG credit or any 4.0 credits,Prerequisite:,JEI206H1,Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Monday,—,13:00,15:00,HI CART,https://map.utoronto.ca/?id=1809#!m/494576,"Messenger, C.",of  available,7,60,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1645 MA ENGLISH,,,,Creative and Cultural Representations (1),—,ASMIN1645 MI ENGLISH,ASMIN2137 MI WRITING & RHETORIC,ASSPE1645 SP ENGLISH,Breadth Requirement:
GGR,Globalization and Urban Change,JGU216H1-S,"Focusing on the impacts that global flows of ideas, culture, people, goods, and capital have on cities throughout the globe, this course explores some of the factors that differentiate the experiences of globalization and urban change in cities at different moments in history and in various geographic locations.",JGI216H1,Exclusion:,GGR124H1,Recommended Preparation:,Social Science,Distribution Requirement:,Room,LEC0101,Thursday,—,16:00,18:00,IN 112,https://map.utoronto.ca/?id=1809#!m/494541,"Roberts, D.",of  available,144,200,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Geography and Planning   (Faculty of Arts and Science),,,,Society and its Institutions (3),,"Department of Geography and Planning   (John H. Daniels Faculty of Architecture, Landscape, & Design)",ASMAJ2207 MA URBAN STUDIES,ASMIN2207 MI URBAN STUDIES,Breadth Requirement:
INNIS,Cities in Popular Culture,URB234H1-F,"By exploring different popular culture phenomena such as the emergence of hiphop in the Bronx, Batman's Gotham, and Nollywood, this course works to examine the contributions of popular culture in shaping our understandings of cities (as well as providing different perspectives of the city and the urban experience than is generally captured in scholarly/academic literature). Popular culture becomes a vehicle by which we will explore different aspects of urban life and urban representation.",Completion of 4.0 credits,Prerequisite:,INI234H1,Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Tuesday,—,10:00,12:00,IN 112,https://map.utoronto.ca/?id=1809#!m/494541,"Fitzpatrick, R.",of  available,105,140,Yes: 0 student,In Person,,,,,Timetable instructions,Note:,"Course Description for Fall 2021: Culture has a messy relationship to the ways we share spaces and live together in cities. It helps us grapple with the unwieldy complexity of the city. In this class, we will look at a series of cultural objects (films, TV, video games, photography, poetry) that respond to cities in different ways, treating them as objects of study and playgrounds for experimentation. We will look at cities, real and imagined, to consider issues and concepts like urban design, housing, gentrification, art washing, uneven development, policing, Indigenous cities, and globalization.",Society and its Institutions (3),,,,,Breadth Requirement:
INNIS,A Multidisciplinary Introduction to Urban Studies I: Theoretical Foundations of City Building,URB235H1-F,"Focuses on the theoretical foundations of urbanization, urban change, and city building, with particular attention on global urban growth, history of contemporary urbanization, urban planning, governance, built form, and economic development. These topics are explored through a multidisciplinary lens, with an emphasis on understanding urban transitions over time and their meaning for contemporary urban experience.","Completion of 4.0 credits, including 1.0 credit from one of the following four course groups. Economics: ECO101H1, ECO102H1, ECO105Y1; Geography: GGR101H1, GGR107H1, GGR112H1, GGR124H1; Political Science: POL101Y1, POL101H1, POL106H1, POL107H1, POL109H1, POL214Y1; Sociology: SOC100H1, SOC150H1.",Prerequisite:,"INI235H1, INI235Y1",Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Wednesday,—,10:00,12:00,IN 112,https://map.utoronto.ca/?id=1809#!m/494541,"Roberts, D.",of  available,8,130,Yes: 0 student,In Person,,,,,,,,Society and its Institutions (3),,,,,Breadth Requirement:
INNIS,A Multidisciplinary Introduction to Urban Studies II: Urban Challenges and Theoretical Application,URB236H1-S,"Cities are centres of innovation and creative energy, but they also face significant and pressing challenges. This course explores various urban issues including inequality, eroding infrastructure, and concerns arising from globalization, while also examining the ways in which municipal governments and urban citizens are imagining and implementing potential solutions to these challenges.",URB235H1,Prerequisite:,"INI235Y1, INI236H1",Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Wednesday,—,10:00,12:00,IN 112,https://map.utoronto.ca/?id=1809#!m/494541,,of  available,16,120,Yes: 0 student,In Person,,,,,,,,Society and its Institutions (3),—,,,,Breadth Requirement:
IRE,Introduction to Employment Relations,IRE240H1-F,"An introduction to the study of the world of work and employment, the history and development of employment relations, its central theories and concepts; the behaviours, outcomes, practices and institutions that emerge from or affect the employment relationship; contemporary issues and comparative employment relations systems.",Enrolment in the Industrial Relations & Human Resources program (ASSPE/ASMAJ1536) or 4.0 FCEs and a minimum cgpa of 2.3.,Prerequisite:,WDW240H1,Exclusion:,Social Science,Distribution Requirement:,Room,LEC9901,Tuesday,—,13:00,16:00,—,,"Gomez, R.",of  available,0,120,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1535 MA EMPLOYMENT RELATIONS,Delivery instructions,Note:,Online attendance is expected at a specific time for some or all activities in the section.,Society and its Institutions (3),,ASMAJ1536 MA IND REL & HUM RES,ASSPE1535 SP EMPLOYMENT RELATIONS,ASSPE1536 SP IND REL & HUM RES,Breadth Requirement:
ITA,History of Italian Cinema,ITA240Y1-Y,"This course surveys the history of Italian cinema and the sociopolitical circumstances surrounding the film industry, from its early days to the present, while also introducing the students to methods of analysis and research appropriate to the field. Emphasis will be placed on films from the silent era to the 1960s, and from the 1960s to the present. This course includes a component designed to introduce students to methods of scholarly research appropriate to the field.",The course is given in English and all films shown have English subtitles.,Distribution Requirement:,Humanities,Breadth Requirement:,Creative and Cultural Representations (1),,,LEC9901,Tuesday,—,14:00,16:00,,,"Zambenedetti, A.",of  available,10,44,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),,,,,Delivery instructions,Note:,Lectures and any discussions and/or activities will be delivered online synchronously per the meeting schedule. Students will need to use several functions within Quercus (Discussion Boards) and the ability to use MS Teams and/or Zoom. It is necessary that students have a computer with a microphone and camera in order to participate in online activities. Screenings will be asynchronous and students are responsible to watch the films on their own time.,,,,,,
IRE,HRM for Industrial Relations and HR Professionals,IRE242H1-S,"This course explores the relationship between human resource management, employment relations, and industrial relations. Extensive practical course work will expose students to the functions human resource professionals execute to recruit, select, compensate, train, and evaluate the performance of employees. The course prepares students for advanced HR topics in upper level IRE courses.",Note: Course will not count towards Rotman Commerce program requirements.,Prerequisite:,"Enrolment in the Industrial Relations & Human Resources program (ASMAJ1536, ASSPE1536)",Exclusion:,"RSM361H1, RSM460H1",Distribution Requirement:,Room,LEC0101,Thursday,—,14:00,17:00,BL 325,https://map.utoronto.ca/?id=1809#!m/494536,"Campero Molina, S.",of  available,0,60,Yes: 15 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1535 MA EMPLOYMENT RELATIONS,,,,Social Science,,ASMAJ1536 MA IND REL & HUM RES,ASSPE1535 SP EMPLOYMENT RELATIONS,ASSPE1536 SP IND REL & HUM RES,Breadth Requirement:
IRE,Labour Relations,IRE244H1-S,"Introduction to the institutions, issues and legislation affecting the employment relationship in the public and private sectors in Canada, with emphasis on collective bargaining. The economic and political environment, history of the labour movement, union organization, certification, contract negotiation, strikes, dispute resolution, contract administration and grievances.",Enrolment in the Industrial Relations & Human Resources program (ASSPE1536/ASMAJ1536) or 4.0 or more FCEs and a minimum cgpa of 2.3.,Prerequisite:,"ECO244Y1, WDW244H1, WDW244Y1",Exclusion:,Social Science,Distribution Requirement:,Room,LEC5101,Thursday,—,18:00,21:00,BA 1170,https://map.utoronto.ca/?id=1809#!m/494470,"Gomez, R.",of  available,0,120,Yes: 4 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1535 MA EMPLOYMENT RELATIONS,,,,Society and its Institutions (3),,ASMAJ1536 MA IND REL & HUM RES,ASSPE1535 SP EMPLOYMENT RELATIONS,ASSPE1536 SP IND REL & HUM RES,Breadth Requirement:
ITA,Intermediate Italian,ITA250Y1-Y,"Grammar review, readings of Italian authors and oral practice to enhance comprehension and expressive skills.",Students without the prerequisite will be asked to fill out a questionnaire on their knowledge of and background in Italian.,Prerequisite:,"ITA100Y1/ITA151Y1; Grade 11 and/or 12 Italian (U or M level); or previous experience or instruction in Italian, or permission of the Department.",Exclusion:,ITA251Y1,Distribution Requirement:,,LEC5101,Monday,—,18:00,21:00,CR 103,https://map.utoronto.ca/?id=1809#!m/494580,"Galli, S.",of  available,4,30,Yes: 0 student,In Person (See Delivery Instructions.),,,,,Timetable instructions,Note:,This course features the flipped classroom method.,Humanities,,,,,Breadth Requirement:
UC,Italian Canadian Communities,JCI250H1-S,"This course examines the past and present settlement patterns of those of Italian descent in Canada, in rural areas and cities, including increasing suburbanization. Students will address issues such as work and employment and political participation. Challenges and opportunities will be examined, with respect to issues such as migration, community-building, belonging, and discrimination.",Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,,Room,LEC0101,Wednesday,—,15:00,17:00,UC D301,https://map.utoronto.ca/?id=1809#!m/494517,,of  available,18,25,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0728 MA CANADIAN STUDIES,,,,,—,ASMAJ2524 MA ITALIAN,ASMIN0728 MI CANADIAN STUDIES,ASMIN2524 MI ITALIAN,
