resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 4,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,headerSect 3,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,colInst,numCurr,numTot,numWait,onlineMeeting,headerSect 8,headerSect 9,headerSect 10,headerSect 11,headerSect 12,headerSect 13,headerSect 14,colCode 2,weekDay 3,dayInfo 4,dayInfo 5,dayInfo 6,weekDay 4,alignC,colAvail 2,numCurr 2,numTot 2,numWait 2,onlineMeeting 2,weekDay 5,alignC 2,weekDay 8,weekDay href,legendControl 3,legendControl 4,enConDesc,enConList,extraTxt 9,extraTxt 10,extraTxt 11,extraTxt 12,extraTxt 13,extraTxt 14,enConList 2,enConList 3,enConList 4,enConList 5,weekDay href 2,weekDay href 3,extraTxt href
PHY,Physics of the Changing Environment A,ENV237H1-S,,,,"The course will cover basic physics of environmental processes and of measurement techniques in the atmosphere, the ocean, lake-land-forest systems, and other biological systems. It will place its work in the context of climate change and other aspects of environmental change. This course is solely intended for students who have NOT completed a previous first year physics core course, who are in one of the following programs: Environmental Science Major or Minor, Environmental Geosciences Specialist or Earth and Environmental Systems Major.","MAT135H1/MAT136H1/MAT137Y1/MAT157Y1/JMB170Y1, CHM136H1/CHM138H1/CHM135H1/CHM139H1/CHM151Y1",Prerequisite:,"ENV238H1, PHY131H1/PHY132H1/PHY151H1/PHY152H1",Exclusion:,Room,LEC0101,Tuesday,—,15:00,16:00,WI 523,"Wunch, D.",6,26,Yes: 0 student,In Person,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,PRA0101,Monday,—,14:00,16:00,Thursday,,of  available,6,26,No,In Person,MP 124,—,,https://map.utoronto.ca/?id=1809#!m/494503,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1076 MA ENVIRONMENTAL SCIENCE,Any high school physics,Recommended Preparation:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,ASMAJ1253 MA ENVIRONMENTAL GEOSCI,ASMAJ1555 MA ENVIRONMENT & SCIENCE,ASMAJ2745 MA EARTH & ENVIRONMENTAL SYS,ASMIN1555 MI ENVIRONMENTAL SCIENCE,https://map.utoronto.ca/?id=1809#!m/494503,https://map.utoronto.ca/?id=1809#!m/494490,
PHY,Physics of the Changing Environment B,ENV238H1-S,,,,"The course will cover basic physics of environmental processes and of measurement techniques in the atmosphere, the ocean, lake-land-forest systems, and other biological systems. It will place its work in the context of climate change and other aspects of environmental change. This course is solely intended for students who have completed a previous first year physics core course, who are in one of the following programs: Environmental Science Major or Minor, Environmental Geosciences Specialist or Earth and Environmental Systems Major.","MAT135H1/MAT136H1/MAT137Y1/MAT157Y1/JMB170Y1, CHM136H1/CHM138H1/CHM135H1/CHM139H1/CHM151Y1, PHY131H1/PHY132H1/PHY151H1/PHY152H1",Prerequisite:,ENV237H1,Exclusion:,Room,LEC0101,Tuesday,—,15:00,16:00,WI 523,"Wunch, D.",0,10,Yes: 1 student,In Person,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,PRA0101,Monday,—,14:00,16:00,Thursday,,of  available,0,10,No,In Person,MP 124,—,,https://map.utoronto.ca/?id=1809#!m/494503,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1076 MA ENVIRONMENTAL SCIENCE,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,,,ASMAJ1253 MA ENVIRONMENTAL GEOSCI,ASMAJ1555 MA ENVIRONMENT & SCIENCE,ASMAJ2745 MA EARTH & ENVIRONMENTAL SYS,ASMIN1555 MI ENVIRONMENTAL SCIENCE,https://map.utoronto.ca/?id=1809#!m/494503,https://map.utoronto.ca/?id=1809#!m/494490,
ENVMT,Is the Internet Green?,ENV261H1-F,,,,The Internet has deeply penetrated most aspects of society and yet we are remarkably unreflective about its impacts and sustainability. This course challenges students to critically evaluate evidence regarding the environmental and social impacts of the Internet and how the Internet contributes (or not) to goals of environmental sustainability. (ENV261H1 is intended as a Breadth Requirement course in the Social Sciences.),Students must have completed a minimum of 4.0 FCEs to enrol in the course.,Prerequisite:,BIG102Y1; ENV281H1 if taken in 2015-16 or 2016-17,Exclusion:,Room,LEC0101,Tuesday,—,14:00,16:00,BA 1220,"Diamond, M.",2,60,Yes: 0 student,In Person,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Tuesday,—,16:00,17:00,,—,of  available,1,30,No,In Person,Thursday,—,SS 2111,https://map.utoronto.ca/?id=1809#!m/494470,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",School of Environment   (Faculty of Arts and Science),Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,,"School of Environment   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,https://map.utoronto.ca/?id=1809#!m/494510,
ENVMT,Research Opportunity Program,ENV299Y1-Y,,,,Credit course for supervised participation in faculty research project. Details at . Not eligible for CR/NCR option.,"Science, Social Science",Distribution Requirement:,,,,LEC0101,Monday,—,17:00,19:00,MS 4171,"Bass, B.",9995,9999,No,In Person,,,,,,,,,—,,,,—,,,,,,,—,,,https://map.utoronto.ca/?id=1809#!m/494491,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-opportunities-program,,,,,,,,,https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-opportunities-program
ENVMT,Urban Sustainability,ENV307H1-S,,,,This course critically examines the concept of urban sustainability in theory and application. Case studies of ongoing urban sustainability programs in the developed and developing world help students assess the successes and failures of these programs. The course also examines the current state of research and implementation efforts toward urban sustainability. Toronto's urban sustainability and sustainable needs will be investigated through the use of Geographic Information Systems (GIS) during the course (previous experience with GIS is not required).,Completion of 8.0 FCE including ENV221H1/ENV222H1; or permission of the Undergraduate Associate Director,Prerequisite:,An environmental studies half course.,Recommended Preparation:,Room,LEC0101,Tuesday,—,12:00,14:00,ES B142,"Jakubiec, A.",0,84,Yes: 12 students,In Person,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,PRA0101,Tuesday,—,14:00,15:30,,,of  available,3,42,No,In Person,RW 109,—,RW 109,https://map.utoronto.ca/?id=1809#!m/494499,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",School of Environment   (Faculty of Arts and Science),Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,,"School of Environment   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,https://map.utoronto.ca/?id=1809#!m/494515,
ENVMT,Laboratory and Field Methods in Environmental Science,ENV316H1-F,,,,"This course focuses on methods of sampling and analyzing natural air, water and solid Earth materials for physical, chemical and biological properties that are relevant to current environmental issues. It will integrate approaches from chemistry, physics, geology and biology, and cover techniques in field sampling, laboratory analyses and analyses of large environmental data sets. Basic concepts related to quality control will be emphasized throughout the course: sample collection and storage methods, calibration of field and lab instruments, analyses in complex matrices, errors (accuracy, precision); and detection limits. This course is for students enrolled in the Environmental Science Major program, or permission of the Undergraduate Associate Director. A fee of $25 will be charged for lab supplies, lab instrument charges and technical services.","ENV234H1, ENV237H1/ENV238H1, one of CHM210H1/ESS262H1, one of STA220H1/STA288H1/EEB225H1/GGR270H1",Prerequisite:,ESS425H1/ENV315H1 (Chemical Analysis of Environmental Samples),Exclusion:,Room,LEC0101,Friday,—,13:00,17:00,RW 109,"Peng, H.",0,25,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494515,"Priority, then Enrol at Department (PE)",Enrolment Controls:,"Priority enrolment on ACORN is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all students must request permission to enrol in this section by contacting the sponsoring department. Please see Timetable Instructions tab for contact information. The following groups of students are given priority access on ACORN until July 28:",ASMAJ1076 MA ENVIRONMENTAL SCIENCE  - Year 3,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,,,ASMAJ1076 MA ENVIRONMENTAL SCIENCE  - Year 4,,,,,,
ENVMT,National Environmental Policy,ENV320H1-S,,,,"Examines ways in which governments develop and implement policy to protect the environment within their borders. Primarily Canada, plus comparisons with other countries. The focus is upon the politics of environmental policy making, which is understood by examining the interests and powers of the relevant state and non-state actors.",Completion of 8.0 FCE including ENV221H1/ENV222H1; or permission of the Undergraduate Associate Director,Prerequisite:,Social Science,Distribution Requirement:,Room,LEC0101,Friday,—,13:00,16:00,ES B142,,0,90,Yes: 9 students,In Person,,,,,,,,,,,,,,—,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494499,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",School of Environment School of Environment   (Faculty of Arts and Science),Society and its Institutions (3),Breadth Requirement:,,,,,"School of Environment School of Environment   (John H. Daniels Faculty of Architecture, Landscape, & Design)",ASMAJ1076 MA ENVIRONMENTAL SCIENCE,ASMAJ1254 MA ENVIRONMENTAL STUDIES,ASMIN1254 MI ENVIRONMENTAL STUDIES,,,
GGR,Multicultural Perspectives on Environmental Management,JGE321H1-S,,,,"Diverse approaches to environmental issues in a variety of multicultural settings are introduced, compared and analyzed, using case studies. Perspectives on environmental management will be discussed as they emerge from contexts such as Latin America, Asia, or Africa.",ENV221H1/ENV222H1/GGR222H1/GGR223H1,Prerequisite:,ENV321Y1,Exclusion:,Room,LEC0101,Thursday,—,13:00,15:00,SS 2125,"Abizaid, C.",0,60,Yes: 33 students,In Person,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494510,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",GEOGRAPHY     (Faculty of Arts and Science),8.0 credits,Recommended Preparation:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,"GEOGRAPHY     (John H. Daniels Faculty of Architecture, Landscape, & Design)",ASMAJ0296 MA ENVIRONMENTAL POLICY & PRAC,ASMAJ0365 MA HMB: ENVIRONMENT & HEALTH,ASMAJ1107 MA ENVIRONMENTAL ETHICS,,,
ENVMT,International Environmental Policy,ENV322H1-F,,,,"Examines the ways in which states negotiate and implement international agreements addressing global environmental issues, such as the United Nations Framework Convention on Climate Change. Focus is upon factors which determine the efficacy of multilateral environmental agreements and the prospects for stronger global environmental governance.",Completion of 8.0 FCE including ENV221H1/ENV222H1; or permission of the Undergraduate Associate Director,Prerequisite:,Social Science,Distribution Requirement:,Room,LEC0101,Tuesday,—,12:00,14:00,KP 108,"Green, J.",7,90,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494488,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",School of Environment   (Faculty of Arts and Science),Society and its Institutions (3),Breadth Requirement:,,,,,"School of Environment   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,,
ENVMT,Ontario Environmental Policy,ENV323H1-S,,,,"Introduces students to public policy and institutional foundations of public policy in Canada, with an emphasis on environmental policy in Ontario. Provides an insiders perspective on how environmental policy has been developed in Ontario.",Completion of 8.0 FCE including ENV221H1/ENV222H1; or permission of the Undergraduate Associate Director,Prerequisite:,Social Science,Distribution Requirement:,Room,LEC0101,Monday,—,10:00,12:00,AB 107,"Houldin, R.",2,70,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494489,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",School of Environment   (Faculty of Arts and Science),Society and its Institutions (3),Breadth Requirement:,,,,,"School of Environment   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,,
ENVMT,Waste Not: Faith-Based Environmentalism,ENV330H1-S,,,,"This course explores religious environmentalism, its proponents and opponents, and its core values within the Abrahamic faiths of Judaism, Christianity and Islam. Religious environmentalists have used teachings from sacred texts as exemplars of sustainability. Some, however, claim that these texts teach domination, anthropocentrism and hierarchical values. Looking at a range of worldviews, we focus on the topics of wastefulness, consumption, and simplicity. Readings about barriers, motivations, and values that inform environmental behaviour are complemented with field trips to places of worship where we will hear religious leaders speak about the environmental initiatives undertaken in their communities and see sacred spaces.",Completion of 8.0 FCE including ENV221H1/​ ENV222H1; or permission of the Undergraduate Associate Director,Prerequisite:,"ENV382H1 (Special Topics in Environment: Waste Not, Want Not: Stories of Wastefulness in Religion & Society); offered in Winter 2018, Fall 2018, and Winter 2020",Exclusion:,Room,LEC0101,Wednesday,—,10:00,12:00,UC 256,"Yoreh, T.",0,40,Yes: 4 students,In Person,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494517,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",School of Environment   (Faculty of Arts and Science),Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,,"School of Environment   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,,
GGR,Resource and Environmental Theory,JGE331H1-F,,,,"Introduction to and critical evaluation of major ideas and conceptual traditions underpinning environmental and natural resource politics and regulation. Topics include: parks and protected areas, market-based environmental regulation, property rights and conservation, Malthusianism, and biodiversity conservation. Emphasis is placed on critical reading of primary texts.",GGR100H1/JEG100H1/GGR107H1/ENV221H1/ENV222H1/GGR222H1/GGR223H1,Prerequisite:,8.0 credits,Recommended Preparation:,Room,LEC0101,Thursday,—,12:00,14:00,SS 1085,"Prudham, S.",32,90,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494510,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",GEOGRAPHY     (Faculty of Arts and Science),Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,,"GEOGRAPHY     (John H. Daniels Faculty of Architecture, Landscape, & Design)",ASMAJ0296 MA ENVIRONMENTAL POLICY & PRAC,ASMAJ1107 MA ENVIRONMENTAL ETHICS,ASMAJ1254 MA ENVIRONMENTAL STUDIES,,,
ENVMT,Ecological Worldviews,ENV333H1-F,,,,"Approaches to environmental concerns are often marked by assumptions that reflect distinct worldviews positing particular understandings of the role of the human with respect to nature. This course explores sundry economic, political, scientific, religious, and moral worldviews pertaining to the environment, including environmental ethics, Gaia, ecofeminism, scientific cosmology, and indigenous perspectives.",Completion of 8.0 FCE including ENV221H1/ENV222H1; or permission of the Undergraduate Associate Director,Prerequisite:,"Humanities, Social Science",Distribution Requirement:,Room,LEC0101,Monday,—,14:00,16:00,GI ---,"Scharper, S.",7,120,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494577,"Priority, then Enrol at Department (PE)",Enrolment Controls:,"Priority enrolment on ACORN is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all students must request permission to enrol in this section by contacting the sponsoring department. Please see Timetable Instructions tab for contact information. The following groups of students are given priority access on ACORN until July 28:",School of Environment   (Faculty of Arts and Science),"Thought, Belief and Behaviour (2)",Breadth Requirement:,,,,,"School of Environment   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,,
EEB,Environmental Biology: Applied Ecology,ENV334H1-S,,,,"Applied issues in aquatic and terrestrial ecosystems, with an emphasis on land-use change and its impacts on watersheds. Topics include: ecology of agro-ecosystems and other human-managed ecosystems, bio-indicators of anthropogenic impacts, ecosystem restoration, and adaptive management. Group projects address local management/restoration issues.",ENV234H1 and completion of 9.0 credits,Prerequisite:,a course in statistics (EEB225H1 recommended),Recommended Preparation:,Room,LEC0101,Monday,—,15:00,16:00,SS 1071,"Cyr, H.",0,44,Yes: 5 students,In Person,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Thursday,—,16:00,18:00,Wednesday,—,of  available,5,44,No,In Person,,,SS 1071,https://map.utoronto.ca/?id=1809#!m/494510,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0110 MA BIODIV & CONSERVATION BIOL,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,,,ASMAJ1006 MA ECOLOGY & EVOLUTIONARY BIOL,ASMAJ1076 MA ENVIRONMENTAL SCIENCE,ASMAJ1390 MA ENVIRONMENTAL BIOLOGY,ASMAJ1555 MA ENVIRONMENT & SCIENCE,https://map.utoronto.ca/?id=1809#!m/494510,https://map.utoronto.ca/?id=1809#!m/494510,
ENVMT,Environmental Design,ENV335H1-S,,,,"Environmental design, in the context of this course, refers to design strategies that account for the ability of supporting ecosystems to continue to meet human needs and those of other lifeforms without diminishing biological diversity or environmental quality. This course takes a hands-on approach to investigating several environmental design issues: climate-responsive design, energy consumption, health and comfort, natural lighting and ventilation, and water management. Students will build up a design of a net-zero carbon residential building through several instructive design exercises during the semester, including hands-on measurement and calculation activities.",Completion of 8.0 FCE including ENV221H1/ENV222H1; or permission of the Undergraduate Associate Director,Prerequisite:,Social Science,Distribution Requirement:,Room,LEC0101,Monday,—,13:00,16:00,GB 220,,0,90,Yes: 2 students,In Person,,,,,,,,,,,,,,—,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494473,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",School of Environment    (Faculty of Arts and Science),Society and its Institutions (3),Breadth Requirement:,,,,,"School of Environment    (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,,
ENVMT,Human Interactions with the Environment,ENV337H1-S,,,,"The impact of 7 billion people on the planet is enormous and challenges future generations. What are these impacts today and in future? What solutions and tools can avert societal collapse? Using an integrated and interdisciplinary systems approach, we explore problems and solutions to the earth’s limits to growth.","(two of ENV233H1, ENV234H1, ENV237H1/ENV238H1) or (two of CHM210H1, ENV234H1, ENV237H1/ENV238H1, ESS262H1) or (GGR201H1 + GGR203H1) or (ENV233H1 + ESS261H1) or (ESS261H1 + ESS262H1) or (CHM210H1 + CHM217H1) or (ENV221H1/ENV222H1/ENV234H1 + BIO220H1 + BIO230H1/BIO255H1) or permission of Undergraduate Associate Director",Prerequisite:,JGE236H1/JEE337H1,Exclusion:,Room,LEC0101,Monday,—,10:00,13:00,SS 2110,,28,60,Yes: 0 student,In Person,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,PRA0101,Wednesday,—,10:00,11:00,,—,of  available,20,30,No,In Person,UC 67,—,UC 67,https://map.utoronto.ca/?id=1809#!m/494510,"Priority, then Enrol at Department (PE)",Enrolment Controls:,"Priority enrolment on ACORN is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all students must request permission to enrol in this section by contacting the sponsoring department. Please see Timetable Instructions tab for contact information. The following groups of students are given priority access on ACORN until July 28:",ASMAJ0365 MA HMB: ENVIRONMENT & HEALTH,Related high school science,Recommended Preparation:,Science,Distribution Requirement:,,,ASMAJ1076 MA ENVIRONMENTAL SCIENCE,ASMIN1555 MI ENVIRONMENTAL SCIENCE,ASSPE0365 SP ENVIRONMENT & HEALTH,ASSPE0605 SP ENVIRONMENT & TOXICOLOGY,,https://map.utoronto.ca/?id=1809#!m/494517,
ENVMT,Planetary Health,ENV341H1-F,,,,"Examination of the linkages between human health and environment using an interdisciplinary, planetary health lens. Addresses basic public health and toxicological principles. Case studies are examined to highlight the multifaceted ways health and environment are interconnected and to understand key factors modulating environmental exposures and health outcomes in various populations.","ENV221H1/ENV222H1 or (BIO230H1/BIO255H1, and enrolment in the HMB Specialist in Health and Disease/HMB Specialist in Global Health), and completion of at least 8.0 credits of courses; or permission of the Undergraduate Associate Director.",Prerequisite:,None,Corequisite:,Room,LEC0101,Wednesday,—,13:00,15:00,SS 1069,"Wiseman, C.",39,90,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494510,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",School of Environment   (Faculty of Arts and Science),None,Exclusion:,None,Recommended Preparation:,"Science, Social Science",Distribution Requirement:,"School of Environment   (John H. Daniels Faculty of Architecture, Landscape, & Design)",ASSPE2013 SP HMB: HEALTH AND DISEASE,ASSPE2543 SP ENVIRONMENTAL CHEMISTRY,ASSPE2575 SP HMB: GLOBAL HEALTH,,,
ENVMT,Terrestrial Energy Systems,ENV346H1-F,,,,"Various earth systems for energy transformation, storage and transport are explored. Geological, hydrological, biological, cosmological and oceanographic energy systems are considered in the context of the Earth as a dynamic system, including the variation of solar energy received by the planet and the redistribution of this energy through various radiative, latent and sensible heat transfer mechanisms. It considers the energy redistribution role of large-scale atmospheric systems, of warm and cold ocean currents, the role of the polar regions, and the functioning of various hydrological systems. The contribution and influence of tectonic systems on the surface systems is briefly introduced, as well the important role of energy storage processes in physical and biological systems, including the accumulation of fossil fuel reserves.","(MAT135H1, MAT136H1)/ MAT137Y1/ JMB170Y1; BIO120H1/ CHM136H1/ CHM138H1/ CHM135H1/ CHM139H1/ CHM151Y1/ PHY131H1/ PHY132H1/ PHY151H1/ PHY152H1",Prerequisite:,Science,Distribution Requirement:,Room,LEC0101,Monday,—,09:00,11:00,MC 102,"Sinclair, I.",11,18,Yes: 0 student,In Person,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,TUT5101,Tuesday,—,18:00,20:00,Wednesday,—,of  available,11,18,No,In Person,,,BA 1220,https://map.utoronto.ca/?id=1809#!m/494474,"Priority, then Enrol at Department (PE)",Enrolment Controls:,"Priority enrolment on ACORN is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all students must request permission to enrol in this section by contacting the sponsoring department. Please see Timetable Instructions tab for contact information. The following groups of students are given priority access on ACORN until July 28:",ASMAJ1076 MA ENVIRONMENTAL SCIENCE  - Year 3,The Physical and Mathematical Universes (5),Breadth Requirement:,,,,,ASMAJ1076 MA ENVIRONMENTAL SCIENCE  - Year 4,ASMIN1552 MI ENVIRONMENT & ENERGY  - Year 3,ASMIN1552 MI ENVIRONMENT & ENERGY  - Year 4,ASMIN1555 MI ENVIRONMENTAL SCIENCE  - Year 3,https://map.utoronto.ca/?id=1809#!m/494474,https://map.utoronto.ca/?id=1809#!m/494470,
ENVMT,The Power of Economic Ideas,ENV347H1-F,,,,"This course examines the power of economic ideas in effecting environmental change. Topics include the relation of ecological economics to mainstream economics, as well as the role of financial incentives to move the environmental agenda forward.",Completion of 8.0 FCE including ENV221H1/ENV222H1; or permission of the Undergraduate Associate Director,Prerequisite:,Social Science,Distribution Requirement:,Room,LEC0101,Tuesday,—,10:00,12:00,KP 108,"Houldin, R.",28,90,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494488,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",School of Environment    (Faculty of Arts and Science),Society and its Institutions (3),Breadth Requirement:,,,,,"School of Environment    (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,,
ENVMT,Energy Policy and Environment,ENV350H1-F,,,,"The course addresses: (1) physical, technological and economic aspects of energy and electricity systems and their associated environmental impacts; (2) current international, Canadian and Ontario energy policy; (3) technological, economic and political factors influencing policy which could significantly reduce environmental impacts of energy use.",Completion of 8.0 FCE including ENV221H1/ENV222H1; or permission of the Undergraduate Associate Director,Prerequisite:,Social Science,Distribution Requirement:,Room,LEC2501,Monday,—,18:00,20:00,SS 2135,"Stewart, K.",51,80,Yes: 0 student,In Person,,,,,,,,,,,,,Monday,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494510,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,(Faculty of Applied Science & Engineering),Society and its Institutions (3),Breadth Requirement:,,,,,School of Environment   (Faculty of Arts and Science),"School of Environment   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,https://map.utoronto.ca/?id=1809#!m/494510,,
ETHIC,Topics in Value Theory,ETH350H1-F,Timetable instructions,Note:,"Selected topics in value theory, broadly construed (ethics, political theory, law): Race, Rights, and Communism: W.E.B. Du Bois, 1945-50.","Selected topics in value theory, broadly construed (ethics, political theory, law). Consult the Centre for Ethics website for offering information.",Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,LEC0101,Tuesday,—,15:00,17:00,VC 212,"Davis, B.",19,50,Yes: 0 student,In Person,Subtitle,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494602,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:","ASMAJ1618 MA ETHICS, SOCIETY & LAW",,,,,,"For further information, please consult the Centre for Ethics website ().",,,,,,,https://ethics.utoronto.ca/
ETHIC,Topics in Value Theory,ETH350H1-S,Timetable instructions,Note:,"Selected topics in value theory, broadly construed (ethics, political theory, law): ""Trust and the Ethics of Artificial Intelligence"" For further information, please consult the Centre for Ethics website (https://ethics.utoronto.ca).","Selected topics in value theory, broadly construed (ethics, political theory, law). Consult the Centre for Ethics website for offering information.",Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,LEC0101,Monday,—,10:00,12:00,LA 200,"Freiman, O.",13,20,Yes: 0 student,In Person,Subtitle,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494544,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:","ASMAJ1618 MA ETHICS, SOCIETY & LAW",,,,,,,,,,,,,
