resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 4,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,extraTxt 9,extraTxt 10,headerSect 3,colCode,weekDay,dayInfo 2,dayInfo 3,weekDay 2,colInst,numCurr,numTot,numWait,onlineMeeting,headerSect 15,alignC,weekDay href,legendControl 3,legendControl 4,enConDesc,enConList,extraTxt 11,extraTxt 12,enConList 2,enConList 3,enConList 4
JSP,Introduction to Jewish Culture,CJS201H1-S,Delivery instructions,Note:,Recordings of lectureswill be available for students to view asynchronously. Tutorials are scheduled to be synchronous and in person at the scheduled class time. Students may be expected to watch some asynchronous lecture videos prior to class meetings. No online activities are scheduled but if they become necessary it would be helpful to have a computer with a microphone and camera.,"General introduction to history, literatures and cultures of Jewish people from antiquity to contemporary. A balanced presentation of multi-disciplinary approaches and multi-methodological approaches to Jewish studies, with a special emphasis on Jewish cultural studies and Jewish secularity.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,Room,LEC0101,Wednesday,14:00,16:00,SS 1087,"Bergen, D.",22,50,Yes: 0 student,In Person (See Delivery Instructions.),,,https://map.utoronto.ca/?id=1809#!m/494510,,,,,,,,,
LIN,Introduction to Indigenous Languages of the Americas,LIN202H1-S,,,,"This is an introduction to Indigenous languages and cultures of Central, North, and South America. Students will be exposed to discussions about what is an indigenous language, social status of indigenous languages as well as indigenous movements towards language documentation and revitalization and language education in the Americas.",Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,,Room,LEC0101,Tuesday,16:00,18:00,SS 1071,"Mateo Pedro, P.",74,100,Yes: 0 student,In Person,,,https://map.utoronto.ca/?id=1809#!m/494510,,,,,,,,,
LIN,English Words,LIN203H1-F,Delivery instructions,Note:,Lectures will be delivered online per the meeting schedule. Tutorials will also be delivered online per the meeting schedule. Students need the ability to use Zoom and will be expected to be able to participate orally or through the chat.,"English has a rich vocabulary. We will learn how it has developed over time, and investigate aspects of the meaning and pronunciation of words. Most of all, we will study how words are put together, so that students will be able to recognize and analyze unfamiliar words.","LIN203H5, LIN233H5",Exclusion:,Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,LEC9901,Thursday,09:00,11:00,—,"Brook, M.",73,245,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),Activity,—,,,,,,,,,,
LIN,English Grammar,LIN204H1-S,Delivery instructions,Note:,Lectures will be delivered online per the meeting schedule. Tutorials will also be delivered online per the meeting schedule. Students need the ability to use Zoom and will be expected to be able to participate orally or through the chat.,How the English language works: students analyze a wide variety of English grammatical structures and learn how they vary across dialects and change through time.,"LIN204H5, LINB18H3",Exclusion:,Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,LEC9901,Thursday,09:00,11:00,—,"Bondoc, I.",0,280,Yes: 58 students,Online - Synchronous (See Delivery Instructions.),Activity,—,,,,,,,,,,
LIN,American Sign Language 1,LIN211H1-S,,,,"This course is an introductory language course for students with little or no prior knowledge of American Sign Language (ASL). It provides an immersive introduction to ASL, with a focus on basic vocabulary, grammar, conversation, and appropriate behaviours for everyday interactions in a variety of social situations. The language is taught through various immersive activities, such as lecture/discussion, interactive games, and situational conversations, supplemented with readings and videos. A significant emphasis throughout the course is placed on Deaf culture and issues facing the Deaf community.",,,,,,,Room,LEC5101,Tuesday,18:00,20:00,SS 2111,,0,25,Yes: 60 students,In Person,,—,https://map.utoronto.ca/?id=1809#!m/494510,,,,,,,,,
LIN,Phonetics,LIN228H1-F,,,,"Phonetics is a linguistics course that investigates the sounds most commonly used in languages from an articulatory and acoustic point of view, with practice in their recognition and production. Students will learn the International Phonetic Alphabet (IPA) and practice transcribing a wide variety of speech sounds.","LIN228H5, LINB09H3",Exclusion:,LIN101H1/LIN200H1,Recommended Preparation:,Humanities,Distribution Requirement:,Room,LEC0101,Thursday,16:00,18:00,SS 2117,"Kochetov, A.",67,175,Yes: 0 student,In Person,Activity,—,https://map.utoronto.ca/?id=1809#!m/494510,,,,,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,,
LIN,Sound Patterns in Language,LIN229H1-S,,,,"The nature and organization of phonological systems, with practical work in linguistic analysis.","LIN101H1, LIN228H1",Prerequisite:,"LIN229H5, LINB04H3",Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Wednesday,16:00,18:00,SS 2118,"Sanders, N.",30,140,Yes: 0 student,In Person,Activity,—,https://map.utoronto.ca/?id=1809#!m/494510,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",LINGUISTICS    Major (Faculty of Arts and Science),"Thought, Belief and Behaviour (2)",Breadth Requirement:,LINGUISTICS    Specialist (Faculty of Arts and Science),"LINGUISTICS    Major (John H. Daniels Faculty of Architecture, Landscape, & Design)","LINGUISTICS    Specialist (John H. Daniels Faculty of Architecture, Landscape, & Design)"
LIN,Syntactic Patterns in Language,LIN232H1-F,,,,The nature and organization of syntactic systems; their relation to semantic systems and the linguistic organization of discourse; practical work in linguistic analysis.,LIN102H1,Prerequisite:,"LIN232H5, LINB06H3",Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Wednesday,13:00,15:00,SS 2135,"Moulton, K.",62,140,Yes: 0 student,In Person,Activity,—,https://map.utoronto.ca/?id=1809#!m/494510,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",LINGUISTICS    Specialist (Faculty of Arts and Science),"Thought, Belief and Behaviour (2)",Breadth Requirement:,LINGUISTICS    Major (Faculty of Arts and Science),"LINGUISTICS    Major (John H. Daniels Faculty of Architecture, Landscape, & Design)","LINGUISTICS    Specialist (John H. Daniels Faculty of Architecture, Landscape, & Design)"
LIN,Introduction to Semantics,LIN241H1-S,,,,"An introduction to meaning within linguistics and the interpretation of language in context. Topics include logical and semantic relations, pragmatic concepts such as presupposition and implicature, the nature of thematic roles, quantifiers and scope relations, the expressions of temporal and modal relations in natural language.",LIN102H1,Prerequisite:,"LIN237H5, LIN247H5, LINC12H3, FREC12H3",Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Thursday,10:00,12:00,SS 2102,"Ippolito, M.",56,140,Yes: 0 student,In Person,Activity,—,https://map.utoronto.ca/?id=1809#!m/494510,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",LINGUISTICS    Major (Faculty of Arts and Science),"Thought, Belief and Behaviour (2)",Breadth Requirement:,LINGUISTICS    Specialist (Faculty of Arts and Science),"LINGUISTICS    Specialist (John H. Daniels Faculty of Architecture, Landscape, & Design)","LINGUISTICS    Major (John H. Daniels Faculty of Architecture, Landscape, & Design)"
LIN,Introduction to Sociolinguistics,LIN251H1-F,,,,"How does linguistic variation construct identity? Introduction to recent sociolinguistic literature on language contact, multilingualism, code-switching, expressions of ethnic solidarity and regional identity, sex and gender differentiation, dialect geography, sociophonetics, perceptual dialectology, diffusion of norms in mobile populations, documentation of variation in lesser studied languages, and changes across the life-span.","LIN101H1, LIN102H1",Prerequisite:,"LIN256H5, LINB20H3",Exclusion:,Social Science,Distribution Requirement:,Room,LEC5101,Monday,18:00,20:00,SS 2117,"Brook, M.",51,140,Yes: 0 student,In Person,Activity,—,https://map.utoronto.ca/?id=1809#!m/494510,,,,,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,,
JSP,Topics in Jewish Studies,CJS290H1-F,Timetable instructions,Note:,"Course details (course description, instructor) for CJS290H1-F “Topics in Jewish Studies: The Global Migration Crisis is Making "" will be posted on . Please continue to check  for up-to-date information as Fall 2021 nears.",An examination of issues in Jewish Studies. Content in any given year depends on instructor.,Humanities,Distribution Requirement:,Aliyah,,this webpage,,Room,LEC0101,Wednesday,16:00,18:00,UC 67,"Oron, O.",24,30,Yes: 0 student,In Person,Subtitle,,https://map.utoronto.ca/?id=1809#!m/494517,,,,,this webpage on the CJS website,,,,
JSP,Topics in Jewish Studies,CJS290H1-S,Timetable instructions,Note:,"Course details (course description, instructor) for CJS290H1-S “Topics in Jewish Studies: Angry God: The Bible and Violence"" will be posted on . Please continue to check  for up-to-date information as Winter/Spring 2022 nears.",An examination of issues in Jewish Studies. Content in any given year depends on instructor.,Humanities,Distribution Requirement:,,,this webpage,,Room,LEC0101,Monday,10:00,12:00,UC 53,"LEMOS, T.",2,6,Yes: 0 student,In Person,Subtitle,,https://map.utoronto.ca/?id=1809#!m/494517,,,,,this webpage on the CJS website,Exclusions: RLG239H1-S.,,,
LIN,Research Opportunity Program,LIN299Y1-Y,,,,Credit course for supervised participation in faculty research project. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-opportunities-program. Not eligible for CR/NCR option.,Social Science,Distribution Requirement:,,,,,,LEC0101,—,,,—,"Grigoroglou, M.",9999,9999,No,In Person,,,,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,
LMP,Research Opportunity Program,LMP299Y1-Y,Timetable instructions,Note:,"Enrolment for the Research Opportunity Program is done by Arts and Science. For more information, please see: http://www.artsci.utoronto.ca/current/focus/course/rop",Credit course for supervised participation in faculty research project. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-opportunities-program. Not eligible for CR/NCR option.,Science,Distribution Requirement:,,,,,,LEC0101,—,,,—,"Thu, K.",9998,9999,No,In Person,,,,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,
LMP,Introduction to the Biochemistry of Human Disease,LMP301H1-S,,Living Things and Their Environment (4),Breadth Requirement:,Introduces concepts and mechanisms of disease processes as they arise from disturbances of normal biochemical and physiological functions. The rational use of the clinical biochemistry laboratory in the diagnosis and management of disease is explained. Not intended for students in the Pathobiology Specialist program.,BCH210H1/BCH242Y1,Prerequisite:,LMP300Y1,Exclusion:,PSL201Y1/PSL300H1/PSL301H1,Recommended Preparation:,Room,LEC0101,Tuesday,12:00,13:00,MP 203,"Jung, B.",123,150,Yes: 0 student,In Person,,,https://map.utoronto.ca/?id=1809#!m/494490,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASSPE2340 SP PHARM & BIOMED TOXICOLOGY  - Year 3,Science,Distribution Requirement:,ASSPE2340 SP PHARM & BIOMED TOXICOLOGY  - Year 4,ASSPE2573 SP BIOMEDICAL TOXICOLOGY  - Year 3,ASSPE2573 SP BIOMEDICAL TOXICOLOGY  - Year 4
LIN,South American Indigenous Languages,LIN302H1-S,,,,"This course is an overview of linguistic diversity in South America, centred on Brazilian indigenous languages and peoples. Students will be introduced to current practices in the maintenance and revitalization of Brazilian indigenous languages and current strategies for empowering indigenous peoples (such as training indigenous filmmakers and music production). We will study aspects of the grammar of Brazilian languages through the analysis of small data sets, and we will discuss the influence of Brazilian indigenous languages on Brazilian Portuguese. Not offered every year.","(LIN101H1, LIN102H1)/LIN200H1/ANT253H1",Prerequisite:,"LIN303H1, PRT368H1",Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Wednesday,09:00,12:00,LA 341,"Oliveira de Lima, S.",24,40,Yes: 0 student,In Person,,,https://map.utoronto.ca/?id=1809#!m/494544,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",LINGUISTICS    Specialist (Faculty of Arts and Science),"Thought, Belief and Behaviour (2)",Breadth Requirement:,LINGUISTICS    Major (Faculty of Arts and Science),"LINGUISTICS    Specialist (John H. Daniels Faculty of Architecture, Landscape, & Design)","LINGUISTICS    Major (John H. Daniels Faculty of Architecture, Landscape, & Design)"
LIN,Central American Indigenous Languages,LIN303H1-F,,,,"This course is about indigenous languages of Central America, focusing on Mayan languages and culture. Students will be introduced to current movements in the maintenance and revitalization of indigenous languages and current strategies for empowering indigenous people (such as training indigenous linguists, music production in indigenous languages, and intercultural bilingual education). Students will also study grammatical features of indigenous languages through the analysis of small data sets, and discuss the contact between indigenous languages and Spanish. Not offered every year.","(LIN101H1, LIN102H1)/LIN200H1/ANT253H1",Prerequisite:,LIN302H1,Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Tuesday,15:00,18:00,SS 1070,"Mateo Pedro, P.",9,40,Yes: 0 student,In Person,,,https://map.utoronto.ca/?id=1809#!m/494510,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",LINGUISTICS    Major (Faculty of Arts and Science),"Thought, Belief and Behaviour (2)",Breadth Requirement:,LINGUISTICS    Specialist (Faculty of Arts and Science),"LINGUISTICS    Major (John H. Daniels Faculty of Architecture, Landscape, & Design)","LINGUISTICS    Specialist (John H. Daniels Faculty of Architecture, Landscape, & Design)"
LIN,Quantitative Methods in Linguistics,LIN305H1-S,,,,"Principles of research design, data collection, and a wide variety of statistical techniques for research in various subfields of linguistics.","LIN101H1, LIN102H1, 1.0 credit in LIN/JAL/JFL/JLP",Prerequisite:,"LIN318H5, LINB29H3",Exclusion:,Social Science,Distribution Requirement:,Room,LEC5101,Monday,18:00,20:00,SS 561,"Bondoc, I.",0,30,Yes: 5 students,In Person,,,https://map.utoronto.ca/?id=1809#!m/494510,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",LINGUISTICS    Major (Faculty of Arts and Science),"Thought, Belief and Behaviour (2)",Breadth Requirement:,LINGUISTICS    Specialist (Faculty of Arts and Science),"LINGUISTICS    Major (John H. Daniels Faculty of Architecture, Landscape, & Design)","LINGUISTICS    Specialist (John H. Daniels Faculty of Architecture, Landscape, & Design)"
LIN,Language Diversity and Language Universals,LIN306H1-F,,,,This linguistics course examines cross-linguistic typological features found in the languages of the world. Special attention is given to describing morphological and syntactic patterns found cross-linguistically. The goal of the course is to draw on the diversity of languages in order to uncover language universals. (Not offered every year),LIN232H1,Prerequisite:,"LIN476H5, LINC13H3",Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Wednesday,15:00,17:00,SS 1074,"Oliveira de Lima, S.",0,40,Yes: 0 student,In Person,,,https://map.utoronto.ca/?id=1809#!m/494510,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",LINGUISTICS    Major (Faculty of Arts and Science),"Thought, Belief and Behaviour (2)",Breadth Requirement:,LINGUISTICS    Specialist (Faculty of Arts and Science),"LINGUISTICS    Major (John H. Daniels Faculty of Architecture, Landscape, & Design)","LINGUISTICS    Specialist (John H. Daniels Faculty of Architecture, Landscape, & Design)"
LIN,Language Acquisition,JLP315H1-S,,,,"Infants’ abilities at birth, prelinguistic development, the first words, phonological, syntactic and semantic development. Social variables influencing language acquisition, bilingualism, models of development, language play. (Sponsored by the Departments of Linguistics and Psychology, but administered solely by the Dept. of Linguistics).",1.0 credit at the 200+ level in LIN/JAL/JUP/PSL/PSY/COG,Prerequisite:,"PSY315H5, PLIC24H3",Exclusion:,Science,Distribution Requirement:,Room,LEC0101,Wednesday,13:00,16:00,SS 2135,"Grigoroglou, M.",61,180,Yes: 0 student,In Person,,,https://map.utoronto.ca/?id=1809#!m/494510,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",LINGUISTICS    Major (Faculty of Arts and Science),"Thought, Belief and Behaviour (2)",Breadth Requirement:,LINGUISTICS    Specialist (Faculty of Arts and Science),"LINGUISTICS    Specialist (John H. Daniels Faculty of Architecture, Landscape, & Design)","LINGUISTICS    Major (John H. Daniels Faculty of Architecture, Landscape, & Design)"
LIN,Phonological Theory,LIN322H1-F,,,,Basic issues in current phonological theory. Problems focusing on analysis and theory. (Students who want to pursue graduate studies in linguistics are strongly advised to include this course in their program.),LIN229H1,Prerequisite:,"LIN322H5, LIN329H5, LINC02H3",Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Monday,13:00,14:00,SS 2127,"Rice, K.",8,35,Yes: 0 student,In Person,,,https://map.utoronto.ca/?id=1809#!m/494510,Restricted (R2),Enrolment Controls:,"This section is restricted to two groups of students. Group 1 is given priority access until July 28. There is no course enrolment on July 29. Beginning July 30, Group 2 can enrol in this section:",Group 1: ASSPE0506 SP LINGUISTICS,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Group 2: ASMAJ0506 MA LINGUISTICS,,
LIN,Acoustic Phonetics,LIN323H1-F,,,,"This linguistics course is an introduction to the acoustic phonetics of the vocal tract, including acoustic properties of speech and its analysis using instrumental techniques.","LIN101H1, LIN102H1, LIN228H1",Prerequisite:,LIN328H5,Exclusion:,Science,Distribution Requirement:,Room,LEC0101,Tuesday,09:00,11:00,SS 1070,"Chasin, M.",22,55,Yes: 0 student,In Person,,,https://map.utoronto.ca/?id=1809#!m/494510,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",LINGUISTICS    Major (Faculty of Arts and Science),The Physical and Mathematical Universes (5),Breadth Requirement:,LINGUISTICS    Specialist (Faculty of Arts and Science),"LINGUISTICS    Specialist (John H. Daniels Faculty of Architecture, Landscape, & Design)","LINGUISTICS    Major (John H. Daniels Faculty of Architecture, Landscape, & Design)"
LIN,Writing Systems,JAL328H1-S,,,,"Introduction to writing systems; their historical development, their relationship to language, and their role in culture and society. (Given by the Departments of Anthropology and Linguistics) (Not offered every year)",ANT100Y1/LIN101H1/LIN200H1,Prerequisite:,Social Science,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,LEC0101,Monday,10:00,13:00,RW 117,"Nara, K.",38,125,Yes: 0 student,In Person,,,https://map.utoronto.ca/?id=1809#!m/494515,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",LINGUISTICS    Major (Faculty of Arts and Science),,,LINGUISTICS    Specialist (Faculty of Arts and Science),"LINGUISTICS    Major (John H. Daniels Faculty of Architecture, Landscape, & Design)","LINGUISTICS    Specialist (John H. Daniels Faculty of Architecture, Landscape, & Design)"
