resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 3,extraTxt 5,extraTxt 6,extraTxt 10,extraTxt 11,extraTxt 12,extraTxt 13,extraTxt 14,extraTxt 15,extraTxt 16,headerSect 3,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,colInst,colInst 2,numCurr,numTot,numWait,onlineMeeting,legendControl 4,legendControl 5,enConDesc,enConList,enConList 2,enConList 3,enConList 4,enConList 5,headerSect 8,headerSect 9,headerSect 11,headerSect 12,headerSect 13,headerSect 14,colCode 2,weekDay 3,dayInfo 4,dayInfo 5,dayInfo 6,weekDay 4,colAvail 2,numCurr 2,numTot 2,numWait 2,onlineMeeting 2,enConList 6,weekDay 5,weekDay 6,enConList 7,enConList 8,enConList 9,enConList 10,alignC,weekDay href,weekDay href 2
CSB,Animal Physiology I,BIO270H1-F,Timetable instructions,Note:,"Laboratory enrolment can be done on ACORN until Thursday, September 9th. For late lab enrolment or lab changes, please email Nalini Dominique at nalini.dominique@utoronto.ca after this date.",,,,"Animal physiology is a biological sub-discipline that aims to understand, in physical and chemical terms, how animals work. This course uses examples from throughout the animal kingdom, in a comparative approach, to introduce and study homeostasis and the endocrine system. Accompanying laboratories reinforce concepts introduced in lectures and provide opportunities for students to experience firsthand the role that experimentation, data collection, interpretation of data, and communication of data plays in the nature of the scientific process. (Lab Materials Fee: $10). Lab coat and safety glasses are required for use in laboratories; students are responsible for purchasing these items (approximate cost is $25).",BIO130H1,Prerequisite:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,Wednesday,—,14:00,16:00,ES 1050,"Garside, C.",,50,300,Yes: 0 student,In Person,,,,,,,,,,,,,,,,RW 209,,,,RW 209,,,,,,,RW 209,RW 209,,,,,—,https://map.utoronto.ca/?id=1809#!m/494499,https://map.utoronto.ca/?id=1809#!m/494515
CSB,Animal Physiology II,BIO271H1-S,Timetable instructions,Note:,"<p>Laboratory enrolment can be done on ACORN until Monday, January 10th. For late lab enrolment or lab changes, please email Nalini Dominique at nalini.dominique@utoronto.ca after this date.</p>",,,,"Animal physiology is a biological sub-discipline that aims to understand, in physical and chemical terms, how animals work. This course uses examples from throughout the animal kingdom in a comparative approach to introduce and study the nervous and cardiorespiratory systems. Accompanying laboratories reinforce concepts introduced in lectures and provide opportunities for students to experience firsthand the role that experimentation, data collection, interpretation of data, and communication of data plays in the nature of the scientific process. (Lab Materials Fee: $10). Lab coat and safety glasses are required for use in laboratories; students are responsible for purchasing these items (approximate cost is $25).",BIO270H1,Prerequisite:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,Wednesday,—,14:00,16:00,SS 2117,"Chung, J.",,17,188,Yes: 0 student,In Person,,,,,,,,,,,,,,,,RW 209,,,,RW 209,,,,,,,RW 209,,,,,,—,https://map.utoronto.ca/?id=1809#!m/494510,https://map.utoronto.ca/?id=1809#!m/494515
BCH,Research Opportunity Program,BCH299Y1-Y,Timetable instructions,Note:,"Enrolment for the Research Opportunity Program is done by Arts and Science. For more information, please see: https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-opportunities-program",https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-opportunities-program,,,Credit course for supervised participation in faculty research project. Details at . Not eligible for CR/NCR option.,Science,Distribution Requirement:,,,,,,LEC0101,—,—,,,—,"Lee, W.",,9998,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,—,—,,,—,of  available,9999,9999,No,In Person,,—,—,,,,,—,,
CSB,Research Opportunity Program,CSB299Y1-Y,Timetable instructions,Note:,"Enrolment for the Research Opportunity Program is done by Arts and Science. For more information, please see:",https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-opportunities-program,,,Credit course for supervised participation in faculty research project. Details at . Not eligible for CR/NCR option.,Science,Distribution Requirement:,,,,,,LEC0101,,—,,,—,,,9999,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,,,,,,,,,,,,—,,,,,,,,,,,,,—,,
BCH,Biochemistry II: Nucleic Acids and Biological Information Flow,BCH311H1-S,Delivery instructions,Note:,"Lectures will be given as online videos delivered asynchronously. Students will have the opportunity for synchronous online tutorials to ask questions and clarifications about lecture content. Students should have the ability to use Quercus, Blackboard Collaborate, and Zoom.",,Living Things and Their Environment (4),Breadth Requirement:,"Nucleic acids and flow of information in biological systems. Information storage and transmission by nucleic acids, as well as new molecular technologies will be discussed. Registration in one of the tutorial sessions is mandatory. Note: Students that have a SDF in BCH210H1 are not permitted to enrol in BCH311H1 until a final passing grade (50%) appears on the transcript. BCH2** WITH COURSE EXCLUSION TO BCH210H1 meets the prerequisite requirement for BCH311H1.",BCH210H1/(BIOC12H3 and BIOC13H3 [UTSC]),Prerequisite:,"MGY311Y1, PSL350H1",Exclusion:,Science,Distribution Requirement:,Room,LEC9901,3.0 hours / week,,,,—,"Andreopoulos, S.",,60,600,Yes: 0 student,Asynchronous (See Delivery Instructions.),,,,,,,,,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,—,,,,—,of  available,36,300,No,Online - Synchronous (See Delivery Instructions.),,,Wednesday,,,,,—,,
CSB,Endocrine Physiology,CSB325H1-F,Timetable instructions,Note:,"<p>Tutorial enrolment can be done on ACORN until Wednesday, September 8th. For late lab enrolment or changes, please email Nalini Dominique at nalini.dominique@utoronto.ca .</p>",,Living Things and Their Environment (4),Breadth Requirement:,"The regulation of physiological processes by hormones and other signalling molecules in non-human chordates. An integrated genes-to-environment approach is used to examine aspects of hormonal evolution, physiological information flow, behaviour and neuroendocrinology, and xenobiotic endocrine disruptors.  Students will have the opportunity to research areas of their own interest via group interaction in a series of tutorial sessions.","BIO270H1, BIO271H1",Prerequisite:,"EEB266H1, EEB267H1",Recommended Preparation:,Science,Distribution Requirement:,Room,LEC0101,Tuesday,—,11:00,13:00,RW 117,"Chung, J.",,64,120,Yes: 0 student,In Person,,,,,,,,,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,,,,,,of  available,14,40,No,In Person,,,Wednesday,,,,,—,https://map.utoronto.ca/?id=1809#!m/494515,
CSB,Extracellular Matrix Dynamics and Associated Pathologies,CSB327H1-F,,,,,,,"Examines the expression, structure and function of the four major classes of ECM macromolecules: collagen, proteoglycans, non-collagenous structural proteins and glycoproteins. In addition to forming elaborate networks that give tissues and organs their unique architectural design and biomechanical properties, ECM molecules act as potent regulators of all cellular activities. Emphasis is placed on the morphoregulatory contribution(s) of ECM molecules to normal and pathological development.",BIO230H1/BIO255H1,Prerequisite:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,Monday,—,14:00,15:00,WI 1016,"Ringuette, M.",,45,156,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1003 MA CELL & MOLECULAR BIOLOGY,ASMAJ1003A MAJ MOLEC NETWORKS OF CELL,ASMAJ1003B MAJ PLANT GEN & BIOTECH,ASMAJ1003C MAJ STEM CELLS & DEV BIO,ASSPE1003 SP CELL & MOLECULAR BIOLOGY,,,,,,,,Wednesday,—,09:00,11:00,MP 103,,,,,,ASSPE1003A SPE MOLEC NETWORKS OF CELL,,,ASSPE1003B SPE PLANT GEN & BIOTECH,ASSPE1003C SPE STEM CELLS & DEV BIO,ASSPE1305 SP DEVELOPMENTAL BIOLOGY,,,https://map.utoronto.ca/?id=1809#!m/494503,https://map.utoronto.ca/?id=1809#!m/494490
CSB,Animal Developmental Biology,CSB328H1-F,,,,,,,"Basic concepts in developmental biology. Early development of invertebrates and vertebrates will be discussed with emphasis on experimental and molecular analysis of developmental mechanisms. Tutorials focus on the experimental analysis of embryonic development and regeneration, and discuss primary literature of selected topics in developmental biology. (Lab Materials Fee: $25). A lab coat and safety glasses are required for use in laboratories; students are responsible for purchasing these (approximate cost is $25).","BIO230H1/BIO255H1, BIO260H1/HMB265H1",Prerequisite:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,Monday,—,15:00,16:00,WI 1016,"Bruce, A.","Sarpal, R.",2,120,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1003 MA CELL & MOLECULAR BIOLOGY  - Year 3,ASMAJ1003A MAJ MOLEC NETWORKS OF CELL  - Year 3,ASMAJ1003B MAJ PLANT GEN & BIOTECH  - Year 3,ASMAJ1003C MAJ STEM CELLS & DEV BIO  - Year 3,ASMAJ1538 MA ANIMAL PHYSIOLOGY  - Year 3,,,,,,,,Thursday,—,15:00,16:00,WI 1016,,,,,,ASSPE1003 SP CELL & MOLECULAR BIOLOGY  - Year 3,,,ASSPE1003A SPE MOLEC NETWORKS OF CELL  - Year 3,ASSPE1003B SPE PLANT GEN & BIOTECH  - Year 3,ASSPE1003C SPE STEM CELLS & DEV BIO  - Year 3,ASSPE1305 SP DEVELOPMENTAL BIOLOGY  - Year 3,—,https://map.utoronto.ca/?id=1809#!m/494503,https://map.utoronto.ca/?id=1809#!m/494503
CSB,Stem Cell Biology: Developmental Models and Cell-based Therapeutics,CSB329H1-S,Timetable instructions,Note:,"Tutorial enrolment can be done on ACORN until Friday, January 7th. For late turorial enrolment or changes, please email Nalini Dominique at nalini.dominique@utoronto.ca.",,Living Things and Their Environment (4),Breadth Requirement:,"Stem cells provide the basis for cellular diversity in multicellular organisms and have enormous therapeutic potential in regenerative medicine. The course will introduce students to the differences and similarities between stem cells from different organisms, their roles throughout development and therapeutic potential.",BIO230H1,Prerequisite:,BIO260H1/HMB265H1,Recommended Preparation:,Science,Distribution Requirement:,Room,LEC0101,Monday,—,15:00,17:00,LM 159,"Mitchell, J.",,0,200,Yes: 11 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1003 MA CELL & MOLECULAR BIOLOGY,ASMAJ1003A MAJ MOLEC NETWORKS OF CELL,ASMAJ1003B MAJ PLANT GEN & BIOTECH,ASMAJ1003C MAJ STEM CELLS & DEV BIO,ASMAJ1538 MA ANIMAL PHYSIOLOGY,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,,,,,,of  available,3,32,No,In Person,ASMAJ2655 MA GENOME BIOLOGY,,Tuesday,ASSPE1003 SP CELL & MOLECULAR BIOLOGY,ASSPE1003A SPE MOLEC NETWORKS OF CELL,ASSPE1003B SPE PLANT GEN & BIOTECH,ASSPE1003C SPE STEM CELLS & DEV BIO,—,https://map.utoronto.ca/?id=1809#!m/494502,
CSB,Special Project in Bioinformatics and Computational Biology,BCB330Y1-Y,Timetable instructions,Note:,"For more information about these courses, please visit: https://bcb.csb.utoronto.ca/. To enrol in these courses, please send an email with your student ID  to m.casco@utoronto.ca.",along with the completed registration form (available on the BCB website),,,An opportunity for specialized individual research in bioinformatics and computational biology by arrangement with a supervisor. Approval of the application by the BCB coordinator is required.  Not eligible for CR/NCR option.,Permission of the course coordinator (application required). Significant background in both life science and computer science courses is required.,Prerequisite:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,,LEC0101,,—,,,—,,,9980,9999,No,In Person (See Delivery Instructions.),Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,,,,,,,,,,,,—,,,,,,,,,,,,,—,,
CSB,Techniques in Molecular and Cell Biology,CSB330H1-S,,,,,Living Things and Their Environment (4),Breadth Requirement:,"Laboratory course on molecular and cell biology research techniques used to study genes and proteins. Topics include plasmid cloning, PCR, bioinformatics, gene expression analyses, protein-protein interactions, and protein subcellular localization. (Lab Materials Fee: $50). A lab coat and safety glasses are required for use in laboratories; students are responsible for purchasing these (approximate cost is $25).","BIO230H1/BIO255H1, BIO260H1/HMB265H1",Prerequisite:,BCH311H1/CSB349H1/MGY311Y1 taken concurrently,Recommended Preparation:,Science,Distribution Requirement:,Room,LEC0101,Monday,—,11:00,13:00,RW 140,"Saltzman, A.",,0,48,Yes: 27 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1003 MA CELL & MOLECULAR BIOLOGY  - Year 3,ASMAJ1003A MAJ MOLEC NETWORKS OF CELL  - Year 3,ASMAJ1003B MAJ PLANT GEN & BIOTECH  - Year 3,ASMAJ1003C MAJ STEM CELLS & DEV BIO  - Year 3,ASMAJ2655 MA GENOME BIOLOGY  - Year 3,,,,,,,,,,,,,,,,,,ASSPE1003 SP CELL & MOLECULAR BIOLOGY  - Year 3,,,ASSPE1003A SPE MOLEC NETWORKS OF CELL  - Year 3,ASSPE1003B SPE PLANT GEN & BIOTECH  - Year 3,ASSPE1003C SPE STEM CELLS & DEV BIO  - Year 3,ASSPE1305 SP DEVELOPMENTAL BIOLOGY  - Year 3,—,https://map.utoronto.ca/?id=1809#!m/494515,
