resultDept,pbot15,hiCC,extraTxt 2,extraTxt 3,extraTxt 4,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,headerSect 3,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,dayInfo 4,dayInfo 5,dayInfo 6,weekDay 5,weekDay href,weekDay 6,weekDay href 2,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,alignC,extraTxt 9,extraTxt 10,legendControl 2,extraTxt 11,extraTxt 12,legendControl 4,legendControl 5,enConDesc,enConList,enConList 2
CLAS,Introduction to Classical Studies,CLA160H1-F,"An introduction to major themes in the development of Greek and Roman civilization, literature and culture.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,Room,LEC0101,Monday,—,11:00,13:00,Wednesday,—,11:00,13:00,BR 200,https://map.utoronto.ca/?id=1809#!m/494595,MP 202,https://map.utoronto.ca/?id=1809#!m/494490,"Lougheed, C.",of  available,31,196,Yes: 0 student,In Person (See Delivery Instructions.),,,,Delivery instructions,Note:,"In-person lectures will be live-streamed (for synchronous online viewing) and recordings will be posted to view asynchronously.  Tutorials are in-person, except for the two online-synchronous sections (TUT0302 and TUT0402).",,,,,
CLAS,Introduction to Classical Studies,CLA160H1-S,"An introduction to major themes in the development of Greek and Roman civilization, literature and culture.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,Room,LEC0101,Tuesday,—,13:00,15:00,Thursday,—,13:00,15:00,AH 400,https://map.utoronto.ca/?id=1809#!m/494578,AH 400,https://map.utoronto.ca/?id=1809#!m/494578,"Wohl, V.",of  available,57,198,Yes: 0 student,In Person,,,,,,,,,,,
CHM,Science and Human Values,CHM194H1-S,"There is a tension between creativity and the search for truth, which in science can be looking for patterns in nature. With examples drawn particularly from reports of scientific discoveries that have generated controversy, this seminar course will introduce the underlying principles and history of science, as well as how science and its boundaries are evolving, and how these influence human values. Restricted to first-year students. Not available for CR/NCR option.",None,Prerequisite:,None,Corequisite:,Minimum level of high school science and mathematics,Recommended Preparation:,Room,LEC0101,Monday,—,10:00,12:00,,,,,LM 157,https://map.utoronto.ca/?id=1809#!m/494502,,,"Walker, G.",of  available,1,30,No,In Person,,Science,Distribution Requirement:,,,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),
CHM,The Quantum World and Its Classical Limit,CHM196H1-S,"This course seeks to demystify quantum mechanics and equip students to critically analyze popular depictions of quantum phenomena. While quantum mechanics provides a reliable description of the behavior of atoms, molecules and photons, most people are uncomfortable with some of its predictions, such as ""quantum entanglement"" between distant particles. In this course we will delve into key aspects of quantum mechanics and its more comfortable classical limit, focusing first on its manifestations in nature and then on fundamental issues such as uncertainty, interference, entanglement, and decoherence. This course will appeal to students with enthusiasm for physics. Restricted to first-year students. Not eligible for CR/NCR option.",High school physics and mathematics,Recommended Preparation:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,Room,LEC0101,Wednesday,—,16:00,18:00,,,,,LM 155,https://map.utoronto.ca/?id=1809#!m/494502,,,"Brumer, P.",of  available,0,30,No,In Person (See Delivery Instructions.),,,,Delivery instructions,Note:,Lectures will be delivered online per the meeting schedule and recorded. Students will require the ability to use videoconferencing software through a web browser.,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),
CINE,Story Worlds and the Cinema,CIN196H1-F,"Films create story worlds, imaginary environments in which characters live and act, and where events, large and small, transpire. Some story worlds are elaborate, fanciful constructs (think of Disney’s animated films). Others stay close to reality (think of “docudramas”). But across the spectrum, all of them are framed by and provided with rules of time and space, of believable or impossible. This course offers an examination of selected story worlds from several periods of film history. Emphasis falls on the expansive story worlds of contemporary corporately-run media-franchise “universes,” like the cross-media “DC Universe.” Restricted to first-year students. Not eligible for CR/NCR option.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,Room,LEC0101,,,,,,,,,,,,,,,,,,,—,,,Delivery instructions,Note:,Seminar style course to be offered in person.,,,,,
CLAS,Homer's Odyssey down through Time,CLA196H1-F,"This course will survey creative works inspired by Homer’s . First we will read through the , contextualizing the Homeric epic within the larger story of the Trojan War and the subsequent heroic return in the ""Epic Cycle."" Then we will study various ""receptions"" of the , ancient and modern. Ancient works will include the satyr play  by Euripides and portrayals of a love-sick Cyclops in Theocritus and Ovid. In  Lucian calls Odysseus a liar but rivals his travel tale with episodes placed on the moon and inside a whale. Modern works include Atwood’s , Walcott’s stage version of the , and the film “O Brother, Where Art Thou?” Themes will include travel literature, truth and lying, localization of the wanderings of Odysseus, culture clash, and the definition of home. All this material, various in date, media, and fidelity to their Homeric source, will provide us with a well-rounded sense of how the  has been re-imagined over the ages. Restricted to first-year students. Not eligible for CR/NCR option.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Odyssey,Odyssey,Room,LEC0101,Tuesday,—,10:00,12:00,,,,,NF 009,https://map.utoronto.ca/?id=1809#!m/494600,,,"Burgess, J.",of  available,0,20,Yes: 0 student,In Person,,Cyclops,Odyssey,,True Story,Penelopiad,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),
CHM,Environmental Chemistry in a Sustainable World,CHM197H1-F,"Rapid and widespread industrialization is changing the chemical nature of the planet. In order to have a sustainable future, we need to manage chemicals released by humankind, and to understand their effects on the environment and on us. Each year, this seminar course will address the fundamental science behind a specific topic in this field, such as the interactions of our energy choices and the environment, changes in water and air quality, or exposure to biologically-active synthetic chemicals such as pharmaceuticals or personal care products. Restricted to first-year students. Not eligible for CR/NCR option.",Minimum level of high school science and mathematics,Recommended Preparation:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,Room,LEC0101,Thursday,—,10:00,12:00,,,,,LM 155,https://map.utoronto.ca/?id=1809#!m/494502,,,"Abbatt, J.",of  available,6,30,No,In Person,,,,,,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),
CLAS,Death and Immortality in Ancient Thought,CLA197H1-F,"It seems natural for us to love life and hate death -- to long, therefore, for immortality. But  human beings in any way immortal? If so, where do we go — is there an 'afterlife'? Are our souls reincarnated? And are we really right to fear death, or is this somehow childish? What  death, and what exactly is it that we are so afraid of: the pain of dying, loss of the pleasures of life, non-existence? We will read a series of ancient texts which engage with these questions: the Mesopotamian epic , Homer’s , Euripides’ play , Plato’s , and  by the Roman poet Lucretius. All are great works with many dimensions; while focusing on our themes we will try to make the most of what they have to offer. The course is designed for students to get practice at several important skills: close reading of complex texts, analysis of philosophical arguments, oral discussion, and essay-writing. Restricted to first-year students. Not eligible for CR/NCR option.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,is,Gilgamesh,Room,LEC0101,Thursday,—,14:00,16:00,,,,,NF 006,https://map.utoronto.ca/?id=1809#!m/494600,,,"Barney, R.",of  available,1,20,Yes: 0 student,In Person,,Odyssey,are,,Alcestis,Phaedo,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),
CHM,Biosensor Technology and Applications for the Non-Scientist,CHM198H1-S,"This breadth course introduces uses of and key ideas behind biosensor technology. Sensors will be familiar to all, playing key roles in our everyday lives, for example in touch screens or in automotive technology. Biosensor devices are fabricated from an electrical transducer which is intimately connected to a biochemical probe such as an enzyme or antibody. The idea is that a detectable electrical signal can be obtained when a target molecule or ion binds to the probe. Such a device offers many applications. These range from the detection of biological markers in blood and serum to test for genetic and infectious disease, to the selective monitoring of biomolecules for public safety, or in biotechnology or other industrial processes. Restricted to first-year students. Not eligible for CR/NCR option.",Reading of book chapter on biosensor technology,Recommended Preparation:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,Room,LEC0101,Tuesday,—,10:00,12:00,,,,,MP 118,https://map.utoronto.ca/?id=1809#!m/494490,,,"Thompson, M.",of  available,23,30,No,In Person,,,,,,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),
CLAS,Julius Caesar,CLA198H1-S,"Gaius Julius Caesar (100 – 44 BC) was a writer, an orator, a reformer, and a builder, as well as a general, a conqueror, an explorer, and a dictator. After his death, he was even worshipped as a god with a temple in the very heart of Rome. According to his critics, both ancient and modern, he was also a megalomaniac, an enemy of the state, a war criminal, and a tyrant. Only a very few individuals have left such an extensive and controversial mark on the history of the ancient world. We shall consider as many aspects of his life and his legacy as we can, from his conquest of Gaul to his decision to plunge Rome into a horrific civil war, from his love-affair with Queen Cleopatra of Egypt to his brutal assassination on the Ides of March. Restricted to first-year students. Not eligible for CR/NCR option.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,Room,LEC0101,Monday,—,13:00,15:00,,,,,NF 009,https://map.utoronto.ca/?id=1809#!m/494600,,,"Dewar, M.",of  available,0,20,Yes: 10 students,In Person,,,,,,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),
CLAS,"Loss, Losing, Losers",CLA199H1-S,We will explore the theme of loss in Greco-Roman antiquity. We will also consider this material in light of modern conceptions about the same theme.,"This course offers the other side of a more familiar coin, namely stories of success, triumph, power, strength, and celebration. We will investigate various major strands of loss. These tend to involve either personal loss or public loss, or perhaps both. Defeat in battle and loss of political office are examples of key areas where the public discourse of loss lingers. But the sack of a city meant the enslavement of the defeated and political failure can result in exile. The public stakes are also very personal. People can lose family members to war, disease or misfortune. What does one tell oneself or say to others at such a juncture? The lover can lose his or her beloved: again, what sorts of things get said at such moments?",Distribution Requirement:,"In short we will be examining moments where there is a potential crisis of identity whether civic or personal. What stories do they tell themselves about their own vulnerability, about their setbacks? What new aspects of the self emerge in the light of loss? Which old qualities are consolidated or reaffirmed? And how do these stories of loss relate to our own? Restricted to first-year students. Not eligible for CR/NCR option.",Breadth Requirement:,Humanities,,Room,LEC0101,Wednesday,—,10:00,12:00,,,,,NF 008,https://map.utoronto.ca/?id=1809#!m/494600,,,"Gunderson, E.",of  available,0,20,Yes: 7 students,In Person,,Creative and Cultural Representations (1),,,,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),
CINE,Film Cultures I: Art and Industry,CIN201Y1-Y,"Examines the practices, theories, and debates surrounding the emergence of cinema through to the development of studio system filmmaking in the first half of the 20th Century. Topics include: film's relation to the other arts, formalist and realist traditions, technological innovations, audiences and reception, and cultural industries.",CIN105Y1,Prerequisite:,"INI212Y1, INI215Y1",Exclusion:,Humanities,Distribution Requirement:,,LEC0101,Tuesday,—,13:00,14:00,Wednesday,—,15:00,18:00,,https://map.utoronto.ca/?id=1809#!m/494541,,https://map.utoronto.ca/?id=1809#!m/494541,"Keil, C.",of  available,0,160,Yes: 0 student,In Person (See Delivery Instructions.),,"Creative and Cultural Representations (1), Thought, Belief and Behaviour (2)",Breadth Requirement:,Delivery instructions,Note:,"Lectures and screenings are delivered in person. Tutorials are delivered online synchronously, as per the meeting schedule. It is recommended that students have a computer with a microphone and camera in order to participate in online activities.",,,,,
CLAS,Latin & Greek in Scientific Terminology,CLA201H1-S,"The study of technical and scientific terms derived from Latin and Greek: word elements, formation, analysis. The course is designed to give students in any field of specialization a better grasp of the derivation and basic meaning of English words derived from Latin and Greek elements.",Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,,Room,LEC0101,Monday,—,14:00,15:00,Wednesday,—,14:00,15:00,BR 200,https://map.utoronto.ca/?id=1809#!m/494595,BR 200,https://map.utoronto.ca/?id=1809#!m/494595,"Traill, J.",of  available,125,200,Yes: 0 student,In Person,,,,,,,,,,,
CLAS,Intermediate Ancient Greek I,GRK201H1-F,Reading of selections of Ancient Greek prose works with systematic language study.,"GRK100Y1/GRK102H1. Grade 12 in Ancient Greek may be accepted, but students should consult the Undergraduate Coordinator before enrolling.",Prerequisite:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Monday,—,09:00,11:00,Tuesday,—,09:00,11:00,NF 004,https://map.utoronto.ca/?id=1809#!m/494600,NF 004,https://map.utoronto.ca/?id=1809#!m/494600,"Fuller, E.",of  available,26,40,Yes: 0 student,In Person,,,,,,,,,,,
CLAS,Intermediate Latin I,LAT201H1-F,Reading of selections of Latin prose works with systematic language study.,"LAT100Y1/LAT102H1. Grade 12 in Latin may be accepted, but students should consult the Undergraduate Coordinator before enrolling.",Prerequisite:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Tuesday,—,12:00,14:00,Thursday,—,12:00,14:00,FE 135,https://map.utoronto.ca/?id=1809#!m/494550,FE 135,https://map.utoronto.ca/?id=1809#!m/494550,"Parker, E.",of  available,22,40,Yes: 0 student,In Person,,,,,,,,,,,
CLAS,Intermediate Ancient Greek II,GRK202H1-S,Continued language training with readings in Ancient Greek prose and verse.,GRK201H1,Prerequisite:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Tuesday,—,09:00,11:00,Thursday,—,09:00,11:00,NF 205,https://map.utoronto.ca/?id=1809#!m/494600,NF 205,https://map.utoronto.ca/?id=1809#!m/494600,"Burgess, J.",of  available,10,20,Yes: 0 student,In Person,,,,,,,,,,,
CLAS,Intermediate Latin II,LAT202H1-S,Continued language training with readings in Latin prose and verse.,LAT201H1,Prerequisite:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Monday,—,13:00,15:00,Wednesday,—,13:00,15:00,CR 103,https://map.utoronto.ca/?id=1809#!m/494580,CR 103,https://map.utoronto.ca/?id=1809#!m/494580,,of  available,24,40,Yes: 0 student,In Person,—,,,,,,,,,,
CLAS,Science in Antiquity,CLA203H1-S,"The first scientific traditions in the classical Mediterranean and the Near East, with emphasis on Greek science. Discussions of early physical science, biology, mathematics, and astronomy, and their place in ancient life and thought, based on primary sources in translation. Designed for students in both the sciences and humanities.",Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,,Room,LEC5101,Tuesday,—,17:00,20:00,,,,,BR 200,https://map.utoronto.ca/?id=1809#!m/494595,,,"Gerbasi, J.",of  available,204,250,Yes: 0 student,In Person,,,,,,,,,,,
CLAS,Introduction to Classical Mythology,CLA204H1-F,A survey of the myths and legends of ancient Greece (and their extension to Rome) with some consideration of their role in ancient and modern literature and art.,Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,,Room,LEC0101,Tuesday,—,10:00,12:00,Thursday,—,10:00,12:00,—,,—,,"Watton, M.",of  available,0,260,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),,,,Delivery instructions,Note:,This class will be taught for asynchronous participation online. (Students who would prefer in-person teaching should enrol in LEC0101 / 2001.),Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,(Faculty of Applied Science & Engineering),
CLAS,Introduction to Classical Mythology,CLA204H1-S,A survey of the myths and legends of ancient Greece (and their extension to Rome) with some consideration of their role in ancient and modern literature and art.,Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,,Room,LEC2501,Tuesday,—,17:00,20:00,Tuesday,—,17:00,20:00,NF 003,https://map.utoronto.ca/?id=1809#!m/494600,NF 003,https://map.utoronto.ca/?id=1809#!m/494600,"Sutton, D.",of  available,0,60,Yes: 0 student,In Person,,,,,,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,(Faculty of Applied Science & Engineering),
CHM,Science of the Modern Kitchen,CHM209H1-S,"The properties of different food types will be discussed, as well as how they can be manipulated in the kitchen to transform taste and texture. Concepts will be considered through the lens of the scientific method, and many of the ingredients and practices of modernist cuisine will be examined. This course is intended for students with no science background.",None,Prerequisite:,None,Corequisite:,CHM135H1/CHM136H1/CHM138H1/CHM139H1/CHM151Y1,Exclusion:,Room,LEC0101,Wednesday,—,13:00,15:00,,,,,LM 158,https://map.utoronto.ca/?id=1809#!m/494502,,,,of  available,0,98,Yes: 0 student,In Person,—,SCH4U,Recommended Preparation:,,The Physical and Mathematical Universes (5),Breadth Requirement:,,,,,
CHM,Chemistry of Environmental Change,CHM210H1-F,"Examines the fundamental chemical processes of the Earth’s natural environment, and changes induced by human activity. Topics related to the atmosphere: urban air pollution, stratospheric ozone depletion, acid rain, climate change; the hydrosphere: water resources and pollution, wastewater analysis; biogeochemistry and inorganic metals in the environment.",(CHM135H1/CHM139H1/CHM151Y1); (MAT135H1/MAT137Y1/MAT157Y1),Prerequisite:,ENV235Y1,Exclusion:,Science,Distribution Requirement:,Room,LEC0101,Tuesday,—,14:00,15:00,Thursday,—,14:00,15:00,LM 161,https://map.utoronto.ca/?id=1809#!m/494502,LM 161,https://map.utoronto.ca/?id=1809#!m/494502,"Murphy, J.",of  available,10,90,Yes: 0 student,In Person,,The Physical and Mathematical Universes (5),Breadth Requirement:,,,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",School of Environment    (Faculty of Arts and Science),"School of Environment    (John H. Daniels Faculty of Architecture, Landscape, & Design)"
