resultDept,pbot15,hiCC,extraTxt,extraTxt 6,extraTxt 7,extraTxt 8,extraTxt 9,extraTxt 10,extraTxt 11,extraTxt 12,headerSect 3,colCode,weekDay,weekDay 2,colInst,numCurr,numTot,numWait,onlineMeeting,legendControl 3,legendControl 4,enConDesc,enConList,enConList 2,enConList 3,enConList 4,headerSect 8,alignC,dayInfo 20,dayInfo 21,weekDay href 7,extraTxt 13,extraTxt 14,extraTxt 15,extraTxt 16,colTitle
SOC,Introduction to Quantitative Methods in Sociology,SOC202H1-S,Note:,Introduction in quantitative social science research from descriptive statistics to hypothesis testing using various strategies for the analysis of bivariate relationships. Restricted to sociology majors and specialists.,SOC100H1+ SOC150H1,Prerequisite:,"SOC200Y5, SOC222H5, ECO220Y1, ECO227Y1, GGR270H1, PSY201H1, STA220H1, STA248H1, POL222H1, POL232H1, POL242Y1, POL322H1, STA288H1",Exclusion:,SOC150H1,Recommended Preparation:,Room,LEC0101,Tuesday,SS 2127,"Horowitz, J.",24,70,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY,ASSPE1013 SP SOCIOLOGY,ASSPE1536 SP IND REL & HUM RES,ASSPE2085 SP HEALTH STUDIES,,—,10:00,12:00,https://map.utoronto.ca/?id=1809#!m/494510,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,
SOC,Introduction to Qualitative Methods in Sociology,SOC204H1-F,Note:,"Introduction to the methods and issues of qualitative research, the theories, methods for data collection and analysis, and the personal and ethical issues relating to qualitative research. Restricted to sociology majors and specialists.",SOC100H1+ SOC150H1,Prerequisite:,"SOC302H1, SOCC23H3, SOC387H5",Exclusion:,SOC150H1,Recommended Preparation:,Room,LEC0101,Monday,SS 1073,"Shams, T.",41,100,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY,ASSPE1013 SP SOCIOLOGY,ASSPE1536 SP IND REL & HUM RES,ASSPE2085 SP HEALTH STUDIES,Activity,—,16:00,18:00,https://map.utoronto.ca/?id=1809#!m/494510,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,
SOC,Introduction to Qualitative Methods in Sociology,SOC204H1-S,,"Introduction to the methods and issues of qualitative research, the theories, methods for data collection and analysis, and the personal and ethical issues relating to qualitative research. Restricted to sociology majors and specialists.",SOC100H1+ SOC150H1,Prerequisite:,"SOC302H1, SOCC23H3, SOC387H5",Exclusion:,SOC150H1,Recommended Preparation:,Room,LEC0101,Monday,SS 1070,"Shams, T.",0,70,Yes: 8 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY,ASSPE1013 SP SOCIOLOGY,ASSPE1536 SP IND REL & HUM RES,ASSPE2085 SP HEALTH STUDIES,,—,12:00,14:00,https://map.utoronto.ca/?id=1809#!m/494510,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,
SOC,Urban Sociology,SOC205H1-F,,"This course reviews theories of urban genesis and urban form; the interrelationship of urbanization, industrialization and modernization, issues in urban living (housing, transportation, urban-renewal, poverty, unemployment, etc.); urban social networks (ethnic and cultural heterogeneity, neighbourhood, community and other voluntary associations).",SOC100H1,Prerequisite:,SOC150H1,Recommended Preparation:,Social Science,Distribution Requirement:,Room,LEC0101,Wednesday,SS 2102,"Berry, B.",4,130,Yes: 0 student,In Person,,,,,,,,,,12:00,14:00,https://map.utoronto.ca/?id=1809#!m/494510,Society and its Institutions (3),Breadth Requirement:,,,
SOC,Sociology of Work & Occupations,SOC207H1-S,,"The nature and meaning of work in relation to changes in the position of the professions, unions and government, of women and minority groups, and in industrial societies more generally. Career choice and strategies, occupational mobility, and individual satisfaction at work.",SOC100H1,Prerequisite:,SOC227H5,Exclusion:,SOC150H1,Recommended Preparation:,Room,LEC0101,Tuesday,RW 110,"Alegria, S.",28,130,Yes: 0 student,In Person,,,,,,,,,,12:00,14:00,https://map.utoronto.ca/?id=1809#!m/494515,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,
SOC,Introduction to Social Policy,SOC208H1-S,,"This course introduces students to the concepts, history and development of social policy in economically developed welfare states. It examines the problems and concepts of the policy process, exploring the political, economic, and institutional frameworks that structure public choices about social policy in Canada, and compare systems of social policy around the world.",SOC100H1,Prerequisite:,"SOC297H1 (New Topics in Sociology: Introduction to Social Policy), offered in Winter 2017, SOC240H5",Exclusion:,SOC150H1,Recommended Preparation:,Room,LEC0101,Monday,SS 2117,"Pernell-Gallagher, K.",48,130,Yes: 0 student,In Person,,,,,,,,,,10:00,12:00,https://map.utoronto.ca/?id=1809#!m/494510,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,
SOC,Sexuality and Modernity,SOC209H1-S,,"This course examines questions related to sexuality, with a special focus on the social construction of sexual identity, practice, community and desire. To do so, we proceed self consciously with a critical analysis of the modern study of sexuality, and the ways in which sexual science, as a kind of social practice, has affected the construction and regulation of sexual orientation.",SOC100H1,Prerequisite:,"SOC395H1 (taken in Winter 2015, Winter 2016);  SOC387H1 (taken in Fall 2016, Fall 2017); SOC386H1 (taken in Winter 2018)",Exclusion:,SOC150H1,Recommended Preparation:,Room,LEC0101,Tuesday,SS 2117,"Green, A.",14,130,Yes: 0 student,In Person,,,,,,,,,,16:00,18:00,https://map.utoronto.ca/?id=1809#!m/494510,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,
SOC,Sociology of Race and Ethnicity,SOC210H1-F,,The course explores the concepts of race and ethnicity and major theories to understand race and ethnic relations.,SOC100H1,Prerequisite:,SOC210Y1,Exclusion:,SOC150H1,Recommended Preparation:,Room,LEC0101,Monday,AH 100,"Shams, T.",44,130,Yes: 0 student,In Person,,,,,,,,,,12:00,14:00,https://map.utoronto.ca/?id=1809#!m/494578,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,
SOC,Sociology of Crime & Deviance,SOC212H1-F,,This course provides an overview of the study of crime and deviance. We critically examine how scholars have gone about studying crime and deviance (the methods they use and the statistics they employ) as well as the major sociological explanations for crime and deviance. We also consider the empirical evidence as it relates to the validity of these explanations and some of the policy fallout from different theoretical approaches.,SOC100H1,Prerequisite:,SOC211H5,Exclusion:,SOC150H1,Recommended Preparation:,Room,LEC5101,Wednesday,SS 2118,"Jeffers, S.",3,130,Yes: 0 student,In Person,,,,,,,,,,18:00,20:00,https://map.utoronto.ca/?id=1809#!m/494510,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,
SOC,Sociology of Crime & Deviance,SOC212H1-S,,This course provides an overview of the study of crime and deviance. We critically examine how scholars have gone about studying crime and deviance (the methods they use and the statistics they employ) as well as the major sociological explanations for crime and deviance. We also consider the empirical evidence as it relates to the validity of these explanations and some of the policy fallout from different theoretical approaches.,SOC100H1,Prerequisite:,SOC211H5,Exclusion:,SOC150H1,Recommended Preparation:,Room,LEC0101,Friday,SS 2118,"Jeffers, S.",0,130,Yes: 39 students,In Person,,,,,,,,,,10:00,12:00,https://map.utoronto.ca/?id=1809#!m/494510,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,
SOC,Sociology of the Family,SOC214H1-F,,"This course examines diverse family patterns, to show the economic, political and cultural factors that influence families. A brief social history of family paves the way for an examination of the various family patterns common in Canada today. Special attention is paid to the gender relations at the heart of family.",SOC100H1,Prerequisite:,SOCB49H3; SOC244H5,Exclusion:,SOC150H1,Recommended Preparation:,Room,LEC0101,Monday,AH 100,"Beglaubter, J.",37,130,Yes: 0 student,In Person,,,,,,,,,,14:00,16:00,https://map.utoronto.ca/?id=1809#!m/494578,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,
SOC,Social Stratification,SOC220H1-F,,"This course is concerned with the causes and consequences of economic inequality. More specifically, it explores how achieved and ascribed characteristics are related to social class and related economic outcomes. Although some of the material will be comparative and pertain to modern Democracies generally, emphasis will be on Canadian society.",SOC100H1,Prerequisite:,SOC150H1,Recommended Preparation:,Social Science,Distribution Requirement:,Room,LEC0101,Thursday,EM 001,"Horowitz, J.",95,130,Yes: 0 student,In Person,,,,,,,,,,10:00,12:00,https://map.utoronto.ca/?id=1809#!m/494463,Society and its Institutions (3),Breadth Requirement:,,,
SOC,Sociology of Law,SOC240H1-F,,"This course asks students to think critically about the role of law in society, and to develop a sociological understanding of law and legal institutions. The course will include theoretical approaches to understanding the role of law and legal authority, and the constitutive ways in which law affects, shapes, and is negotiated in everyday life. In addition, attention will be paid to the legal profession, including empirical research on lawyers, legal careers, and their relationship to fields of practice, with an emphasis on the relationship between the structure of the legal profession and law as a democratic institution.",SOC100H1,Prerequisite:,"SOC293H1 (Topics: Sociology of Law), offered in Summer 2018, Winter 2019, Summer 2019, SOC396H1 (Topics: Sociology of Law), offered in Winter 2013",Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Tuesday,SS 2102,"Dinovitzer, R.",5,130,Yes: 0 student,In Person,,,,,,,,,,12:00,14:00,https://map.utoronto.ca/?id=1809#!m/494510,Society and its Institutions (3),Breadth Requirement:,,,
SOC,Sociology of Health and Illness,SOC243H1-S,,"This course examines (1) the social causes of illness and disease, (2) the experience of illness, and social processes that shape both of these issues, including medicalization. It focuses on population health, the relation between agency and structure, and macro-micro connections. Professional health care is discussed to the extent that it provides context for analyses of illness patterns and experiences.",SOC100H1,Prerequisite:,SOC239H5,Exclusion:,SOC150H1,Recommended Preparation:,Room,LEC0101,Thursday,RW 117,"Magee, W.",83,130,Yes: 0 student,In Person,,,,,,,,,,12:00,14:00,https://map.utoronto.ca/?id=1809#!m/494515,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,
SOC,Sociology of Migration,SOC249H1-S,,"This course examines contemporary migration flows, types and causes of migration, theories of migration, immigration policies, and migrant integration with emphasis on Canada.",SOC100H1,Prerequisite:,SOC307Y1,Exclusion:,SOC150H1,Recommended Preparation:,Room,LEC0101,Monday,MS 2170,"Tanaka, Y.",91,130,Yes: 0 student,In Person,,,,,,,,,,12:00,14:00,https://map.utoronto.ca/?id=1809#!m/494491,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,
SOC,Contemporary Sociological Theory,SOC251H1-F,,"A selective introduction to major contemporary thinkers and approaches whose ideas have achieved wide influence, as well as an on-going inquiry into the nature and role of sociological analysis. Restricted to sociology majors and specialists.",SOC201H1 or SOC203H1,Prerequisite:,SOC376H1; SOC232H5,Exclusion:,SOC150H1,Recommended Preparation:,Room,LEC0101,Wednesday,GB 303,"Parker, S.",0,56,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY,ASSPE1013 SP SOCIOLOGY,ASSPE1536 SP IND REL & HUM RES,ASSPE2085 SP HEALTH STUDIES,,,14:00,17:00,https://map.utoronto.ca/?id=1809#!m/494473,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,
SOC,Contemporary Sociological Theory,SOC251H1-S,,"A selective introduction to major contemporary thinkers and approaches whose ideas have achieved wide influence, as well as an on-going inquiry into the nature and role of sociological analysis. Restricted to sociology majors and specialists.",SOC201H1 or SOC203H1,Prerequisite:,SOC376H1; SOC232H5,Exclusion:,SOC150H1,Recommended Preparation:,Room,LEC5101,Wednesday,SS 2118,,3,150,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY,ASSPE1013 SP SOCIOLOGY,ASSPE1536 SP IND REL & HUM RES,ASSPE2085 SP HEALTH STUDIES,,—,18:00,21:00,https://map.utoronto.ca/?id=1809#!m/494510,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,
SOC,Intermediate Quantitative Methods in Sociology,SOC252H1-F,Note:,Provides students with the opportunity to develop an understanding of the logic of multivariate analysis by applying various strategies for the analysis of complex multivariate data. Restricted to sociology majors and specialists.,SOC202H1,Prerequisite:,"SOC300H1, ECO220Y1, PSY202H1, STA221H1",Exclusion:,SOC150H1,Recommended Preparation:,Room,LEC0101,Tuesday,SS 1088,"Wheaton, B.",30,50,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY,ASSPE1013 SP SOCIOLOGY,ASSPE1536 SP IND REL & HUM RES,ASSPE2085 SP HEALTH STUDIES,,—,14:00,16:00,https://map.utoronto.ca/?id=1809#!m/494510,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,
SOC,Intermediate Quantitative Methods in Sociology,SOC252H1-S,Note:,Provides students with the opportunity to develop an understanding of the logic of multivariate analysis by applying various strategies for the analysis of complex multivariate data. Restricted to sociology majors and specialists.,SOC202H1,Prerequisite:,"SOC300H1, ECO220Y1, PSY202H1, STA221H1",Exclusion:,SOC150H1,Recommended Preparation:,Room,LEC0101,Tuesday,BL 313,"Badawy, P.",0,70,Yes: 6 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY,ASSPE1013 SP SOCIOLOGY,ASSPE1536 SP IND REL & HUM RES,ASSPE2085 SP HEALTH STUDIES,,—,10:00,12:00,https://map.utoronto.ca/?id=1809#!m/494536,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,
SOC,Intermediate Qualitative Methods in Sociology,SOC254H1-F,Note:,"An in-depth examination of key methods of qualitative research, and an opportunity to design and conduct qualitative research that draws from key debates, methodologies, and methods in the field. Restricted to sociology majors and specialists.",SOC204H1,Prerequisite:,SOC150H1,Recommended Preparation:,Social Science,Distribution Requirement:,Room,LEC0101,Wednesday,SS 1070,"Lee, J.",7,70,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY,ASSPE1013 SP SOCIOLOGY,ASSPE1536 SP IND REL & HUM RES,ASSPE2085 SP HEALTH STUDIES,,—,10:00,12:00,https://map.utoronto.ca/?id=1809#!m/494510,Society and its Institutions (3),Breadth Requirement:,,,
SOC,Intermediate Qualitative Methods in Sociology,SOC254H1-S,Note:,"An in-depth examination of key methods of qualitative research, and an opportunity to design and conduct qualitative research that draws from key debates, methodologies, and methods in the field. Restricted to sociology majors and specialists.",SOC204H1,Prerequisite:,SOC150H1,Recommended Preparation:,Social Science,Distribution Requirement:,Room,LEC0101,Monday,VC 323,"Taylor, J.",0,120,Yes: 4 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY,ASSPE1013 SP SOCIOLOGY,ASSPE1536 SP IND REL & HUM RES,ASSPE2085 SP HEALTH STUDIES,,—,16:00,18:00,https://map.utoronto.ca/?id=1809#!m/494602,Society and its Institutions (3),Breadth Requirement:,,,
SOC,Lives and Societies,SOC256H1-S,,"Characteristics of very different kinds of societies, from hunters and gatherers to modern postindustrial countries, and how these affect features of individual lives including: life stages, their status, and transitions between them; the variety of possible life courses; rates of birth and death, and their implications for people, their kin, and their societies.",SOC100H1,Prerequisite:,SOC150H1,Recommended Preparation:,Social Science,Distribution Requirement:,Room,LEC0101,Tuesday,RW 110,"Erickson, B.",98,130,Yes: 0 student,In Person,,,,,,,,,,16:00,18:00,https://map.utoronto.ca/?id=1809#!m/494515,Society and its Institutions (3),Breadth Requirement:,,,
SOC,Gender and Society,SOC265H1-F,,"This course first explores how sociologists conceptualize gender and study gender. Then, it explores the varied nature of gender relations, with a focus on the social organization of gender today.",SOC100H1,Prerequisite:,"SOCB22H3, SOC275H5",Exclusion:,SOC150H1,Recommended Preparation:,Room,LEC0101,Thursday,SS 2118,"Schott, N.",42,130,Yes: 0 student,In Person,,,,,,,,,,16:00,18:00,https://map.utoronto.ca/?id=1809#!m/494510,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,
SOC,Introduction to Social Networks,SOC270H1-F,,"This course covers the fundamentals of the social network perspective, including a short introduction to social network theory and a survey of major findings in social network research. We will study how patterns of relations between social actors develop and how they affect outcomes such as health, status attainment, and inequality. Students will write a proposal to conduct research from a social network perspective.",SOC100H1,Prerequisite:,"SOC355H1, SOC294H1 (Topics: Introduction to Social Networks) offered in Winter 2018 and Winter 2020",Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Tuesday,SS 2118,"Dokshin, F.",98,130,Yes: 0 student,In Person,,,,,,,,,,10:00,12:00,https://map.utoronto.ca/?id=1809#!m/494510,Society and its Institutions (3),Breadth Requirement:,,,
SOC,Sociology of Culture,SOC280H1-S,,"The course examines the social origins of culture, the cultural patterns found in various groups and institutions, and the influence culture has on important aspects of society.",SOC100H1,Prerequisite:,SOC281H1; SOC202H5,Exclusion:,SOC150H1,Recommended Preparation:,Room,LEC0101,Wednesday,WI 1016,"Lannigan, J.",58,130,Yes: 0 student,In Person,,,,,,,,,,12:00,14:00,https://map.utoronto.ca/?id=1809#!m/494503,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,
SOC,Introduction to Social Problems,SOC282H1-F,,"Examines a variety of widely discussed social problems, including poverty, crime, substance abuse, sexism, climate change and urban sprawl, using sociological theories to understand the causes of these problems. Will also examine the “social construction” of these social problems and factors that influence public attention and concern.",SOC100H1,Prerequisite:,SOC150H1,Recommended Preparation:,Social Science,Distribution Requirement:,Room,LEC0101,Wednesday,EM 001,"Tepperman, L.",88,140,Yes: 0 student,In Person,,,,,,,,,,10:00,12:00,https://map.utoronto.ca/?id=1809#!m/494463,Society and its Institutions (3),Breadth Requirement:,,,
