resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 3,extraTxt 4,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,extraTxt 9,extraTxt 10,extraTxt 11,extraTxt 12,headerSect 3,colCode,weekDay,weekDay 2,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,legendControl 3,legendControl 4,enConDesc,enConList,enConList 2,enConList 3,enConList 4,enConList 5,extraTxt 13,legendControl 7,extraTxt 16,headerSect 15,alignC,weekDay 55,dayInfo 94,dayInfo 95,dayInfo 96,weekDay href 22
RLG,Elementary Modern Hebrew I,MHB155H1-F,,,,Course Description:,Introduction to the fundamentals of Hebrew grammar and syntax. Emphasis on the development of oral and writing skills.,Grade 4 Hebrew (or Grade 2 in Israel)/NML155H1,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,Room,LEC0101,Tuesday,PB 255,"Nizri, Y.",of  available,0,22,Yes: 0 student,In Person,,,,,,,,,,,,,,PB 255,—,10:00,12:00,https://map.utoronto.ca/?id=1809#!m/494476
RLG,Elementary Modern Hebrew II,MHB156H1-S,,,,Course Description:,Continued introduction to the fundamentals of Hebrew grammar and syntax. Emphasis on the development of oral and writing skills.,MHB155H1/NML155H1 or permission of instructor,Prerequisite:,Grade 4 Hebrew (or Grade 2 in Israel)/NML156H1,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Tuesday,HS 614,"Nizri, Y.",of  available,7,15,Yes: 0 student,In Person,,,,,,,,,,,,,,HS 614,—,10:00,12:00,https://map.utoronto.ca/?id=1809#!m/494459
PSY,The Psychology of Student Success,PSY194H1-F,,,,Course Description:,"University life presents students with all sorts of challenges as well as amazing opportunities for learning and growth. While there are many different ways to define a “successful student”, the goal of this seminar is for everyone to develop the knowledge, skills, and mindset needed to make the most of out of the university experience. Students will discover what research in psychological science has to say about facing and overcoming common academic, intrapersonal, and interpersonal challenges, as we cover topics including deliberate practice, imposter syndrome, and belongingness. Students will also learn evidence-based strategies for better managing their attention, energy, and emotions so that they may thrive (rather than just survive) in university. In addition to learning about psychology, students will develop useful skills in scientific literacy, critical thinking, self-reflection, written and oral communication, and teamwork. Restricted to first-year students. Not eligible for CR/NCR option.",N/A,Prerequisite:,N/A,Corequisite:,N/A,Exclusion:,N/A,Recommended Preparation:,Room,LEC0101,Tuesday,,"Waggoner Denton, A.",of  available,1,25,Yes: 0 student,In Person,Restricted (R2),Enrolment Controls:,"This section is restricted to two groups of students. Group 1 is given priority access until July 28. There is no course enrolment on July 29. Beginning July 30, Group 2 can enrol in this section:",Group 1: Year 1    Innis College  (Faculty of Arts and Science),Group 2: Year 1      (Faculty of Arts and Science),,,,"Thought, Belief and Behaviour (2)",,,,,IN 312,—,13:00,15:00,https://map.utoronto.ca/?id=1809#!m/494541
RLG,Great Confrontations in Ancient Israel,RLG194H1-S,,,,Course Description:,"Great Confrontations in Ancient Israel deals with ten episodes recorded in the Hebrew Bible or ""Old Testament"" in which two parties confronted each other over a great moral issue. The ten confrontations are: (1) God and Humans; (2) Adam and Eve; (3) Cain and Abel; (4) Abraham and God; (5) Jacob and Esau; (6) Joseph and Mrs. Potiphar; (7) Moses and Pharaoh; (8) Moses and Israel; (9) David and Nathan; (10) Elijah and Ahab. Restricted to first-year students. Not eligible for CR/NCR option.",Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,,,,Room,LEC0101,Monday,,"Novak, D.",of  available,3,25,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,,,,,TF 103,—,10:00,12:00,https://map.utoronto.ca/?id=1809#!m/494581
POL,First-Year Foundation Seminar: Settler Colonialism and Enduring Indigeneity,POL195H1-F,Timetable instructions,Note:,Delivery Method:  IN PERSON,Course Description:,"What is settler colonialism and how does Indigeneity endure it? This course explores the many, diverse ways that Indigenous peoples resist settler colonization and persist beyond it. We will examine Indigenous activisms, legal orders, political philosophies, and cultural productions that demonstrate settler colonialism is indeed a failing project.",Restricted to first-year students.,Distribution Requirement:,Not eligible for CR/NCR option.,Breadth Requirement:,Social Science,,Society and its Institutions (3),,Room,LEC0101,Thursday,,"Maile, U.",of  available,1,25,Yes: 0 student,In Person (See Delivery Instructions.),Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,Lectures will be delivered in person.,Delivery instructions,Note:,,,LM 123,—,10:00,12:00,https://map.utoronto.ca/?id=1809#!m/494502
PSY,The Science of Babies,PSY195H1-S,,,,Course Description:,"Up until roughly four decades ago, infants were seen as cute, clueless creatures. Yet, research from a range of fields has led to a radical consideration of this claim; infants may be cute but they are not clueless! In this class, we will consider and discuss the science of babies. In particular, we will take a second look at long-held beliefs about the nature of infants and their knowledge. We will learn that studying infants’ perception, cognition and behaviour can offer us critical insights into long-standing philosophical questions. This course provides an interdisciplinary introduction to infancy, that includes content from psychology, philosophy, neuroscience, as well as biology and anthropology. Upon completion of this class, students will (1) have overview knowledge of aspects of infancy as it relates to perception, cognition and behavior; (2) be able to use exploratory writing to develop arguments and develop their understanding of subject matter; and (3) begin to be able to read and summarize a scientific research paper in Developmental Psychology. Restricted to first-year students. Not eligible for CR/NCR option.",Science,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,,,,Room,LEC0101,Monday,,"Sommerville, J.",of  available,0,25,Yes: 51 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,,,,,UC 85,—,15:00,17:00,https://map.utoronto.ca/?id=1809#!m/494517
RLG,Alt-Bible: What Could Have Been,RLG195H1-F,,,,Course Description:,"Why does our contemporary Bible not include any daughters for Adam and Eve or any stories of Jesus as a young boy? What if Enoch was more prominent than Moses or Thomas more prominent than Paul? ""The Bible"" that we have is not a single book or a simple collection, but something that has grown over time, been the object of contention and argument, and has sometimes been a common ground across traditions. We examine side-by-side writings that have become canonical and writings that once held authority but have not found widespread canonical status, and strive to understand the processes by which we ended up with ""the Bible"" we have today. Restricted to first-year students. Not eligible for CR/CNR option.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,,,Room,LEC0101,Monday,,"Marshall, J.",of  available,2,25,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,,,,,UC D301,—,15:00,17:00,https://map.utoronto.ca/?id=1809#!m/494517
POL,First-Year Foundation Seminar: The China Challenge,POL196H1-F,Timetable instructions,Note:,Delivery Method:  IN PERSON,Course Description:,"China’s meteoric rise to great power status has triggered an intense international debate over its global implications. While many analysts see Beijing’s rise as posing a threat to global political and economic stability, Chinese leaders have argued forcefully that China’s efforts to regain its historic preeminence will result in a ‘win-win” outcome for all states. This course will assess the merits of these contending positions through an historical examination of China’s 20th century renaissance. The course will begin by tracing the long period of imperial decline in the 19th century, culminating in China’s revolutionary rebirth as a Marxist state in 1949. A major focus will be on the Mao-era legacy of revolutionary diplomacy and the foreign policy consequences of its later transformation into a market-authoritarian powerhouse.",Restricted to first-year students.,Distribution Requirement:,Not eligible for CR/NCR option.,Breadth Requirement:,Social Science,,Society and its Institutions (3),,Room,LEC0101,Tuesday,,"Falkenheim, V.",of  available,0,25,Yes: 0 student,In Person (See Delivery Instructions.),Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,Lectures will be delivered in person.,Delivery instructions,Note:,,,TF 203,—,14:00,16:00,https://map.utoronto.ca/?id=1809#!m/494581
POL,First-Year Foundation Seminar: The China Challenge,POL196H1-S,Timetable instructions,Note:,Delivery Method:  IN PERSON,Course Description:,"China’s meteoric rise to great power status has triggered an intense international debate over its global implications. While many analysts see Beijing’s rise as posing a threat to global political and economic stability, Chinese leaders have argued forcefully that China’s efforts to regain its historic preeminence will result in a ‘win-win” outcome for all states. This course will assess the merits of these contending positions through an historical examination of China’s 20th century renaissance. The course will begin by tracing the long period of imperial decline in the 19th century, culminating in China’s revolutionary rebirth as a Marxist state in 1949. A major focus will be on the Mao-era legacy of revolutionary diplomacy and the foreign policy consequences of its later transformation into a market-authoritarian powerhouse.",Restricted to first-year students.,Distribution Requirement:,Not eligible for CR/NCR option.,Breadth Requirement:,Social Science,,Society and its Institutions (3),,Room,LEC0101,Tuesday,,"Falkenheim, V.",of  available,0,25,Yes: 33 students,In Person (See Delivery Instructions.),Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,Lectures will be delivered in person.,Delivery instructions,Note:,,,UC 65,—,14:00,16:00,https://map.utoronto.ca/?id=1809#!m/494517
PSY,"Critical Periods, Brain Plasticity and Development",PSY196H1-F,,,,Course Description:,"This course will ask how changes in the developing brain can influence our understanding of how humans learn. To answer this question, we will learn about how the brain changes and about how learning changes. We will dig into brain plasticity and ask how this influences “critical” or “sensitive” periods for learning: a phenomenon whereby learning can only take place during a particular time in an organism’s life. We will explore learning in a number of different ways including learning in sensory and motor systems and the development of multiple aspects of learning and memory. In all cases, we will ask how changes in the developing brain impact learning outcomes. Restricted to first-year students. Not eligible for CR/NCR option.",Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,,,,,Room,LEC0101,Monday,,"Finn, A.",of  available,1,25,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,,,,,BL 113,—,12:00,14:00,https://map.utoronto.ca/?id=1809#!m/494536
RLG,"Enchantment, Disenchantment, Re-Enchantment",RLG197H1-F,,,,Course Description:,"Modernity is associated with disenchantment, secularisation and progress, and has traditionally been understood as the successor to the enchanted, spiritual, and transcendent worldviews of antiquity and the middle ages. Re-enchantment, a term increasingly encountered in popular and academic contexts alike, demonstrates nostalgia for an enchanted past, a discomfort with the modern narrative, and a desire to recover wonder. This course will examine the history of enchantment through a series of readings taken from literature, philosophy, theology, ranging from Plato to contemporary magical realism. Restricted to first-year students. Not available for CR/NCR option.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,,,Room,LEC0101,Tuesday,,"Hampton, A.",of  available,2,25,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,,,,,OI 3312,—,16:00,18:00,https://map.utoronto.ca/?id=1809#!m/494563
POL,First-Year Foundation Seminar: Social Justice and the City,POL198H1-F,Timetable instructions,Note:,Delivery Method:  IN PERSON,Course Description:,"An introduction to the concept of social justice from an urban perspective. It will highlight how unequal relations of race, class, gender, sexuality, and ability operate through the urban environment, and how these conditions can be contested through political mobilization.",Restricted to first-year students.,Distribution Requirement:,Not eligible for CR/NCR option.,Breadth Requirement:,Social Science,,Society and its Institutions (3),,Room,LEC0101,Wednesday,,"Enright, T.",of  available,0,25,Yes: 0 student,In Person (See Delivery Instructions.),Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,Lectures will be delivered in person.,Delivery instructions,Note:,,,LM 157,—,12:00,14:00,https://map.utoronto.ca/?id=1809#!m/494502
PSY,The Psychology of Magic,PSY198H1-S,,,,Course Description:,"Magicians entertain us with their tricks. What appears as “Magic” is based on fundamental aspects of human psychology: visual and auditory perception, decision making, logic, memory, and verbal abilities. In this class, we will consider and discuss the psychological basis of magic tricks and use magic to explore aspects of psychology. The class will require reading of scientific articles and book chapters as well as watching and analyzing magical tricks. The only prerequisite is a curious and critical mind. The course puts great emphasis on writing and on starting to read primary scientific literature. Restricted to first-year students. Not eligible for CR/NCR option.",Science,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,,,,Room,LEC0101,Monday,,"Bernhardt-Walther, D.",of  available,0,25,Yes: 45 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,,,,,SS 2111,—,10:00,12:00,https://map.utoronto.ca/?id=1809#!m/494510
RLG,Dystopia: Religion & Gender in Science Fiction,RLG198H1-F,,The Handmaid’s Tale,Herland,Course Description:,"This course will examine the “what ifs” and imagined worlds of ideal utopias and oppressive dystopias through the lens of religion and gender in Margaret Atwood’s  and Charlotte Perkins Gilman’s . Because science fiction and utopian/dystopian literature expresses what an author sees as possible or hopes is possible, but also fears is possible, we will consider science fiction as a political and social critique. Themes to be covered include fundamentalism, totalitarianism, the relationship between technology and religion, religion and reproductive rights, and the potential relationship between religion, gender and oppression. Restricted to first-year students. Not eligible for CR/NCR option.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,,,Room,LEC0101,Wednesday,,"Bugg, L.",of  available,0,25,Yes: 0 student,In Person,Restricted (R2),Enrolment Controls:,"This section is restricted to two groups of students. Group 1 is given priority access until July 28. There is no course enrolment on July 29. Beginning July 30, Group 2 can enrol in this section:",Group 1: Year 1    Innis College  (Faculty of Arts and Science),Group 2: Year 1      (Faculty of Arts and Science),,,,,,,,,IN 312,—,10:00,12:00,https://map.utoronto.ca/?id=1809#!m/494541
RLG,Dystopia: Religion & Gender in Science Fiction,RLG198H1-S,,The Handmaid’s Tale,Herland,Course Description:,"This course will examine the “what ifs” and imagined worlds of ideal utopias and oppressive dystopias through the lens of religion and gender in Margaret Atwood’s  and Charlotte Perkins Gilman’s . Because science fiction and utopian/dystopian literature expresses what an author sees as possible or hopes is possible, but also fears is possible, we will consider science fiction as a political and social critique. Themes to be covered include fundamentalism, totalitarianism, the relationship between technology and religion, religion and reproductive rights, and the potential relationship between religion, gender and oppression. Restricted to first-year students. Not eligible for CR/NCR option.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,,,Room,LEC0101,Thursday,,"Gallant, S.",of  available,0,25,Yes: 7 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,,,,,OI 2281,—,10:00,12:00,https://map.utoronto.ca/?id=1809#!m/494563
POL,Political Theory: Visions of the Just/Good Society,POL200Y1-Y,Timetable instructions,Note:,Delivery Method:,Course Description:,"A selective presentation of critical encounters between philosophy and politics, dedicated to the quest for articulation and founding of the just/good society. Among the theorists examined are Plato, Aristotle, Machiavelli, Hobbes and Locke.",POL200Y5/POLC70H3/POLC71H3,Exclusion:,Social Science,Distribution Requirement:,"Society and its Institutions (3), Thought, Belief and Behaviour (2)",Breadth Requirement:,LEC0201:,Synchronous class time will be a mixture of online lecture and group discussion for 90 minutes. The remaining class time will be available for student questions.,,LEC0101,Monday,SS 2117,"Black, Z.",of  available,2,150,Yes: 0 student,In Person (See Delivery Instructions.),,,,,,,,,LEC0101,Delivery instructions,Note:,Activity,—,Thursday,—,16:00,18:00,https://map.utoronto.ca/?id=1809#!m/494536
RLG,The Study of Religion,RLG200H1-F,Delivery instructions,Note:,"This is an online synchronous course. Lectures and class meetings will be livestreamed to enable real-time contact with the professor and classmates. Lectures will also normally be recorded and available asynchronously, so that registered students can access them on their own time. Tutorials will be held online with synchronous meetings to enable real-time class discussion and contact with the teaching assistant or instructor. Asynchronous tutorial participation will be accessible to students on their own time. Students will have the opportunity for weekly online office hours to ask questions and clarifications about course content and assignments. Students need the ability to view PDFs or PowerPoint slides and to access online library resources and Quercus tools, including Bb Collaborate and Microsoft Teams.",Course Description:,An introduction to the discipline of the study of religion. This course surveys methods in the study of religion and the history of the discipline in order to prepare students to be majors or specialists in the study of religion.,Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,,,,Room,LEC9901,Wednesday,—,"Harris, J.",of  available,5,100,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),,,,,,,,,,,,Activity,—,,—,10:00,12:00,
RLG,The Study of Religion,RLG200H1-S,,,,Course Description:,An introduction to the discipline of the study of religion. This course surveys methods in the study of religion and the history of the discipline in order to prepare students to be majors or specialists in the study of religion.,Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,,,,Room,LEC0101,Monday,,"Goldberg, S.",of  available,3,60,Yes: 0 student,In Person,,,,,,,,,,,,Activity,—,SS 1072,—,13:00,15:00,https://map.utoronto.ca/?id=1809#!m/494510
POL,Indigenous Politics in Canada,JPI201H1-S,Timetable instructions,Note:,Delivery Method:,Course Description:,"This course explores key issues in Indigenous politics in Canada. Provides students with an overview of historical and contemporary socio-political issues in Indigenous societies and institutions such as Indigenous self-governance, land claims and treaty negotiations.",4.0 credits/1.0 POL credit/INS201Y1,Prerequisite:,POL308H1/POLC56H3,Exclusion:,POL214H1 or POL224H1,Recommended Preparation:,Social Science,Distribution Requirement:,Room,LEC0101,3.0 hours / week,—,"Sherwin, D.",of  available,0,200,Yes: 57 students,Asynchronous (See Delivery Instructions.),,,,,,,,,LEC0101,Delivery instructions,Note:,Activity,—,,,,,
POL,Politics of Development,POL201H1-F,Timetable instructions,Note:,Delivery Method:,Course Description:,"This course offers an introduction to the history and politics of economic and political development, starting with the Industrial Revolution and then turning to a critical analysis of the politics of economic growth, international trade, debt, state intervention, protectionism, and neo-liberalism in the global periphery, including Africa, Asia, and Latin America.",4.0 credits/1.0 POL credit,Prerequisite:,POL201Y1/POLB90H3/POLB91H3,Exclusion:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,3.0 hours / week,—,"Jung, C.",of  available,0,316,Yes: 0 student,Asynchronous (See Delivery Instructions.),,,,,,,,,LEC0101,Delivery instructions,Note:,Activity,—,,,,,
